NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUB1	0	5.659522533416748	0.14728849	Yes	
row_1	CENPA	164	2.817808151245117	0.21226053	Yes	
row_2	PLK1	203	2.7318453788757324	0.28140733	Yes	
row_3	RAD21L1	271	2.6044797897338867	0.34575185	Yes	
row_4	KMT5C	332	2.5327908992767334	0.40858978	Yes	
row_5	CENPO	457	2.405726909637451	0.46483797	Yes	
row_6	MEIKIN	712	2.2058820724487305	0.50921685	Yes	
row_7	AURKB	835	2.1360862255096436	0.55855024	Yes	
row_8	CENPT	1132	1.9751454591751099	0.59476984	Yes	
row_9	CENPK	1564	1.79392671585083	0.61934835	Yes	
row_10	NDC80	1839	1.6970598697662354	0.64945924	Yes	
row_11	BUB1B	4212	1.1254323720932007	0.5570763	No	
row_12	AURKC	9074	0.27162760496139526	0.3147994	No	
row_13	CENPB	9117	0.265005886554718	0.31954175	No	
row_14	RAD21	10153	0.09352826327085495	0.26888528	No	
row_15	CCNB1	10451	0.04296005889773369	0.25476864	No	
row_16	SS18L1	11195	-0.08764196932315826	0.21893717	No	
row_17	SYCP2L	11478	-0.1397983431816101	0.20811017	No	
row_18	PELI1	12704	-0.3589884638786316	0.15461618	No	
row_19	PMF1	12796	-0.37814635038375854	0.15978953	No	
row_20	MIS18BP1	12826	-0.38394686579704285	0.16829415	No	
row_21	ATRX	12915	-0.39946800470352173	0.17417629	No	
row_22	KMT5B	12941	-0.4048883318901062	0.18343109	No	
row_23	MIS12	13064	-0.4311240017414093	0.18839303	No	
row_24	AURKA	13605	-0.5347121953964233	0.17460945	No	
row_25	DSN1	13677	-0.5498319864273071	0.1852768	No	
row_26	NUF2	14114	-0.6339006423950195	0.1794093	No	
row_27	CENPC	16440	-1.151273488998413	0.09010973	No	
row_28	REC8	16512	-1.1695435047149658	0.11690502	No	
row_29	SYCP2	17431	-1.442651629447937	0.10736088	No	
