NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUB1	0	5.659522533416748	0.2236419	Yes	
row_1	CENPA	164	2.817808151245117	0.32663497	Yes	
row_2	PLK1	203	2.7318453788757324	0.43263876	Yes	
row_3	CENPO	457	2.405726909637451	0.5147345	Yes	
row_4	CENPT	1132	1.9751454591751099	0.5582345	Yes	
row_5	CENPK	1564	1.79392671585083	0.6070299	Yes	
row_6	NDC80	1839	1.6970598697662354	0.66004544	Yes	
row_7	BUB1B	4212	1.1254323720932007	0.5829269	No	
row_8	CCNB1	10451	0.04296005889773369	0.2648583	No	
row_9	PELI1	12704	-0.3589884638786316	0.16360429	No	
row_10	PMF1	12796	-0.37814635038375854	0.17388238	No	
row_11	MIS18BP1	12826	-0.38394686579704285	0.18756787	No	
row_12	MIS12	13064	-0.4311240017414093	0.19245532	No	
row_13	DSN1	13677	-0.5498319864273071	0.18281075	No	
row_14	NUF2	14114	-0.6339006423950195	0.18551019	No	
row_15	CENPC	16440	-1.151273488998413	0.11182209	No	
row_16	REC8	16512	-1.1695435047149658	0.15439828	No	
