NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR8G1	11	3.7546448707580566	0.006164866	Yes	
row_1	OR2H2	27	3.4687271118164062	0.011606024	Yes	
row_2	OR52E1	42	3.346069812774658	0.016879456	Yes	
row_3	OR5AN1	52	3.2363576889038086	0.02221864	Yes	
row_4	OR10A7	56	3.2176215648651123	0.02783952	Yes	
row_5	OR6C70	108	2.973149299621582	0.030498616	Yes	
row_6	OR1L8	109	2.966315746307373	0.03582584	Yes	
row_7	OR8S1	127	2.9040956497192383	0.04014786	Yes	
row_8	OR11A1	132	2.882770299911499	0.04511482	Yes	
row_9	OR4C46	186	2.7608823776245117	0.04728759	Yes	
row_10	OR51F1	193	2.7430012226104736	0.051898424	Yes	
row_11	OR13C4	194	2.7427725791931152	0.05682419	Yes	
row_12	OR4C45	197	2.7395131587982178	0.061638985	Yes	
row_13	OR56A3	204	2.7312111854553223	0.06622864	Yes	
row_14	OR2J3	234	2.6842262744903564	0.069525115	Yes	
row_15	TAS2R16	247	2.6565394401550293	0.07366533	Yes	
row_16	OR1A1	261	2.62347412109375	0.077693604	Yes	
row_17	OR10H4	263	2.6209867000579834	0.08234809	Yes	
row_18	OR13C9	265	2.6185688972473145	0.08699825	Yes	
row_19	OR2M7	268	2.60914945602417	0.091578916	Yes	
row_20	OR4F5	298	2.563727855682373	0.094658986	Yes	
row_21	OR4E1	299	2.5636048316955566	0.09926298	Yes	
row_22	OR2A25	303	2.560526132583618	0.103703775	Yes	
row_23	OR2Y1	319	2.54248046875	0.10748148	Yes	
row_24	OR6M1	330	2.5342540740966797	0.1115072	Yes	
row_25	OR52E8	358	2.5091748237609863	0.11459441	Yes	
row_26	OR6C4	363	2.5060455799102783	0.1188848	Yes	
row_27	OR5C1	364	2.5052130222320557	0.12338393	Yes	
row_28	OR7G1	380	2.48953914642334	0.12706655	Yes	
row_29	OR52E6	385	2.4833807945251465	0.13131624	Yes	
row_30	OR11H6	399	2.466012716293335	0.13506174	Yes	
row_31	OR8K3	412	2.4456369876861572	0.1388232	Yes	
row_32	OR13D1	436	2.4233298301696777	0.14196646	Yes	
row_33	OR9A4	466	2.400017023086548	0.14475252	Yes	
row_34	OR9A2	501	2.366825580596924	0.14721619	Yes	
row_35	OR52B6	509	2.361919403076172	0.15109007	Yes	
row_36	OR1P1	525	2.3481266498565674	0.15451872	Yes	
row_37	GNAT3	543	2.328488826751709	0.157807	Yes	
row_38	OR2T8	548	2.322279691696167	0.16176738	Yes	
row_39	OR56A4	558	2.316575527191162	0.16545473	Yes	
row_40	OR10G3	562	2.3145697116851807	0.1694538	Yes	
row_41	OR4D6	564	2.313932418823242	0.17355685	Yes	
row_42	OR5F1	569	2.311779737472534	0.17749837	Yes	
row_43	OR51A7	575	2.3083505630493164	0.18138117	Yes	
row_44	OR1G1	585	2.2969839572906494	0.18503332	Yes	
row_45	OR9Q2	588	2.292177438735962	0.18904474	Yes	
row_46	OR4M1	607	2.277013063430786	0.19218802	Yes	
row_47	TAS2R14	609	2.2751283645629883	0.19622138	Yes	
row_48	OR4C3	645	2.244438648223877	0.1984127	Yes	
row_49	OR2A14	684	2.222507953643799	0.20040695	Yes	
row_50	OR2T35	723	2.1987905502319336	0.20235862	Yes	
row_51	OR5P2	733	2.192431926727295	0.205823	Yes	
row_52	OR2W1	739	2.189608335494995	0.20949255	Yes	
row_53	OR51I2	749	2.1848084926605225	0.21294326	Yes	
row_54	OR4F15	772	2.172919750213623	0.21568936	Yes	
row_55	OR12D2	828	2.140725612640381	0.21664327	Yes	
row_56	OR5AC1	834	2.1367597579956055	0.22021791	Yes	
row_57	OR7A10	840	2.132383108139038	0.22378469	Yes	
row_58	OR11G2	862	2.123344898223877	0.22649433	Yes	
row_59	OR51B4	863	2.123011827468872	0.23030706	Yes	
row_60	OR1E3	896	2.1025876998901367	0.23240128	Yes	
row_61	OR4N5	929	2.0789170265197754	0.23445301	Yes	
row_62	OR5D13	947	2.0698752403259277	0.23727684	Yes	
row_63	OR6C68	988	2.0430855751037598	0.23884375	Yes	
row_64	OR10K1	993	2.0410544872283936	0.24229908	Yes	
row_65	OR5H6	1000	2.037339448928833	0.2456426	Yes	
row_66	OR13C2	1012	2.0315768718719482	0.248713	Yes	
row_67	OR51A2	1026	2.02418851852417	0.25166503	Yes	
row_68	OR2T12	1027	2.0235471725463867	0.25529912	Yes	
row_69	OR4C15	1028	2.0230703353881836	0.25893235	Yes	
row_70	OR1E2	1031	2.0226151943206787	0.26245967	Yes	
row_71	TAS2R39	1062	2.0068061351776123	0.264487	Yes	
row_72	OR6C1	1066	2.0057854652404785	0.26793155	Yes	
row_73	TULP1	1071	2.0035970211029053	0.2713196	Yes	
row_74	OR56A1	1075	1.9992579221725464	0.2747524	Yes	
row_75	OR11H2	1082	1.9961107969284058	0.27802187	Yes	
row_76	OR8D1	1111	1.9834680557250977	0.28011242	Yes	
row_77	OR4B1	1122	1.9772189855575562	0.28313774	Yes	
row_78	OR5M9	1185	1.9514566659927368	0.28338385	Yes	
row_79	OR14J1	1217	1.9362738132476807	0.28523195	Yes	
row_80	OR4C11	1238	1.9239422082901	0.28763604	Yes	
