NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADH6	233	2.6849467754364014	0.117154144	Yes	
row_1	SULT1B1	625	2.2627620697021484	0.20590746	Yes	
row_2	ADH4	986	2.045971393585205	0.28582624	Yes	
row_3	SULT2A1	1861	1.6909099817276	0.32231903	Yes	
row_4	SULT1A2	1908	1.6774053573608398	0.4006153	Yes	
row_5	SULT1A4	2014	1.6432278156280518	0.4742432	Yes	
row_6	ADH1B	2079	1.622409462928772	0.5489722	Yes	
row_7	ALDH3B2	2579	1.4843324422836304	0.5947589	Yes	
row_8	ACSS1	6572	0.6932607293128967	0.42341703	No	
row_9	ADH1A	8284	0.40638887882232666	0.35523185	No	
row_10	ADH7	9472	0.2042100876569748	0.3041916	No	
row_11	ADH1C	9533	0.1944647878408432	0.31046575	No	
row_12	SULT1A1	9756	0.15906572341918945	0.30673185	No	
row_13	ALDH3B1	11740	-0.1843644380569458	0.2139252	No	
row_14	SULT1E1	11965	-0.22343496978282928	0.2131838	No	
row_15	ACSS2	12118	-0.2488335371017456	0.2173552	No	
row_16	ADH5	13008	-0.4191839396953583	0.19193044	No	
row_17	SULT1C4	14347	-0.6758118867874146	0.15582423	No	
row_18	ALDH1A1	14638	-0.7404953837394714	0.17656076	No	
row_19	ALDH1B1	14771	-0.7663924098014832	0.2066434	No	
row_20	ALDH2	14788	-0.7694824934005737	0.24282211	No	
