NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPAM1	114	2.9479949474334717	0.10192649	Yes	
row_1	IZUMO1R	455	2.407191514968872	0.17249647	Yes	
row_2	TMEM95	492	2.3750393390655518	0.257476	Yes	
row_3	LYZL6	511	2.358738422393799	0.3427824	Yes	
row_4	FOLR2	971	2.05322003364563	0.39431143	Yes	
row_5	LYZL4	1020	2.0275304317474365	0.46597177	Yes	
row_6	C16orf92	1588	1.782773733139038	0.5020772	Yes	
row_7	CRISP1	2141	1.6023398637771606	0.53235555	Yes	
row_8	FOLR3	2511	1.5031797885894775	0.56839055	Yes	
row_9	EQTN	2679	1.4581960439682007	0.6131368	Yes	
row_10	IZUMO1	3421	1.2845962047576904	0.62210995	Yes	
row_11	ADAM2	4357	1.0950572490692139	0.61420834	Yes	
row_12	CD9	4664	1.0348824262619019	0.6363534	Yes	
row_13	SERPINA5	4785	1.0077890157699585	0.6670435	Yes	
row_14	ROPN1B	6102	0.7744667530059814	0.6278896	No	
row_15	FOLR1	6174	0.7618480920791626	0.6521008	No	
row_16	SPACA3	7753	0.49319833517074585	0.5892326	No	
row_17	NOX5	8683	0.3397897481918335	0.55402803	No	
row_18	SPACA6	10422	0.046458687633275986	0.46662566	No	
