NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	73	3.0990283489227295	0.02373681	No	
row_1	NDUFA4L2	2256	1.5660974979400635	-0.07469242	No	
row_2	FOXRED1	2400	1.5330538749694824	-0.068452395	No	
row_3	TIMM21	2717	1.4488632678985596	-0.0718649	No	
row_4	NDUFC1	3715	1.2238212823867798	-0.112330094	No	
row_5	NDUFA8	3925	1.1836007833480835	-0.112587936	No	
row_6	CHCHD10	4731	1.0216608047485352	-0.14496304	No	
row_7	COX6A2	4845	0.9951696395874023	-0.14195082	No	
row_8	SDHAF4	5415	0.895261824131012	-0.16329867	No	
row_9	SPG7	5427	0.8929786682128906	-0.1559424	No	
row_10	NDUFA12	5586	0.8646206259727478	-0.15640488	No	
row_11	GRPEL2	5728	0.8421584963798523	-0.15619154	No	
row_12	NDUFAF1	5929	0.8058443665504456	-0.15933755	No	
row_13	PPIF	6146	0.766290009021759	-0.16365813	No	
row_14	APOO	6408	0.7213597297668457	-0.1706938	No	
row_15	NDUFS1	6931	0.6343437433242798	-0.19193709	No	
row_16	TIMM22	7006	0.6206254959106445	-0.19024022	No	
row_17	COX5A	7578	0.5214351415634155	-0.21500763	No	
row_18	CHCHD3	7636	0.5107031464576721	-0.21341087	No	
row_19	NDUFB11	8315	0.40153706073760986	-0.2447501	No	
row_20	TIMM17B	8462	0.374463826417923	-0.24894355	No	
row_21	COX4I1	8536	0.3634472191333771	-0.24947688	No	
row_22	TIMM23	8624	0.3483913242816925	-0.25086448	No	
row_23	DNAJC19	8845	0.3106953203678131	-0.259433	No	
row_24	NDUFA7	8930	0.2970602214336395	-0.26112157	No	
row_25	COX4I2	9504	0.1988724023103714	-0.28885373	No	
row_26	UQCC3	9615	0.1809123456478119	-0.2929112	No	
row_27	TIMM10	9730	0.16412410140037537	-0.2973235	No	
row_28	NDUFS8	10097	0.10300202667713165	-0.3152504	No	
row_29	TIMM17A	11118	-0.07600650191307068	-0.367083	No	
row_30	NDUFA4	11279	-0.1028551384806633	-0.37440684	No	
row_31	WDR93	11516	-0.14715039730072021	-0.38525	No	
row_32	COX6A1	11770	-0.1886952668428421	-0.39659968	No	
row_33	NDUFS7	12400	-0.3043666183948517	-0.42627862	No	
row_34	NDUFS2	12515	-0.32551494240760803	-0.42925906	No	
row_35	SLC25A6	12552	-0.33236467838287354	-0.4281635	No	
row_36	NDUFA13	12589	-0.33796200156211853	-0.42701828	No	
row_37	NDUFS3	12921	-0.40061450004577637	-0.44050303	No	
row_38	NDUFV1	12966	-0.41017112135887146	-0.439129	No	
row_39	BCS1L	13018	-0.421550452709198	-0.43801433	No	
row_40	NDUFB10	13252	-0.47012507915496826	-0.44583762	No	
row_41	IMMP1L	13324	-0.4838084578514099	-0.44520015	No	
row_42	NDUFA10	13492	-0.512168288230896	-0.4492529	No	
row_43	NDUFA2	13601	-0.5339803695678711	-0.45007497	No	
row_44	SDHD	13699	-0.5526789426803589	-0.45016488	No	
row_45	SDHA	13877	-0.5914117693901062	-0.45402938	No	
row_46	PHB	14188	-0.6494157910346985	-0.46422574	No	
row_47	NDUFB2	14354	-0.6788054704666138	-0.46669713	No	
row_48	NDUFA11	14362	-0.6797233819961548	-0.46102694	No	
row_49	IMMP2L	14682	-0.7507538199424744	-0.47078753	No	
row_50	NDUFA6	14765	-0.7650474309921265	-0.46822116	No	
row_51	NDUFA9	14866	-0.7830516695976257	-0.46642163	No	
row_52	CYC1	14902	-0.7885197997093201	-0.46122757	No	
row_53	APOOL	15321	-0.8815924525260925	-0.4749236	No	
row_54	GRPEL1	15693	-0.9765216708183289	-0.485358	Yes	
row_55	CHCHD6	15746	-0.9902966022491455	-0.4792489	Yes	
row_56	MICU3	15750	-0.9910411834716797	-0.4706108	Yes	
row_57	NDUFB6	16054	-1.061004877090454	-0.47679517	Yes	
row_58	ROMO1	16067	-1.0631710290908813	-0.4679804	Yes	
row_59	UQCRB	16078	-1.0665067434310913	-0.45903313	Yes	
row_60	MCU	16213	-1.09730064868927	-0.4561958	Yes	
row_61	NDUFB8	16219	-1.0987626314163208	-0.44670495	Yes	
row_62	TIMM23B	16293	-1.1138979196548462	-0.44058028	Yes	
row_63	DNAJC11	16371	-1.1331778764724731	-0.43449044	Yes	
row_64	NDUFB9	16487	-1.1634575128555298	-0.43008813	Yes	
row_65	DNAJC15	16498	-1.1669725179672241	-0.4202495	Yes	
row_66	NDUFB4	16804	-1.2538002729415894	-0.42482635	Yes	
row_67	TIMM50	16826	-1.258880615234375	-0.41473854	Yes	
row_68	SMDT1	16887	-1.2801390886306763	-0.40646976	Yes	
row_69	NDUFB7	17144	-1.3499342203140259	-0.40767133	Yes	
row_70	UQCRHL	17156	-1.3530917167663574	-0.3962329	Yes	
row_71	SDHB	17220	-1.373236060142517	-0.3872926	Yes	
row_72	C15orf48	17280	-1.3929922580718994	-0.3779711	Yes	
row_73	NDUFB5	17440	-1.4468022584915161	-0.37331995	Yes	
row_74	IMMT	17768	-1.5575467348098755	-0.37633446	Yes	
row_75	UQCRC2	17851	-1.5899460315704346	-0.36644956	Yes	
row_76	UQCR10	18007	-1.657707691192627	-0.35972133	Yes	
row_77	PHB2	18311	-1.786441445350647	-0.35946965	Yes	
row_78	MICU2	18387	-1.8250211477279663	-0.34713882	Yes	
row_79	NDUFS5	18399	-1.8300461769104004	-0.33146885	Yes	
row_80	UQCRH	18432	-1.8432153463363647	-0.31676307	Yes	
row_81	NDUFS4	18491	-1.8779492378234863	-0.30308753	Yes	
row_82	AGK	18552	-1.9055904150009155	-0.28926975	Yes	
row_83	NDUFA1	18708	-1.9966981410980225	-0.27953398	Yes	
row_84	NDUFB3	18723	-2.0082199573516846	-0.26243767	Yes	
row_85	UQCRQ	18821	-2.075815439224243	-0.2490143	Yes	
row_86	NDUFA5	18928	-2.1558778285980225	-0.2353439	Yes	
row_87	NDUFV2	18963	-2.1861724853515625	-0.21769835	Yes	
row_88	SDHC	18989	-2.208305597305298	-0.19939315	Yes	
row_89	NDUFS6	19077	-2.2985856533050537	-0.18347856	Yes	
row_90	UQCRFS1	19083	-2.30952525138855	-0.16324578	Yes	
row_91	NDUFB1	19099	-2.326361894607544	-0.1433784	Yes	
row_92	AFG3L2	19117	-2.3453869819641113	-0.12344519	Yes	
row_93	NDUFA3	19188	-2.4321136474609375	-0.105470836	Yes	
row_94	COX7C	19260	-2.545414924621582	-0.08654274	Yes	
row_95	NDUFV3	19280	-2.5732030868530273	-0.06469129	Yes	
row_96	NDUFAB1	19312	-2.6319806575775146	-0.042936087	Yes	
row_97	MICU1	19404	-2.8450052738189697	-0.022379572	Yes	
row_98	TIMM10B	19480	-3.2129406929016113	0.0022649178	Yes	
