NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LILRA5	367	2.501685380935669	0.107586436	Yes	
row_1	IL25	1311	1.8939014673233032	0.15493262	Yes	
row_2	GATA3	1623	1.768515944480896	0.22834542	Yes	
row_3	IL4	2247	1.5685434341430664	0.27565837	Yes	
row_4	SCGB1A1	2411	1.5305050611495972	0.34463304	Yes	
row_5	IL1RAP	2893	1.4078811407089233	0.39110842	Yes	
row_6	TNFRSF21	2935	1.3964020013809204	0.4595621	Yes	
row_7	TNFSF4	4097	1.1506099700927734	0.45817554	Yes	
row_8	IFNA2	4473	1.0749000310897827	0.49326095	Yes	
row_9	TSLP	4491	1.0718262195587158	0.5465453	Yes	
row_10	NLRP3	4769	1.0129191875457764	0.5835234	Yes	
row_11	IRF4	5035	0.962302565574646	0.6185592	Yes	
row_12	LGALS9	5512	0.8776769042015076	0.63850135	Yes	
row_13	PRKCZ	6865	0.6462284922599792	0.60183764	No	
row_14	RARA	8721	0.33307725191116333	0.52356315	No	
row_15	IL33	10365	0.05570964515209198	0.4421432	No	
row_16	SPHK2	10607	0.01425191666930914	0.43050748	No	
row_17	IFNL1	11380	-0.12306951731443405	0.3971462	No	
row_18	LEF1	11555	-0.15400758385658264	0.3960069	No	
row_19	IL18	12110	-0.24746713042259216	0.38010767	No	
