NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOTCH4	9699	0.16787733137607574	-0.4882558	No	
row_1	AGO4	12026	-0.23494695127010345	-0.59505755	No	
row_2	MIR659	12673	-0.35332393646240234	-0.6094923	No	
row_3	EIF6	13408	-0.4969574511051178	-0.62084514	No	
row_4	TNRC6C	14991	-0.8056055903434753	-0.65934795	No	
row_5	AGO2	16201	-1.0943834781646729	-0.6634677	Yes	
row_6	ZFP36	16237	-1.1041353940963745	-0.6068977	Yes	
row_7	AGO3	16258	-1.1074641942977905	-0.549383	Yes	
row_8	RBM4	16287	-1.1127245426177979	-0.49200016	Yes	
row_9	STAT3	17611	-1.4980247020721436	-0.48062688	Yes	
row_10	TNRC6B	18151	-1.7218425273895264	-0.41723818	Yes	
row_11	AGO1	18243	-1.762930989265442	-0.32871497	Yes	
row_12	TNRC6A	18775	-2.0414068698883057	-0.24802424	Yes	
row_13	TRIM71	19239	-2.522695541381836	-0.13840748	Yes	
row_14	EIF4G1	19415	-2.893794059753418	0.005586955	Yes	
