NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFC1	3715	1.2238212823867798	-0.16739208	No	
row_1	NDUFA8	3925	1.1836007833480835	-0.15557097	No	
row_2	DLD	4358	1.094812035560608	-0.15688913	No	
row_3	NDUFA12	5586	0.8646206259727478	-0.20340398	No	
row_4	NDUFAF1	5929	0.8058443665504456	-0.20560743	No	
row_5	NDUFS1	6931	0.6343437433242798	-0.2449079	No	
row_6	NDUFB11	8315	0.40153706073760986	-0.30825368	No	
row_7	NDUFA7	8930	0.2970602214336395	-0.33411357	No	
row_8	NDUFS8	10097	0.10300202667713165	-0.39200744	No	
row_9	NDUFA4	11279	-0.1028551384806633	-0.45067412	No	
row_10	SNCA	12229	-0.2721736431121826	-0.49420527	No	
row_11	NDUFS7	12400	-0.3043666183948517	-0.49713334	No	
row_12	NDUFS2	12515	-0.32551494240760803	-0.49678376	No	
row_13	NDUFA13	12589	-0.33796200156211853	-0.49409235	No	
row_14	NDUFS3	12921	-0.40061450004577637	-0.5034516	No	
row_15	NDUFV1	12966	-0.41017112135887146	-0.4978957	No	
row_16	NDUFB10	13252	-0.47012507915496826	-0.50356925	No	
row_17	NDUFA10	13492	-0.512168288230896	-0.5060803	No	
row_18	NDUFA2	13601	-0.5339803695678711	-0.5014511	No	
row_19	NDUFB2	14354	-0.6788054704666138	-0.5271221	No	
row_20	NDUFA11	14362	-0.6797233819961548	-0.5145313	No	
row_21	NDUFA6	14765	-0.7650474309921265	-0.5205921	No	
row_22	NDUFA9	14866	-0.7830516695976257	-0.5108068	No	
row_23	COQ9	15983	-1.0453617572784424	-0.54818	Yes	
row_24	NDUFB6	16054	-1.061004877090454	-0.5315591	Yes	
row_25	NDUFB8	16219	-1.0987626314163208	-0.5190443	Yes	
row_26	NDUFB9	16487	-1.1634575128555298	-0.51058435	Yes	
row_27	DNAJC15	16498	-1.1669725179672241	-0.48886442	Yes	
row_28	NDUFB4	16804	-1.2538002729415894	-0.480634	Yes	
row_29	PINK1	16992	-1.306217908859253	-0.46534744	Yes	
row_30	NDUFB7	17144	-1.3499342203140259	-0.44737992	Yes	
row_31	NDUFB5	17440	-1.4468022584915161	-0.43495905	Yes	
row_32	NDUFS5	18399	-1.8300461769104004	-0.4492715	Yes	
row_33	NDUFS4	18491	-1.8779492378234863	-0.41816413	Yes	
row_34	ISCU	18558	-1.9076142311096191	-0.3852082	Yes	
row_35	NDUFA1	18708	-1.9966981410980225	-0.3548158	Yes	
row_36	NDUFB3	18723	-2.0082199573516846	-0.3172737	Yes	
row_37	NDUFA5	18928	-2.1558778285980225	-0.28667203	Yes	
row_38	PARK7	18962	-2.18536376953125	-0.24673036	Yes	
row_39	NDUFV2	18963	-2.1861724853515625	-0.20507921	Yes	
row_40	NDUFS6	19077	-2.2985856533050537	-0.1670872	Yes	
row_41	NDUFB1	19099	-2.326361894607544	-0.123843186	Yes	
row_42	NDUFA3	19188	-2.4321136474609375	-0.08202381	Yes	
row_43	NDUFV3	19280	-2.5732030868530273	-0.03767039	Yes	
row_44	NDUFAB1	19312	-2.6319806575775146	0.010882948	Yes	
