NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFC1	3715	1.2238212823867798	-0.16178231	No	
row_1	NDUFA8	3925	1.1836007833480835	-0.14460713	No	
row_2	NDUFA12	5586	0.8646206259727478	-0.20940697	No	
row_3	NDUFS1	6931	0.6343437433242798	-0.2634198	No	
row_4	NDUFA7	8930	0.2970602214336395	-0.35894215	No	
row_5	NDUFS8	10097	0.10300202667713165	-0.4163459	No	
row_6	NDUFA4	11279	-0.1028551384806633	-0.4745228	No	
row_7	WDR93	11516	-0.14715039730072021	-0.4831642	No	
row_8	NDUFS7	12400	-0.3043666183948517	-0.5212996	No	
row_9	NDUFS2	12515	-0.32551494240760803	-0.51947635	No	
row_10	NDUFA13	12589	-0.33796200156211853	-0.51525587	No	
row_11	NDUFS3	12921	-0.40061450004577637	-0.5227974	No	
row_12	NDUFV1	12966	-0.41017112135887146	-0.5153867	No	
row_13	NDUFB10	13252	-0.47012507915496826	-0.5189293	No	
row_14	NDUFA10	13492	-0.512168288230896	-0.51912045	No	
row_15	NDUFA2	13601	-0.5339803695678711	-0.5120754	No	
row_16	NDUFAF2	14221	-0.6541261076927185	-0.52841955	No	
row_17	NDUFB2	14354	-0.6788054704666138	-0.5191922	No	
row_18	NDUFA6	14765	-0.7650474309921265	-0.5221971	No	
row_19	NDUFA9	14866	-0.7830516695976257	-0.5088705	No	
row_20	NDUFB6	16054	-1.061004877090454	-0.5447698	Yes	
row_21	NDUFB8	16219	-1.0987626314163208	-0.52728534	Yes	
row_22	NDUFB9	16487	-1.1634575128555298	-0.5135611	Yes	
row_23	NDUFB4	16804	-1.2538002729415894	-0.5002218	Yes	
row_24	NDUFB7	17144	-1.3499342203140259	-0.48579654	Yes	
row_25	NDUFB5	17440	-1.4468022584915161	-0.46683016	Yes	
row_26	NDUFS5	18399	-1.8300461769104004	-0.47285092	Yes	
row_27	NDUFS4	18491	-1.8779492378234863	-0.4332536	Yes	
row_28	NDUFA1	18708	-1.9966981410980225	-0.39727134	Yes	
row_29	NDUFB3	18723	-2.0082199573516846	-0.3506521	Yes	
row_30	NDUFA5	18928	-2.1558778285980225	-0.3103019	Yes	
row_31	NDUFV2	18963	-2.1861724853515625	-0.2605143	Yes	
row_32	NDUFS6	19077	-2.2985856533050537	-0.21213067	Yes	
row_33	NDUFB1	19099	-2.326361894607544	-0.15837143	Yes	
row_34	NDUFA3	19188	-2.4321136474609375	-0.10555744	Yes	
row_35	NDUFV3	19280	-2.5732030868530273	-0.049571645	Yes	
row_36	NDUFAB1	19312	-2.6319806575775146	0.010878469	Yes	
