NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OPRD1	1	4.98135232925415	0.16582806	Yes	
row_1	SSTR1	557	2.317211151123047	0.21452835	Yes	
row_2	NMUR2	604	2.2831227779388428	0.2881974	Yes	
row_3	NPBWR1	612	2.2729601860046387	0.36352813	Yes	
row_4	OPRL1	1278	1.908475399017334	0.39297616	Yes	
row_5	SSTR4	1687	1.7469803094863892	0.43022656	Yes	
row_6	ADCYAP1R1	1853	1.6926761865615845	0.47813082	Yes	
row_7	SSTR5	2902	1.405680775642395	0.47119373	Yes	
row_8	MC3R	3414	1.2861813306808472	0.48781717	Yes	
row_9	NMUR1	3496	1.2704259157180786	0.5259684	Yes	
row_10	GPR1	3530	1.2645512819290161	0.5663856	Yes	
row_11	OPRM1	4577	1.0524286031723022	0.5477878	Yes	
row_12	SSTR3	4806	1.0021088123321533	0.56946516	Yes	
row_13	MC4R	5417	0.8947288990020752	0.56797606	No	
row_14	SORL1	6492	0.7069592475891113	0.5364381	No	
row_15	MRGPRX2	7752	0.49365711212158203	0.48830947	No	
row_16	GALR2	7864	0.4744413197040558	0.4984158	No	
row_17	GPR37	8087	0.4384109377861023	0.5016297	No	
row_18	MCHR1	8952	0.29337283968925476	0.4670891	No	
row_19	NPBWR2	10258	0.07270516455173492	0.40258366	No	
row_20	OPRK1	10670	0.0012819742551073432	0.38154835	No	
row_21	GRPR	10946	-0.048058751970529556	0.36904544	No	
row_22	GPR149	11344	-0.11607220023870468	0.35255063	No	
row_23	GALR1	11390	-0.12509116530418396	0.35440835	No	
row_24	SSTR2	15194	-0.8538123965263367	0.18780471	No	
row_25	PTGDR2	15905	-1.0272210836410522	0.18559912	No	
