NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TACR2	98	2.9941534996032715	0.05845773	Yes	
row_1	PROKR2	250	2.6513497829437256	0.10692619	Yes	
row_2	SSTR1	557	2.317211151123047	0.14035352	Yes	
row_3	NMUR2	604	2.2831227779388428	0.18640368	Yes	
row_4	NPBWR1	612	2.2729601860046387	0.23424022	Yes	
row_5	NTSR2	698	2.211460590362549	0.276769	Yes	
row_6	QRFPR	808	2.1538093090057373	0.31684345	Yes	
row_7	BRS3	812	2.152949333190918	0.3623406	Yes	
row_8	TACR3	1375	1.8672242164611816	0.37308607	Yes	
row_9	SSTR4	1687	1.7469803094863892	0.39416558	Yes	
row_10	NMBR	1930	1.669982671737671	0.41715416	Yes	
row_11	TACR1	2436	1.5247018337249756	0.42356256	Yes	
row_12	SORCS1	2548	1.4911447763442993	0.44948322	Yes	
row_13	SSTR5	2902	1.405680775642395	0.46116996	Yes	
row_14	GPR139	3147	1.3478928804397583	0.4772263	Yes	
row_15	NPFFR1	3359	1.2989662885665894	0.49393907	Yes	
row_16	GPR143	3360	1.2989283800125122	0.5214815	Yes	
row_17	NMUR1	3496	1.2704259157180786	0.54149014	Yes	
row_18	KISS1R	4341	1.0986679792404175	0.5214643	Yes	
row_19	PROKR1	4344	1.0972470045089722	0.5446276	Yes	
row_20	OPRM1	4577	1.0524286031723022	0.5550349	Yes	
row_21	SSTR3	4806	1.0021088123321533	0.5645805	Yes	
row_22	MC2R	5852	0.8215239644050598	0.52836084	No	
row_23	NPY5R	6822	0.6538828611373901	0.49248752	No	
row_24	GAL	7254	0.5764485597610474	0.48258755	No	
row_25	GALR2	7864	0.4744413197040558	0.461388	No	
row_26	GPR37	8087	0.4384109377861023	0.45928892	No	
row_27	GPR83	8236	0.41520705819129944	0.46049622	No	
row_28	NPY2R	8340	0.39792436361312866	0.46364686	No	
row_29	HCRTR2	8467	0.37400519847869873	0.46510977	No	
row_30	MCHR1	8952	0.29337283968925476	0.44648698	No	
row_31	NPFFR2	9664	0.1749846637248993	0.41370213	No	
row_32	NPSR1	9696	0.1687813401222229	0.41568977	No	
row_33	NPBWR2	10258	0.07270516455173492	0.3884356	No	
row_34	NPY1R	10483	0.03748469054698944	0.37773263	No	
row_35	GRPR	10946	-0.048058751970529556	0.35503745	No	
row_36	PRLHR	11122	-0.0762995183467865	0.34767267	No	
row_37	GALR1	11390	-0.12509116530418396	0.33662015	No	
row_38	GALR3	11809	-0.19544373452663422	0.3193086	No	
row_39	SORCS2	14385	-0.683058500289917	0.2016189	No	
row_40	SSTR2	15194	-0.8538123965263367	0.17824896	No	
row_41	NTSR1	15873	-1.0184375047683716	0.16504253	No	
row_42	SORCS3	16012	-1.0521539449691772	0.18026894	No	
