NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR8G1	11	3.7546448707580566	0.039952584	Yes	
row_1	OR5AN1	52	3.2363576889038086	0.07281971	Yes	
row_2	OR5C1	364	2.5052130222320557	0.08385126	Yes	
row_3	OR8K3	412	2.4456369876861572	0.10782503	Yes	
row_4	OR5F1	569	2.311779737472534	0.12474526	Yes	
row_5	OR9Q2	588	2.292177438735962	0.14855526	Yes	
row_6	OR5P2	733	2.192431926727295	0.16480504	Yes	
row_7	OR5AC1	834	2.1367597579956055	0.1827182	Yes	
row_8	OR5D13	947	2.0698752403259277	0.19929208	Yes	
row_9	OR5H6	1000	2.037339448928833	0.21860237	Yes	
row_10	OR8D1	1111	1.9834680557250977	0.2343467	Yes	
row_11	OR5M9	1185	1.9514566659927368	0.25164956	Yes	
row_12	OR14J1	1217	1.9362738132476807	0.2709498	Yes	
row_13	OR13A1	1269	1.9123975038528442	0.28896323	Yes	
row_14	OR5M1	1718	1.7347397804260254	0.2846303	Yes	
row_15	OR5AP2	1760	1.7184550762176514	0.30106536	Yes	
row_16	OR8H3	1901	1.6795094013214111	0.31198573	Yes	
row_17	OR5R1	1941	1.6661015748977661	0.32795873	Yes	
row_18	OR5H2	2211	1.5790660381317139	0.33115694	Yes	
row_19	OR8D4	2398	1.5339144468307495	0.338139	Yes	
row_20	OR8G5	2407	1.53212571144104	0.3542614	Yes	
row_21	OR10Q1	2455	1.5198875665664673	0.36824486	Yes	
row_22	OR5B12	3130	1.35036039352417	0.34813413	Yes	
row_23	OR8B12	3193	1.3341310024261475	0.3593411	Yes	
row_24	LCN9	3316	1.308229923248291	0.367181	Yes	
row_25	OR5D14	3486	1.273281216621399	0.37222522	Yes	
row_26	OR5P3	3627	1.2438600063323975	0.37844422	Yes	
row_27	OR5K2	3676	1.233703374862671	0.38928783	Yes	
row_28	OBP2B	3700	1.2273906469345093	0.40134978	Yes	
row_29	OR5M3	3714	1.2238543033599854	0.41388816	Yes	
row_30	OR9Q1	3831	1.1991541385650635	0.42085972	Yes	
row_31	OR5B17	3897	1.1876565217971802	0.43033162	Yes	
row_32	OR14A16	4053	1.1594505310058594	0.43486783	Yes	
row_33	OR8H2	4140	1.1408488750457764	0.44275394	Yes	
row_34	OR5L1	4163	1.1358668804168701	0.45387968	Yes	
row_35	OR5H14	4333	1.0997086763381958	0.45705074	Yes	
row_36	OR6B3	5223	0.9272778630256653	0.42131063	Yes	
row_37	OR5K4	5334	0.9095262289047241	0.4254654	Yes	
row_38	OR8J2	5536	0.8736627697944641	0.42455038	Yes	
row_39	OR8H1	5663	0.8525286316871643	0.42726672	Yes	
row_40	OR5J2	5825	0.8257672786712646	0.4278932	Yes	
