NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR8G1	11	3.7546448707580566	0.0075144754	Yes	
row_1	OR2H2	27	3.4687271118164062	0.014203837	Yes	
row_2	OR52E1	42	3.346069812774658	0.020681204	Yes	
row_3	OR5AN1	52	3.2363576889038086	0.027183563	Yes	
row_4	OR10A7	56	3.2176215648651123	0.0339592	Yes	
row_5	OR6C70	108	2.973149299621582	0.03769896	Yes	
row_6	OR1L8	109	2.966315746307373	0.044089973	Yes	
row_7	OR8S1	127	2.9040956497192383	0.049458273	Yes	
row_8	OR11A1	132	2.882770299911499	0.05546019	Yes	
row_9	OR4C46	186	2.7608823776245117	0.05863807	Yes	
row_10	OR51F1	193	2.7430012226104736	0.0642343	Yes	
row_11	OR13C4	194	2.7427725791931152	0.07014368	Yes	
row_12	OR4C45	197	2.7395131587982178	0.07594149	Yes	
row_13	OR56A3	204	2.7312111854553223	0.08151232	Yes	
row_14	OR2J3	234	2.6842262744903564	0.085779615	Yes	
row_15	OR1A1	261	2.62347412109375	0.09007284	Yes	
row_16	OR10H4	263	2.6209867000579834	0.095667556	Yes	
row_17	OR13C9	265	2.6185688972473145	0.10125706	Yes	
row_18	OR2M7	268	2.60914945602417	0.106774	Yes	
row_19	OR4F5	298	2.563727855682373	0.110781685	Yes	
row_20	OR4E1	299	2.5636048316955566	0.116305046	Yes	
row_21	OR2A25	303	2.560526132583618	0.12166495	Yes	
row_22	OR2Y1	319	2.54248046875	0.12635869	Yes	
row_23	OR6M1	330	2.5342540740966797	0.13129607	Yes	
row_24	OR52E8	358	2.5091748237609863	0.13529076	Yes	
row_25	OR6C4	363	2.5060455799102783	0.14048101	Yes	
row_26	OR5C1	364	2.5052130222320557	0.14587857	Yes	
row_27	OR7G1	380	2.48953914642334	0.15045823	Yes	
row_28	OR52E6	385	2.4833807945251465	0.15559965	Yes	
row_29	OR11H6	399	2.466012716293335	0.16023318	Yes	
row_30	OR8K3	412	2.4456369876861572	0.16487509	Yes	
row_31	OR13D1	436	2.4233298301696777	0.16889393	Yes	
row_32	OR9A4	466	2.400017023086548	0.17254889	Yes	
row_33	OR9A2	501	2.366825580596924	0.17587097	Yes	
row_34	OR52B6	509	2.361919403076172	0.18059388	Yes	
row_35	OR1P1	525	2.3481266498565674	0.18486887	Yes	
row_36	OR2T8	548	2.322279691696167	0.18872225	Yes	
row_37	OR56A4	558	2.316575527191162	0.19324292	Yes	
row_38	OR10G3	562	2.3145697116851807	0.19807291	Yes	
row_39	OR4D6	564	2.313932418823242	0.20300606	Yes	
row_40	OR5F1	569	2.311779737472534	0.20777777	Yes	
row_41	OR51A7	575	2.3083505630493164	0.2124898	Yes	
row_42	OR1G1	585	2.2969839572906494	0.21696825	Yes	
row_43	OR9Q2	588	2.292177438735962	0.22180226	Yes	
row_44	OR4M1	607	2.277013063430786	0.22576723	Yes	
row_45	OR4C3	645	2.244438648223877	0.2286688	Yes	
row_46	OR2A14	684	2.222507953643799	0.23147084	Yes	
row_47	OR2T35	723	2.1987905502319336	0.23422179	Yes	
row_48	OR5P2	733	2.192431926727295	0.23847498	Yes	
