NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BLOC1S3	1191	1.9478710889816284	-0.041234348	No	
row_1	AP3B2	1270	1.9117175340652466	-0.02559606	No	
row_2	STK11	2638	1.4693121910095215	-0.08080149	No	
row_3	KIF23	2662	1.4638930559158325	-0.06693748	No	
row_4	CLN3	3007	1.3820600509643555	-0.07042441	No	
row_5	WASF1	3663	1.235373854637146	-0.091414556	No	
row_6	TRIM46	3977	1.1754581928253174	-0.09543069	No	
row_7	NEFH	4286	1.1091248989105225	-0.09987147	No	
row_8	KIF3C	4460	1.0783480405807495	-0.09768523	No	
row_9	MAP1S	4657	1.0363123416900635	-0.09711401	No	
row_10	SPAST	4822	0.9995141625404358	-0.0952752	No	
row_11	SYNE2	5854	0.8211191892623901	-0.13986194	No	
row_12	KIF1A	6704	0.6714746356010437	-0.17662613	No	
row_13	NEFL	6787	0.658486008644104	-0.1740752	No	
row_14	PRKCZ	6865	0.6462284922599792	-0.17139308	No	
row_15	TMEM201	6972	0.6278567910194397	-0.17039135	No	
row_16	COPG2	7052	0.6133377552032471	-0.16815019	No	
row_17	FBXW11	8196	0.4222050607204437	-0.22259767	No	
row_18	LRPPRC	8415	0.38555529713630676	-0.22984692	No	
row_19	VAMP7	8726	0.33267953991889954	-0.24237144	No	
row_20	NDE1	8906	0.3007831573486328	-0.24848618	No	
row_21	COPG1	9272	0.23620225489139557	-0.26483113	No	
row_22	KIF13A	9325	0.22737428545951843	-0.26516852	No	
row_23	KIF1C	9366	0.2202889770269394	-0.2649615	No	
row_24	SNAPIN	9436	0.20934082567691803	-0.26635858	No	
row_25	BICD2	10041	0.11126106977462769	-0.29628012	No	
row_26	CNIH2	10117	0.09996829181909561	-0.29911003	No	
row_27	FEZ1	10239	0.0754980593919754	-0.30455732	No	
row_28	DTNBP1	10995	-0.0558810718357563	-0.3428144	No	
row_29	BLOC1S4	11258	-0.09948824346065521	-0.35526705	No	
row_30	KIF1B	11998	-0.22932566702365875	-0.3909184	No	
row_31	CDC42	12281	-0.2809543013572693	-0.40253448	No	
row_32	AGBL4	12625	-0.3435039222240448	-0.41664502	No	
row_33	RAB1A	12781	-0.374430388212204	-0.42076838	No	
row_34	BLOC1S6	12893	-0.39517828822135925	-0.42241544	No	
row_35	AP3S2	12908	-0.3973723351955414	-0.41905102	No	
row_36	DYNC1I1	13062	-0.43000465631484985	-0.42250028	No	
row_37	AP3S1	13791	-0.574114203453064	-0.4540419	No	
row_38	BORCS5	13945	-0.6023961305618286	-0.4557192	No	
row_39	NDEL1	13977	-0.6084186434745789	-0.45105982	No	
row_40	KIF5B	14277	-0.6634596586227417	-0.4596186	No	
row_41	TRIM58	14773	-0.7668144702911377	-0.47719574	No	
row_42	AP3M1	14963	-0.8004554510116577	-0.4786888	No	
row_43	MAPT	15095	-0.8294718861579895	-0.47690055	No	
row_44	BLOC1S1	15500	-0.9258116483688354	-0.48816308	Yes	
row_45	HAP1	15537	-0.935738742351532	-0.48039645	Yes	
row_46	KIFAP3	15681	-0.9720959663391113	-0.47775936	Yes	
row_47	RASGRP1	16048	-1.0602401494979858	-0.4856857	Yes	
row_48	MGARP	16059	-1.0621354579925537	-0.47528264	Yes	
row_49	BLOC1S5	16223	-1.0998930931091309	-0.4723606	Yes	
row_50	AP3M2	16483	-1.162335991859436	-0.47373426	Yes	
row_51	DYNC1H1	16500	-1.1671946048736572	-0.4625599	Yes	
row_52	RHOT2	16885	-1.2796273231506348	-0.469157	Yes	
row_53	SUN1	16975	-1.301992654800415	-0.46035168	Yes	
row_54	HTT	17347	-1.4146455526351929	-0.46489236	Yes	
row_55	SYBU	17573	-1.4850742816925049	-0.46119997	Yes	
row_56	UXT	17712	-1.535964012145996	-0.45250988	Yes	
row_57	TRAK2	17765	-1.5563966035842896	-0.4391866	Yes	
row_58	AP3B1	17981	-1.6448254585266113	-0.43333787	Yes	
row_59	KIF3B	18023	-1.6641098260879517	-0.41834167	Yes	
row_60	PAFAH1B1	18159	-1.7250932455062866	-0.4075533	Yes	
row_61	FYCO1	18174	-1.732164978981018	-0.3904689	Yes	
row_62	MAP1B	18227	-1.7566710710525513	-0.37508702	Yes	
row_63	RAB6A	18306	-1.7849115133285522	-0.36075217	Yes	
row_64	BICD1	18398	-1.829494595527649	-0.34662762	Yes	
row_65	SUN2	18403	-1.8313193321228027	-0.32800972	Yes	
row_66	PEX14	18657	-1.9702450037002563	-0.32077053	Yes	
row_67	OPA1	18669	-1.9749009609222412	-0.30103683	Yes	
row_68	MAP2	18695	-1.9887795448303223	-0.28188053	Yes	
row_69	UCHL1	18706	-1.9955471754074097	-0.26188317	Yes	
row_70	KIF5A	18812	-2.070221185684204	-0.24600433	Yes	
row_71	KIF3A	18828	-2.0819926261901855	-0.2253756	Yes	
row_72	RHOT1	18893	-2.1269781589508057	-0.20680465	Yes	
row_73	TRAK1	19119	-2.3473849296569824	-0.19424881	Yes	
row_74	ARHGAP21	19216	-2.4723806381225586	-0.17377341	Yes	
row_75	BLOC1S2	19227	-2.49771785736084	-0.14861438	Yes	
row_76	MREG	19250	-2.532366991043091	-0.12371639	Yes	
row_77	AP3D1	19254	-2.537729501724243	-0.09778607	Yes	
row_78	ACTR10	19274	-2.5651779174804688	-0.07239653	Yes	
row_79	LAMP1	19279	-2.570347309112549	-0.046182368	Yes	
row_80	HIF1A	19284	-2.5808393955230713	-0.019860364	Yes	
row_81	UBB	19466	-3.1280882358551025	0.002983127	Yes	
