NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEC11A	561	2.314844846725464	-0.004156633	No	
row_1	IDE	911	2.092116594314575	2.1747331E-4	No	
row_2	PSMB1	2441	1.524035930633545	-0.06218736	No	
row_3	TADA3	3085	1.3621585369110107	-0.08073223	No	
row_4	PSMB9	3552	1.2601158618927002	-0.091259025	No	
row_5	GPAA1	3574	1.2556557655334473	-0.07893659	No	
row_6	PSMA4	4722	1.0235885381698608	-0.12702797	No	
row_7	UBQLN4	4833	0.9981659054756165	-0.12203337	No	
row_8	PSMD7	4955	0.9761512875556946	-0.117839746	No	
row_9	SPG7	5427	0.8929786682128906	-0.13254265	No	
row_10	PSMD9	6090	0.7767390608787537	-0.15831394	No	
row_11	PSMC3	6753	0.6639484763145447	-0.18528917	No	
row_12	PSMB11	7132	0.6006247401237488	-0.19832751	No	
row_13	PIGK	7158	0.5952880382537842	-0.1932597	No	
row_14	F7	7279	0.5734863877296448	-0.1933127	No	
row_15	ATXN7L3	7324	0.5647873878479004	-0.18954808	No	
row_16	PSMB10	7335	0.5632464289665222	-0.18405049	No	
row_17	PSMD8	8052	0.44340598583221436	-0.21615829	No	
row_18	PSME3	8416	0.3854946494102478	-0.23072113	No	
row_19	PSMA1	8461	0.37476345896720886	-0.22898483	No	
row_20	UBQLN1	9012	0.282029926776886	-0.2542739	No	
row_21	SUPT20HL1	9140	0.2598443627357483	-0.25803488	No	
row_22	TAF12	9234	0.24177934229373932	-0.2602393	No	
row_23	ADRM1	9502	0.19898797571659088	-0.2718534	No	
row_24	PSMD3	9783	0.1540011763572693	-0.2846166	No	
row_25	PSMC4	9866	0.1369340866804123	-0.2873741	No	
row_26	PSMD2	9982	0.11977461725473404	-0.2920128	No	
row_27	PAAF1	10147	0.09537605941295624	-0.29943314	No	
row_28	PSMD5	10168	0.090087890625	-0.2995006	No	
row_29	PSMD10	10573	0.019599035382270813	-0.32007864	No	
row_30	PSMB4	10577	0.019194956868886948	-0.32002813	No	
row_31	PSMA5	10747	-0.012220907025039196	-0.3285933	No	
row_32	TAF9	10958	-0.04989371448755264	-0.338866	No	
row_33	PSMB2	11471	-0.13914041221141815	-0.36372504	No	
row_34	PIGS	11543	-0.15197958052158356	-0.36575598	No	
row_35	PSMA8	11914	-0.21348701417446136	-0.38251504	No	
row_36	PSMB8	12164	-0.2595856487751007	-0.39255613	No	
row_37	SUPT20HL2	12407	-0.3054389953613281	-0.4017476	No	
row_38	VCP	12757	-0.3693118393421173	-0.41576284	No	
row_39	PSMA2	12789	-0.37725478410720825	-0.41333106	No	
