NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLR2I	527	2.346696615219116	0.022126876	No	
row_1	NELFB	2909	1.403633713722229	-0.070663005	No	
row_2	NELFA	3449	1.279952883720398	-0.07150549	No	
row_3	HPN	6996	0.6222947239875793	-0.24046087	No	
row_4	POLR2D	7020	0.6188881993293762	-0.22867261	No	
row_5	NELFE	7351	0.5589004158973694	-0.23389791	No	
row_6	POLR2C	9006	0.28270280361175537	-0.31286407	No	
row_7	JUN	9481	0.2026086151599884	-0.3329461	No	
row_8	NELFCD	10495	0.0358608216047287	-0.384186	No	
row_9	SMARCA4	10682	-0.0013856904115527868	-0.39370328	No	
row_10	SP1	11225	-0.09382379055023193	-0.4195549	No	
row_11	LEF1	11555	-0.15400758385658264	-0.43321335	No	
row_12	ZNF639	11615	-0.16358602046966553	-0.43281356	No	
row_13	DHX9	12197	-0.2657812833786011	-0.45706347	No	
row_14	SNW1	12858	-0.3898707330226898	-0.48276773	No	
row_15	POLR2F	13341	-0.48597511649131775	-0.49732244	No	
row_16	POLR2G	13995	-0.6120601296424866	-0.5180115	No	
row_17	NUCKS1	14030	-0.6175656318664551	-0.5068155	No	
row_18	GTF2B	14502	-0.7057541608810425	-0.5162002	No	
row_19	SUPT5H	15560	-0.940741240978241	-0.5507367	Yes	
row_20	RRP1B	15796	-1.0003328323364258	-0.5418361	Yes	
row_21	TFAP4	15805	-1.0033595561981201	-0.5212214	Yes	
row_22	SMARCB1	16071	-1.0640869140625	-0.5125245	Yes	
row_23	POLR2B	16907	-1.2832233905792236	-0.5284904	Yes	
row_24	POLR2L	17525	-1.4713802337646484	-0.5293248	Yes	
row_25	CDK9	17608	-1.4960421323776245	-0.5021841	Yes	
row_26	POLR2H	17714	-1.536016583442688	-0.47538608	Yes	
row_27	POLR2E	17744	-1.5465693473815918	-0.44446632	Yes	
row_28	POLR2K	17755	-1.5497541427612305	-0.4125047	Yes	
row_29	GTF2F1	17762	-1.5549215078353882	-0.38022947	Yes	
row_30	CCNT1	17828	-1.5815675258636475	-0.350424	Yes	
row_31	EP300	17929	-1.6227669715881348	-0.32155156	Yes	
row_32	MDFIC	18211	-1.7469518184661865	-0.2993665	Yes	
row_33	CHD1	18333	-1.7974117994308472	-0.2679122	Yes	
row_34	CTDP1	18659	-1.97042977809906	-0.24330246	Yes	
row_35	POLR2A	18899	-2.1325697898864746	-0.21088123	Yes	
row_36	TAF11	18902	-2.1330227851867676	-0.16628668	Yes	
row_37	GTF2F2	18964	-2.1867170333862305	-0.12359509	Yes	
row_38	SUPT4H1	19000	-2.2153327465057373	-0.07896944	Yes	
row_39	POLR2J	19028	-2.2501919269561768	-0.033202726	Yes	
row_40	RSF1	19388	-2.796877145767212	0.006980081	Yes	
