NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA6	2647	1.4677166938781738	-0.095094875	No	
row_1	HSPA2	3556	1.2585434913635254	-0.106799774	No	
row_2	FKBP8	4368	1.0936384201049805	-0.11809792	No	
row_3	DNAJB8	4399	1.088817834854126	-0.08947627	No	
row_4	PFDN2	5958	0.8016095757484436	-0.14717326	No	
row_5	CCT2	8531	0.36402130126953125	-0.2689941	No	
row_6	DFFA	9164	0.2567659020423889	-0.2942936	No	
row_7	CALR3	9381	0.21837277710437775	-0.2993222	No	
row_8	HSPA1L	9610	0.18197983503341675	-0.30597425	No	
row_9	DNAJB1	11360	-0.11935169994831085	-0.39236513	No	
row_10	PFDN1	12505	-0.32414495944976807	-0.442056	No	
row_11	ZMYND10	13603	-0.5346032381057739	-0.48350683	No	
row_12	HSPA14	13625	-0.53722083568573	-0.4697028	No	
row_13	HSPA1A	15520	-0.9325898289680481	-0.5410033	No	
row_14	PDCL3	17150	-1.3516887426376343	-0.5871043	Yes	
row_15	RIC3	17486	-1.4584308862686157	-0.5638863	Yes	
row_16	HSP90AB1	18013	-1.6603161096572876	-0.54487133	Yes	
row_17	CLGN	18497	-1.8805214166641235	-0.5175515	Yes	
row_18	HSPA5	18905	-2.134676218032837	-0.47929394	Yes	
row_19	HSPA13	18946	-2.1683828830718994	-0.42128122	Yes	
row_20	HSPA1B	19129	-2.356680154800415	-0.3653351	Yes	
row_21	HSPA8	19182	-2.422741413116455	-0.3008921	Yes	
row_22	HSPA9	19276	-2.568364143371582	-0.23451804	Yes	
row_23	CD74	19366	-2.7455527782440186	-0.1630307	Yes	
row_24	CALR	19396	-2.8221261501312256	-0.08634521	Yes	
row_25	HSPB1	19501	-3.352297067642212	0.0011796382	Yes	
