NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RGN	12	3.747478485107422	0.12583376	Yes	
row_1	TACR2	98	2.9941534996032715	0.22250511	Yes	
row_2	PRDM14	769	2.173708915710449	0.26149416	Yes	
row_3	CATSPER1	891	2.108579635620117	0.326438	Yes	
row_4	TACR3	1375	1.8672242164611816	0.36467478	Yes	
row_5	SEMG1	1621	1.7691673040390015	0.4118074	Yes	
row_6	TPPP2	1955	1.660965085029602	0.45077637	Yes	
row_7	PGAM4	1974	1.6540740728378296	0.50566584	Yes	
row_8	GAS2L2	2308	1.5511195659637451	0.54092836	Yes	
row_9	TACR1	2436	1.5247018337249756	0.5858631	Yes	
row_10	EPPIN	3030	1.3763879537582397	0.6018971	Yes	
row_11	SEMG2	4957	0.9757235050201416	0.5360562	No	
row_12	DEFB1	6324	0.7346811294555664	0.4907985	No	
row_13	IQCF1	7276	0.5736719965934753	0.4613889	No	
row_14	RNASE10	7728	0.4967000186443329	0.45502174	No	
row_15	CCSAP	9223	0.24387121200561523	0.3866391	No	
row_16	TAC4	10916	-0.04296717047691345	0.30132413	No	
row_17	CFAP69	11842	-0.20097529888153076	0.26067206	No	
row_18	BBS2	11887	-0.20881089568138123	0.26546156	No	
row_19	TEX101	12622	-0.34269803762435913	0.23938593	No	
row_20	BBS4	13137	-0.44483208656311035	0.22803804	No	
row_21	MKKS	14744	-0.7602006196975708	0.17133433	No	
row_22	CCR6	16000	-1.0495200157165527	0.14239204	No	
row_23	CFAP20	16373	-1.1340456008911133	0.16158158	No	
