NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RGN	12	3.747478485107422	0.16102003	Yes	
row_1	TACR2	98	2.9941534996032715	0.28580582	Yes	
row_2	PRDM14	769	2.173708915710449	0.34521672	Yes	
row_3	TACR3	1375	1.8672242164611816	0.39474037	Yes	
row_4	SEMG1	1621	1.7691673040390015	0.45848864	Yes	
row_5	TPPP2	1955	1.660965085029602	0.51305896	Yes	
row_6	PGAM4	1974	1.6540740728378296	0.58347934	Yes	
row_7	TACR1	2436	1.5247018337249756	0.625611	Yes	
row_8	EPPIN	3030	1.3763879537582397	0.6545792	Yes	
row_9	SEMG2	4957	0.9757235050201416	0.5979351	No	
row_10	DEFB1	6324	0.7346811294555664	0.5596006	No	
row_11	IQCF1	7276	0.5736719965934753	0.5355948	No	
row_12	RNASE10	7728	0.4967000186443329	0.5338996	No	
row_13	TAC4	10916	-0.04296717047691345	0.372384	No	
row_14	CFAP69	11842	-0.20097529888153076	0.33363596	No	
row_15	TEX101	12622	-0.34269803762435913	0.3084848	No	
row_16	CCR6	16000	-1.0495200157165527	0.18064392	No	
