NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	73	3.0990283489227295	0.030149544	No	
row_1	NDUFA4L2	2256	1.5660974979400635	-0.06493678	No	
row_2	FOXRED1	2400	1.5330538749694824	-0.055519354	No	
row_3	COX7A1	2586	1.482634425163269	-0.048813574	No	
row_4	HIGD2A	3399	1.2899034023284912	-0.07646276	No	
row_5	NDUFC1	3715	1.2238212823867798	-0.079274304	No	
row_6	NDUFA8	3925	1.1836007833480835	-0.07707432	No	
row_7	COX7B2	3947	1.1792703866958618	-0.06525292	No	
row_8	COX6A2	4845	0.9951696395874023	-0.10049807	No	
row_9	SDHAF4	5415	0.895261824131012	-0.119967274	No	
row_10	NDUFA12	5586	0.8646206259727478	-0.11925123	No	
row_11	NDUFAF1	5929	0.8058443665504456	-0.12802412	No	
row_12	NDUFS1	6931	0.6343437433242798	-0.17256546	No	
row_13	COX5A	7578	0.5214351415634155	-0.2000845	No	
row_14	NDUFB11	8315	0.40153706073760986	-0.2335439	No	
row_15	COX4I1	8536	0.3634472191333771	-0.24088226	No	
row_16	NDUFA7	8930	0.2970602214336395	-0.25784427	No	
row_17	COX4I2	9504	0.1988724023103714	-0.2851378	No	
row_18	UQCC3	9615	0.1809123456478119	-0.28881586	No	
row_19	NDUFS8	10097	0.10300202667713165	-0.31242672	No	
row_20	SURF1	10681	-0.0013442481867969036	-0.34239554	No	
row_21	NDUFA4	11279	-0.1028551384806633	-0.37197384	No	
row_22	WDR93	11516	-0.14715039730072021	-0.38250142	No	
row_23	COX7B	11723	-0.18262729048728943	-0.391098	No	
row_24	COX6A1	11770	-0.1886952668428421	-0.39139938	No	
row_25	COX15	11911	-0.2128962278366089	-0.39627042	No	
row_26	COX8C	12033	-0.23561491072177887	-0.39991575	No	
row_27	NDUFS7	12400	-0.3043666183948517	-0.41540924	No	
row_28	NDUFS2	12515	-0.32551494240760803	-0.41771102	No	
row_29	NDUFA13	12589	-0.33796200156211853	-0.41776803	No	
row_30	CYCS	12700	-0.35806408524513245	-0.419508	No	
row_31	NDUFS3	12921	-0.40061450004577637	-0.42643976	No	
row_32	NDUFV1	12966	-0.41017112135887146	-0.42421535	No	
row_33	BCS1L	13018	-0.421550452709198	-0.4222264	No	
row_34	COX7A2	13093	-0.4356340765953064	-0.4212663	No	
row_35	NDUFB10	13252	-0.47012507915496826	-0.42424896	No	
row_36	NDUFA10	13492	-0.512168288230896	-0.43093744	No	
row_37	OXA1L	13572	-0.5268797874450684	-0.42923623	No	
row_38	NDUFA2	13601	-0.5339803695678711	-0.42483443	No	
row_39	SDHD	13699	-0.5526789426803589	-0.42377672	No	
row_40	SDHA	13877	-0.5914117693901062	-0.42640963	No	
row_41	NDUFB2	14354	-0.6788054704666138	-0.44346395	No	
row_42	NDUFA11	14362	-0.6797233819961548	-0.43638766	No	
row_43	NDUFA6	14765	-0.7650474309921265	-0.44869265	No	
row_44	NDUFA9	14866	-0.7830516695976257	-0.4452689	No	
row_45	CYC1	14902	-0.7885197997093201	-0.4384424	No	
row_46	COX7A2L	15216	-0.8581799864768982	-0.44515127	No	
row_47	NDUFB6	16054	-1.061004877090454	-0.4765904	Yes	
row_48	UQCRB	16078	-1.0665067434310913	-0.4661055	Yes	
row_49	NDUFB8	16219	-1.0987626314163208	-0.461285	Yes	
row_50	NDUFB9	16487	-1.1634575128555298	-0.46228832	Yes	
row_51	NDUFB4	16804	-1.2538002729415894	-0.46482334	Yes	
row_52	NNT	16843	-1.2625670433044434	-0.45296496	Yes	
row_53	NDUFB7	17144	-1.3499342203140259	-0.45362535	Yes	
row_54	UQCRHL	17156	-1.3530917167663574	-0.439388	Yes	
row_55	SDHB	17220	-1.373236060142517	-0.42760465	Yes	
row_56	C15orf48	17280	-1.3929922580718994	-0.41539943	Yes	
row_57	NDUFB5	17440	-1.4468022584915161	-0.4077485	Yes	
row_58	HIGD1A	17640	-1.5076699256896973	-0.4014888	Yes	
row_59	COX6B1	17732	-1.5409563779830933	-0.3893106	Yes	
row_60	UQCRC2	17851	-1.5899460315704346	-0.37798503	Yes	
row_61	UQCR10	18007	-1.657707691192627	-0.367821	Yes	
row_62	UQCR11	18072	-1.6881605386734009	-0.35264373	Yes	
row_63	COX8A	18275	-1.7718786001205444	-0.3436479	Yes	
row_64	NDUFS5	18399	-1.8300461769104004	-0.32995272	Yes	
row_65	UQCRH	18432	-1.8432153463363647	-0.31143337	Yes	
row_66	NDUFS4	18491	-1.8779492378234863	-0.2938712	Yes	
row_67	TTC19	18550	-1.9036957025527954	-0.27602735	Yes	
row_68	NDUFA1	18708	-1.9966981410980225	-0.2622576	Yes	
row_69	NDUFB3	18723	-2.0082199573516846	-0.24100733	Yes	
row_70	UQCRQ	18821	-2.075815439224243	-0.22328623	Yes	
row_71	NDUFA5	18928	-2.1558778285980225	-0.2051521	Yes	
row_72	NDUFV2	18963	-2.1861724853515625	-0.18298359	Yes	
row_73	SDHC	18989	-2.208305597305298	-0.16011009	Yes	
row_74	NDUFS6	19077	-2.2985856533050537	-0.13943754	Yes	
row_75	UQCRFS1	19083	-2.30952525138855	-0.11442808	Yes	
row_76	NDUFB1	19099	-2.326361894607544	-0.08974872	Yes	
row_77	NDUFA3	19188	-2.4321136474609375	-0.067666784	Yes	
row_78	COX7C	19260	-2.545414924621582	-0.043471005	Yes	
row_79	NDUFV3	19280	-2.5732030868530273	-0.016296875	Yes	
row_80	NDUFAB1	19312	-2.6319806575775146	0.010903137	Yes	
