NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	73	3.0990283489227295	0.035044678	No	
row_1	NDUFA4L2	2256	1.5660974979400635	-0.05749984	No	
row_2	FOXRED1	2400	1.5330538749694824	-0.04565746	No	
row_3	NDUFC1	3715	1.2238212823867798	-0.09787345	No	
row_4	NDUFA8	3925	1.1836007833480835	-0.09379814	No	
row_5	COX7B2	3947	1.1792703866958618	-0.08011421	No	
row_6	COX6A2	4845	0.9951696395874023	-0.11375971	No	
row_7	SDHAF4	5415	0.895261824131012	-0.1317974	No	
row_8	NDUFA12	5586	0.8646206259727478	-0.12971088	No	
row_9	NDUFAF1	5929	0.8058443665504456	-0.13720064	No	
row_10	NDUFS1	6931	0.6343437433242798	-0.18070872	No	
row_11	COX5A	7578	0.5214351415634155	-0.207384	No	
row_12	NDUFB11	8315	0.40153706073760986	-0.24018611	No	
row_13	COX4I1	8536	0.3634472191333771	-0.24694368	No	
row_14	NDUFA7	8930	0.2970602214336395	-0.26342422	No	
row_15	COX4I2	9504	0.1988724023103714	-0.2903856	No	
row_16	UQCC3	9615	0.1809123456478119	-0.29377455	No	
row_17	NDUFS8	10097	0.10300202667713165	-0.3172075	No	
row_18	NDUFA4	11279	-0.1028551384806633	-0.37662092	No	
row_19	WDR93	11516	-0.14715039730072021	-0.38690868	No	
row_20	COX7B	11723	-0.18262729048728943	-0.39521036	No	
row_21	COX6A1	11770	-0.1886952668428421	-0.3952124	No	
row_22	COX8C	12033	-0.23561491072177887	-0.40572903	No	
row_23	NDUFS7	12400	-0.3043666183948517	-0.42073032	No	
row_24	NDUFS2	12515	-0.32551494240760803	-0.4225146	No	
row_25	NDUFA13	12589	-0.33796200156211853	-0.4220357	No	
row_26	NDUFS3	12921	-0.40061450004577637	-0.43403316	No	
row_27	NDUFV1	12966	-0.41017112135887146	-0.43115973	No	
row_28	BCS1L	13018	-0.421550452709198	-0.42850363	No	
row_29	NDUFB10	13252	-0.47012507915496826	-0.4345939	No	
row_30	NDUFA10	13492	-0.512168288230896	-0.44046617	No	
row_31	NDUFA2	13601	-0.5339803695678711	-0.43933228	No	
row_32	SDHD	13699	-0.5526789426803589	-0.43739888	No	
row_33	SDHA	13877	-0.5914117693901062	-0.43909246	No	
row_34	NDUFB2	14354	-0.6788054704666138	-0.45505995	No	
row_35	NDUFA11	14362	-0.6797233819961548	-0.44691026	No	
row_36	NDUFA6	14765	-0.7650474309921265	-0.45799464	No	
row_37	NDUFA9	14866	-0.7830516695976257	-0.45333144	No	
row_38	CYC1	14902	-0.7885197997093201	-0.4452589	No	
row_39	NDUFB6	16054	-1.061004877090454	-0.4911353	Yes	
row_40	UQCRB	16078	-1.0665067434310913	-0.47896585	Yes	
row_41	NDUFB8	16219	-1.0987626314163208	-0.47240618	Yes	
row_42	NDUFB9	16487	-1.1634575128555298	-0.4715641	Yes	
row_43	NDUFB4	16804	-1.2538002729415894	-0.47210956	Yes	
row_44	NDUFB7	17144	-1.3499342203140259	-0.47263366	Yes	
row_45	UQCRHL	17156	-1.3530917167663574	-0.4562597	Yes	
row_46	SDHB	17220	-1.373236060142517	-0.44230622	Yes	
row_47	C15orf48	17280	-1.3929922580718994	-0.42789984	Yes	
row_48	NDUFB5	17440	-1.4468022584915161	-0.4179596	Yes	
row_49	COX6B1	17732	-1.5409563779830933	-0.4136252	Yes	
row_50	UQCRC2	17851	-1.5899460315704346	-0.39978564	Yes	
row_51	UQCR10	18007	-1.657707691192627	-0.3869995	Yes	
row_52	COX8A	18275	-1.7718786001205444	-0.3785406	Yes	
row_53	NDUFS5	18399	-1.8300461769104004	-0.36195222	Yes	
row_54	UQCRH	18432	-1.8432153463363647	-0.34052175	Yes	
row_55	NDUFS4	18491	-1.8779492378234863	-0.31999278	Yes	
row_56	NDUFA1	18708	-1.9966981410980225	-0.3060981	Yes	
row_57	NDUFB3	18723	-2.0082199573516846	-0.28167677	Yes	
row_58	UQCRQ	18821	-2.075815439224243	-0.26067525	Yes	
row_59	NDUFA5	18928	-2.1558778285980225	-0.239134	Yes	
row_60	NDUFV2	18963	-2.1861724853515625	-0.21351284	Yes	
row_61	SDHC	18989	-2.208305597305298	-0.18715201	Yes	
row_62	NDUFS6	19077	-2.2985856533050537	-0.16284764	Yes	
row_63	UQCRFS1	19083	-2.30952525138855	-0.13419169	Yes	
row_64	NDUFB1	19099	-2.326361894607544	-0.10583893	Yes	
row_65	NDUFA3	19188	-2.4321136474609375	-0.07991433	Yes	
row_66	COX7C	19260	-2.545414924621582	-0.05169754	Yes	
row_67	NDUFV3	19280	-2.5732030868530273	-0.020460173	Yes	
row_68	NDUFAB1	19312	-2.6319806575775146	0.0108962525	Yes	
