NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	73	3.0990283489227295	0.024685076	No	
row_1	BID	1711	1.7363537549972534	-0.043638695	No	
row_2	COA6	2371	1.5394113063812256	-0.063430265	No	
row_3	COX10	2377	1.5386830568313599	-0.04956576	No	
row_4	SLC25A13	3117	1.3529877662658691	-0.075186074	No	
row_5	NDUFC1	3715	1.2238212823867798	-0.09468282	No	
row_6	NDUFA8	3925	1.1836007833480835	-0.094577536	No	
row_7	AIFM2	4268	1.1123985052108765	-0.10197152	No	
row_8	DLD	4358	1.094812035560608	-0.09650448	No	
row_9	COX6A2	4845	0.9951696395874023	-0.11238636	No	
row_10	ETFA	5363	0.9044403433799744	-0.13069658	No	
row_11	TAZ	5538	0.873523473739624	-0.13163564	No	
row_12	NDUFA12	5586	0.8646206259727478	-0.12611942	No	
row_13	MYBBP1A	5769	0.8342354893684387	-0.12783083	No	
row_14	NDUFAF1	5929	0.8058443665504456	-0.12861894	No	
row_15	GPD1	6606	0.6863501667976379	-0.15711483	No	
row_16	NDUFS1	6931	0.6343437433242798	-0.16796987	No	
row_17	COX5A	7578	0.5214351415634155	-0.19643517	No	
row_18	NDUFB11	8315	0.40153706073760986	-0.23063338	No	
row_19	COX4I1	8536	0.3634472191333771	-0.23862155	No	
row_20	NDUFA7	8930	0.2970602214336395	-0.2561237	No	
row_21	SLC25A18	8990	0.28553515672683716	-0.25653994	No	
row_22	COX4I2	9504	0.1988724023103714	-0.2811199	No	
row_23	UQCC3	9615	0.1809123456478119	-0.28512144	No	
row_24	NDUFS8	10097	0.10300202667713165	-0.30893418	No	
row_25	CDK1	10313	0.06526241451501846	-0.3194017	No	
row_26	CCNB1	10451	0.04296005889773369	-0.3260591	No	
row_27	NDUFA4	11279	-0.1028551384806633	-0.36768255	No	
row_28	COX7B	11723	-0.18262729048728943	-0.38880855	No	
row_29	COX6A1	11770	-0.1886952668428421	-0.38944444	No	
row_30	POLG2	11771	-0.1887493133544922	-0.38771212	No	
row_31	COX15	11911	-0.2128962278366089	-0.3929128	No	
row_32	ETFDH	11927	-0.21673929691314697	-0.39169568	No	
row_33	SNCA	12229	-0.2721736431121826	-0.4046908	No	
row_34	NDUFS7	12400	-0.3043666183948517	-0.41064763	No	
row_35	NDUFS2	12515	-0.32551494240760803	-0.4135279	No	
row_36	NDUFA13	12589	-0.33796200156211853	-0.4141836	No	
row_37	CYCS	12700	-0.35806408524513245	-0.41655925	No	
row_38	NDUFS3	12921	-0.40061450004577637	-0.42420632	No	
row_39	NDUFV1	12966	-0.41017112135887146	-0.42270657	No	
row_40	GPD2	13145	-0.4471522867679596	-0.4277647	No	
row_41	NDUFB10	13252	-0.47012507915496826	-0.428906	No	
row_42	NDUFA10	13492	-0.512168288230896	-0.4365072	No	
row_43	NDUFA2	13601	-0.5339803695678711	-0.43716538	No	
row_44	SDHD	13699	-0.5526789426803589	-0.43708575	No	
row_45	SDHA	13877	-0.5914117693901062	-0.4407684	No	
row_46	NDUFAF2	14221	-0.6541261076927185	-0.45241982	No	
row_47	NDUFB2	14354	-0.6788054704666138	-0.45298415	No	
row_48	NDUFA11	14362	-0.6797233819961548	-0.44710603	No	
row_49	IMMP2L	14682	-0.7507538199424744	-0.4566353	No	
row_50	COX5B	14719	-0.7550846338272095	-0.4515582	No	
row_51	NDUFA6	14765	-0.7650474309921265	-0.44685292	No	
row_52	NDUFA9	14866	-0.7830516695976257	-0.44481337	No	
row_53	CYC1	14902	-0.7885197997093201	-0.43937793	No	
row_54	SLC25A12	14989	-0.8050536513328552	-0.43641585	No	
row_55	COX7A2L	15216	-0.8581799864768982	-0.44017226	No	
row_56	COQ9	15983	-1.0453617572784424	-0.4700057	Yes	
row_57	NDUFB6	16054	-1.061004877090454	-0.46387094	Yes	
row_58	UQCRB	16078	-1.0665067434310913	-0.45526654	Yes	
row_59	NDUFB8	16219	-1.0987626314163208	-0.4523883	Yes	
row_60	SLC25A22	16403	-1.141968846321106	-0.45132682	Yes	
row_61	NDUFB9	16487	-1.1634575128555298	-0.44492093	Yes	
row_62	DNAJC15	16498	-1.1669725179672241	-0.4347253	Yes	
row_63	NDUFB4	16804	-1.2538002729415894	-0.43891704	Yes	
row_64	PINK1	16992	-1.306217908859253	-0.436554	Yes	
row_65	NDUFB7	17144	-1.3499342203140259	-0.43193677	Yes	
row_66	UQCRHL	17156	-1.3530917167663574	-0.42008442	Yes	
row_67	SDHB	17220	-1.373236060142517	-0.41072375	Yes	
row_68	PPARGC1A	17360	-1.4179905652999878	-0.40486422	Yes	
row_69	NDUFB5	17440	-1.4468022584915161	-0.39565194	Yes	
row_70	MECP2	17609	-1.496090054512024	-0.3905683	Yes	
row_71	COX6B1	17732	-1.5409563779830933	-0.38270515	Yes	
row_72	UQCRC2	17851	-1.5899460315704346	-0.37418652	Yes	
row_73	UQCR10	18007	-1.657707691192627	-0.36695042	Yes	
row_74	UQCR11	18072	-1.6881605386734009	-0.3547509	Yes	
row_75	COX6C	18097	-1.6976392269134521	-0.3404055	Yes	
row_76	SDHAF2	18247	-1.7632315158843994	-0.33189207	Yes	
row_77	COX8A	18275	-1.7718786001205444	-0.31701973	Yes	
row_78	NDUFS5	18399	-1.8300461769104004	-0.30655482	Yes	
row_79	UQCRH	18432	-1.8432153463363647	-0.2912851	Yes	
row_80	NDUFS4	18491	-1.8779492378234863	-0.27703488	Yes	
row_81	ISCU	18558	-1.9076142311096191	-0.26292416	Yes	
row_82	NDUFA1	18708	-1.9966981410980225	-0.25226805	Yes	
row_83	NDUFB3	18723	-2.0082199573516846	-0.23455743	Yes	
row_84	ETFB	18782	-2.047367811203003	-0.2187523	Yes	
row_85	UQCRQ	18821	-2.075815439224243	-0.20165662	Yes	
row_86	NDUFA5	18928	-2.1558778285980225	-0.18732627	Yes	
row_87	PARK7	18962	-2.18536376953125	-0.16896781	Yes	
row_88	NDUFV2	18963	-2.1861724853515625	-0.14890337	Yes	
row_89	SDHC	18989	-2.208305597305298	-0.12992258	Yes	
row_90	NDUFS6	19077	-2.2985856533050537	-0.113304496	Yes	
row_91	UQCRFS1	19083	-2.30952525138855	-0.09236529	Yes	
row_92	NDUFB1	19099	-2.326361894607544	-0.07178628	Yes	
row_93	NDUFA3	19188	-2.4321136474609375	-0.053994156	Yes	
row_94	COX7C	19260	-2.545414924621582	-0.034287136	Yes	
row_95	NDUFV3	19280	-2.5732030868530273	-0.011648534	Yes	
row_96	NDUFAB1	19312	-2.6319806575775146	0.01091186	Yes	
