NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR8G1	11	3.7546448707580566	0.007155775	Yes	
row_1	OR2H2	27	3.4687271118164062	0.013513421	Yes	
row_2	OR52E1	42	3.346069812774658	0.019670833	Yes	
row_3	OR5AN1	52	3.2363576889038086	0.025864039	Yes	
row_4	OR10A7	56	3.2176215648651123	0.03233272	Yes	
row_5	OR6C70	108	2.973149299621582	0.03578555	Yes	
row_6	OR1L8	109	2.966315746307373	0.04189377	Yes	
row_7	OR8S1	127	2.9040956497192383	0.046984043	Yes	
row_8	OR11A1	132	2.882770299911499	0.052710857	Yes	
row_9	OR4C46	186	2.7608823776245117	0.055621903	Yes	
row_10	OR51F1	193	2.7430012226104736	0.06095622	Yes	
row_11	OR13C4	194	2.7427725791931152	0.06660412	Yes	
row_12	OR4C45	197	2.7395131587982178	0.07214063	Yes	
row_13	OR56A3	204	2.7312111854553223	0.07745066	Yes	
row_14	OR2J3	234	2.6842262744903564	0.08146007	Yes	
row_15	OR1A1	261	2.62347412109375	0.08550142	Yes	
row_16	OR10H4	263	2.6209867000579834	0.090846196	Yes	
row_17	OR13C9	265	2.6185688972473145	0.09618599	Yes	
row_18	OR2M7	268	2.60914945602417	0.10145405	Yes	
row_19	OR4F5	298	2.563727855682373	0.10521533	Yes	
row_20	OR4E1	299	2.5636048316955566	0.11049429	Yes	
row_21	OR2A25	303	2.560526132583618	0.115609884	Yes	
row_22	OR2Y1	319	2.54248046875	0.120060205	Yes	
row_23	OR6M1	330	2.5342540740966797	0.12475531	Yes	
row_24	OR52E8	358	2.5091748237609863	0.12850894	Yes	
row_25	OR6C4	363	2.5060455799102783	0.13346	Yes	
row_26	OR5C1	364	2.5052130222320557	0.13861872	Yes	
row_27	OR7G1	380	2.48953914642334	0.14296003	Yes	
row_28	OR52E6	385	2.4833807945251465	0.14786442	Yes	
row_29	OR11H6	399	2.466012716293335	0.15226197	Yes	
row_30	OR8K3	412	2.4456369876861572	0.1566699	Yes	
row_31	OR13D1	436	2.4233298301696777	0.16045614	Yes	
row_32	OR9A4	466	2.400017023086548	0.1638803	Yes	
row_33	OR9A2	501	2.366825580596924	0.16697441	Yes	
row_34	OR52B6	509	2.361919403076172	0.17147167	Yes	
row_35	OR1P1	525	2.3481266498565674	0.17552178	Yes	
row_36	OR2T8	548	2.322279691696167	0.17915228	Yes	
row_37	OR56A4	558	2.316575527191162	0.18345147	Yes	
row_38	OR10G3	562	2.3145697116851807	0.1880606	Yes	
row_39	OR4D6	564	2.313932418823242	0.19277309	Yes	
row_40	OR5F1	569	2.311779737472534	0.19732411	Yes	
row_41	OR51A7	575	2.3083505630493164	0.20181574	Yes	
row_42	OR1G1	585	2.2969839572906494	0.2060746	Yes	
row_43	OR9Q2	588	2.292177438735962	0.21068995	Yes	
row_44	OR4M1	607	2.277013063430786	0.2144366	Yes	
row_45	OR4C3	645	2.244438648223877	0.21712166	Yes	
row_46	OR2A14	684	2.222507953643799	0.21970923	Yes	
row_47	OR2T35	723	2.1987905502319336	0.22224796	Yes	
row_48	OR5P2	733	2.192431926727295	0.22629152	Yes	
row_49	OR2W1	739	2.189608335494995	0.23053864	Yes	
row_50	OR51I2	749	2.1848084926605225	0.2345665	Yes	
row_51	OR4F15	772	2.172919750213623	0.23788942	Yes	
row_52	OR12D2	828	2.140725612640381	0.23941877	Yes	
row_53	OR5AC1	834	2.1367597579956055	0.24355707	Yes	
row_54	OR7A10	840	2.132383108139038	0.24768634	Yes	
row_55	OR11G2	862	2.123344898223877	0.25095952	Yes	
row_56	OR51B4	863	2.123011827468872	0.25533122	Yes	
row_57	OR1E3	896	2.1025876998901367	0.2579859	Yes	
row_58	OR4N5	929	2.0789170265197754	0.26059183	Yes	
row_59	OR5D13	947	2.0698752403259277	0.2639643	Yes	
row_60	NCAM2	983	2.0470657348632812	0.26634762	Yes	
row_61	OR6C68	988	2.0430855751037598	0.27034536	Yes	
row_62	OR10K1	993	2.0410544872283936	0.2743389	Yes	
row_63	OR5H6	1000	2.037339448928833	0.27822015	Yes	
row_64	OR13C2	1012	2.0315768718719482	0.28182778	Yes	
row_65	OR51A2	1026	2.02418851852417	0.2853155	Yes	
row_66	OR2T12	1027	2.0235471725463867	0.2894824	Yes	
row_67	OR4C15	1028	2.0230703353881836	0.2936483	Yes	
row_68	OR1E2	1031	2.0226151943206787	0.29770857	Yes	
row_69	OR6C1	1066	2.0057854652404785	0.30005923	Yes	
row_70	OR56A1	1075	1.9992579221725464	0.30375734	Yes	
row_71	OR11H2	1082	1.9961107969284058	0.30755368	Yes	
row_72	OR8D1	1111	1.9834680557250977	0.31017244	Yes	
row_73	OR4B1	1122	1.9772189855575562	0.3137205	Yes	
row_74	OR5M9	1185	1.9514566659927368	0.3144937	Yes	
row_75	OR14J1	1217	1.9362738132476807	0.31685823	Yes	
row_76	OR4C11	1238	1.9239422082901	0.31977317	Yes	
row_77	OR56A5	1246	1.9202684164047241	0.32336098	Yes	
row_78	OR13A1	1269	1.9123975038528442	0.32614744	Yes	
row_79	OR1I1	1284	1.9052624702453613	0.32933795	Yes	
row_80	OR10G2	1292	1.903506875038147	0.33289123	Yes	
row_81	OR6Y1	1296	1.901928186416626	0.33665064	Yes	
row_82	OR4F17	1323	1.8881347179412842	0.3391778	Yes	
row_83	OR13C7	1335	1.8838131427764893	0.34248117	Yes	
row_84	OR10AG1	1355	1.8764861822128296	0.3453507	Yes	
row_85	OR51E2	1359	1.8740793466567993	0.34905276	Yes	
row_86	OR1S1	1362	1.8723784685134888	0.35280368	Yes	
row_87	OR4Q3	1448	1.836655855178833	0.3521366	Yes	
row_88	OR2F2	1451	1.8345623016357422	0.35580963	Yes	
row_89	OR52L1	1469	1.8272294998168945	0.35868242	Yes	
row_90	OR10G7	1543	1.8002816438674927	0.35856858	Yes	
row_91	OR13C3	1626	1.7681894302368164	0.35791755	Yes	
row_92	OR4N2	1664	1.754381775856018	0.35959348	Yes	
row_93	OR13H1	1680	1.7502042055130005	0.36241236	Yes	
row_94	OR2M3	1681	1.7497832775115967	0.36601552	Yes	
row_95	OR4A16	1689	1.7460691928863525	0.3692446	Yes	
row_96	OR5M1	1718	1.7347397804260254	0.37135118	Yes	
row_97	OR5AP2	1760	1.7184550762176514	0.3727438	Yes	
row_98	OR13C8	1763	1.7178972959518433	0.3761766	Yes	
row_99	OR10AD1	1781	1.7122715711593628	0.37881267	Yes	
row_100	OR1D2	1802	1.7066885232925415	0.3812802	Yes	
row_101	OR6C2	1805	1.7060824632644653	0.38468868	Yes	
row_102	OR3A3	1860	1.6911039352416992	0.3853445	Yes	
row_103	OR4Q2	1877	1.6871689558029175	0.38798124	Yes	
row_104	OR8H3	1901	1.6795094013214111	0.3902358	Yes	
row_105	OR10G8	1923	1.671411156654358	0.39257836	Yes	
row_106	OR5R1	1941	1.6661015748977661	0.39511937	Yes	
row_107	OR6V1	1967	1.6575969457626343	0.39722413	Yes	
row_108	OR2T3	1976	1.6538962125778198	0.4002111	Yes	
row_109	OR6N1	1991	1.650025725364685	0.40287602	Yes	
row_110	OR52W1	1994	1.6481692790985107	0.40616524	Yes	
row_111	OR4D9	2015	1.643062949180603	0.40850177	Yes	
row_112	OR1J1	2067	1.6245545148849487	0.4091776	Yes	
row_113	BEST2	2091	1.6195327043533325	0.41130865	Yes	
row_114	OR6A2	2094	1.618675947189331	0.41453713	Yes	
row_115	OR6F1	2148	1.6000860929489136	0.41505787	Yes	
row_116	OR4A47	2174	1.5932765007019043	0.4170302	Yes	
row_117	OR5H2	2211	1.5790660381317139	0.41839746	Yes	
row_118	OR1J2	2223	1.5755201578140259	0.421066	Yes	
row_119	OR2J2	2258	1.565765619277954	0.42251056	Yes	
row_120	OR2L8	2305	1.5519920587539673	0.4232987	Yes	
row_121	OR10A3	2319	1.5487128496170044	0.42580733	Yes	
row_122	OR6P1	2394	1.5347825288772583	0.4250944	Yes	
row_123	OR8D4	2398	1.5339144468307495	0.428096	Yes	
row_124	OR2J1	2406	1.5321946144104004	0.4308847	Yes	
row_125	OR8G5	2407	1.53212571144104	0.43403962	Yes	
