NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HTR3E	172	2.791168212890625	0.053003985	Yes	
row_1	HTR1F	216	2.710453748703003	0.11083977	Yes	
row_2	OR10H4	263	2.6209867000579834	0.16653971	Yes	
row_3	HTR2C	549	2.321868658065796	0.20334896	Yes	
row_4	CHRM4	1064	2.0059478282928467	0.22140847	Yes	
row_5	HTR1D	1153	1.9636262655258179	0.26039118	Yes	
row_6	HTR5A	1230	1.9292141199111938	0.2992274	Yes	
row_7	HRH1	1414	1.8535054922103882	0.33089563	Yes	
row_8	HRH4	1453	1.8338979482650757	0.3695704	Yes	
row_9	HTR3A	1655	1.7586066722869873	0.39821276	Yes	
row_10	HTR4	1699	1.7416704893112183	0.43458793	Yes	
row_11	HTR7	2362	1.540614128112793	0.43474448	Yes	
row_12	HTR6	2462	1.5186636447906494	0.46330583	Yes	
row_13	CHRM1	2735	1.4442356824874878	0.48134074	Yes	
row_14	HTR2A	2797	1.428331732749939	0.50985104	Yes	
row_15	OR11H4	3163	1.3420498371124268	0.52084994	Yes	
row_16	OR5T2	3976	1.1756221055984497	0.5052237	Yes	
row_17	OR10H1	4090	1.1518466472625732	0.5249408	Yes	
row_18	HTR1A	4142	1.1406034231185913	0.5475905	Yes	
row_19	OR11H7	4175	1.132667064666748	0.5710394	Yes	
row_20	OR10H3	4566	1.0543960332870483	0.5743832	Yes	
row_21	CHRM3	4714	1.0249594449996948	0.5895448	Yes	
row_22	HTR3C	5247	0.9236924648284912	0.5827063	No	
row_23	OR5T3	6086	0.7776455283164978	0.55692977	No	
row_24	OR10H5	6100	0.7749140858650208	0.5734287	No	
row_25	HTR3D	6568	0.6936627626419067	0.5648301	No	
row_26	HTR1B	8085	0.4388214945793152	0.49675548	No	
row_27	DRD4	9463	0.2054634392261505	0.43064445	No	
row_28	OR10H2	9634	0.17831437289714813	0.42587075	No	
row_29	CHRM2	9995	0.11706613004207611	0.40999016	No	
row_30	OR6T1	10554	0.022731279954314232	0.3818592	No	
row_31	CHRM5	10668	0.0015280103543773293	0.37609434	No	
row_32	HTR3B	10815	-0.027246622368693352	0.36920574	No	
row_33	OR10J5	11519	-0.14813943207263947	0.336412	No	
row_34	HRH2	12431	-0.30949148535728455	0.2965188	No	
row_35	HTR1E	13420	-0.49892231822013855	0.25687054	No	
row_36	HRH3	16342	-1.1264147758483887	0.13192824	No	
row_37	HTR2B	17337	-1.4133507013320923	0.112228625	No	
