NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4A3	404	2.458249092102051	-0.0068656085	No	
row_1	SF3A3	452	2.4091827869415283	0.0044452245	No	
row_2	SNRPA	719	2.2009940147399902	0.0032467379	No	
row_3	RBM3	994	2.040973424911499	7.2199595E-4	No	
row_4	GPKOW	1029	2.0227556228637695	0.010500939	No	
row_5	PRPF39	1124	1.9770684242248535	0.01691741	No	
row_6	PABPC1	1171	1.956876516342163	0.025700236	No	
row_7	CWC15	2875	1.4111390113830566	-0.054293588	No	
row_8	PPIL1	3150	1.3467954397201538	-0.060777538	No	
row_9	CCDC12	3233	1.3253757953643799	-0.057457585	No	
row_10	PRPF4	3494	1.2716538906097412	-0.063646324	No	
row_11	SRSF2	4020	1.1667972803115845	-0.084133156	No	
row_12	U2AF2	4291	1.1080901622772217	-0.09177176	No	
row_13	PRPF40A	4790	1.00563645362854	-0.11178191	No	
row_14	TTF2	4885	0.988828182220459	-0.11100182	No	
row_15	GPATCH1	4930	0.980624794960022	-0.1076836	No	
row_16	ISY1	5411	0.8956700563430786	-0.12739037	No	
row_17	MAGOHB	5566	0.8673673868179321	-0.13040492	No	
row_18	TFIP11	6253	0.7462399005889893	-0.16161379	No	
row_19	DDX23	6336	0.7334564924240112	-0.16166982	No	
row_20	ZMAT2	6371	0.7272109985351562	-0.15927996	No	
row_21	SNRPD3	6440	0.7150456309318542	-0.15871722	No	
row_22	SART1	6459	0.7115092277526855	-0.15558973	No	
row_23	CASC3	6757	0.6636945009231567	-0.16715877	No	
row_24	SNRPC	6879	0.643152117729187	-0.16974607	No	
row_25	RBM41	7079	0.608640730381012	-0.17656268	No	
row_26	SF3A2	7125	0.6016968488693237	-0.17545736	No	
row_27	PPIH	7203	0.5870052576065063	-0.17609017	No	
row_28	LSM8	7679	0.5038003921508789	-0.19777346	No	
row_29	DHX16	8157	0.4275228977203369	-0.21999519	No	
row_30	LSM3	8633	0.34683436155319214	-0.24257372	No	
row_31	PRPF4B	8651	0.34398481249809265	-0.24149069	No	
row_32	AQR	8855	0.3086021840572357	-0.25022534	No	
row_33	MYEF2	8867	0.30622297525405884	-0.2490475	No	
row_34	XAB2	9049	0.2759622037410736	-0.25683096	No	
row_35	PRPF18	9113	0.26516908407211304	-0.25857556	No	
row_36	HNRNPA1	9488	0.2010389119386673	-0.27676412	No	
row_37	SNIP1	9506	0.19821101427078247	-0.2765125	No	
row_38	RBMXL3	9584	0.18674258887767792	-0.27942818	No	
row_39	RALY	9626	0.17922785878181458	-0.2805256	No	
row_40	CWF19L1	9837	0.14204804599285126	-0.29057208	No	
row_41	SNRPE	9937	0.1256745457649231	-0.29497343	No	
row_42	RNF113A	9953	0.1228858232498169	-0.29504803	No	
row_43	CCDC130	9978	0.12067215144634247	-0.29560053	No	
row_44	SNRPB	10373	0.05482053384184837	-0.315657	No	
row_45	SRSF1	10499	0.03481931984424591	-0.3219207	No	
row_46	GCFC2	10530	0.028406133875250816	-0.32330963	No	
row_47	LSM2	10579	0.018834806978702545	-0.3256837	No	
row_48	IVNS1ABP	10728	-0.009226160123944283	-0.33328244	No	
row_49	YBX1	10772	-0.017921404913067818	-0.33540326	No	
row_50	PLRG1	10870	-0.03663606569170952	-0.34020904	No	
row_51	LSM6	10949	-0.04828782007098198	-0.3439661	No	
row_52	PPP1R8	11032	-0.06230819597840309	-0.34785	No	
row_53	GEMIN2	11277	-0.10280822217464447	-0.359878	No	
row_54	LSM7	11331	-0.11350389569997787	-0.36197066	No	
row_55	ZMAT5	11504	-0.1442018747329712	-0.37004033	No	
row_56	EFTUD2	11550	-0.15276096761226654	-0.3714955	No	
row_57	HNRNPK	11571	-0.15629173815250397	-0.37163803	No	
row_58	PRPF8	11601	-0.16098834574222565	-0.37221912	No	
row_59	SF3B5	11608	-0.16249211132526398	-0.37160254	No	
row_60	RHEB	11836	-0.19993947446346283	-0.38219768	No	
row_61	C9orf78	11883	-0.2084764689207077	-0.3833868	No	
row_62	U2AF1	11916	-0.2136281430721283	-0.3838227	No	
row_63	SNRPA1	11989	-0.22798994183540344	-0.38624465	No	
row_64	DQX1	11997	-0.2289353460073471	-0.38530082	No	
row_65	ALYREF	12070	-0.23965619504451752	-0.38765624	No	
row_66	PTBP2	12310	-0.285543292760849	-0.39838353	No	
row_67	HNRNPC	12492	-0.3222406208515167	-0.40590304	No	
row_68	SNRNP200	12648	-0.34732624888420105	-0.41193533	No	
row_69	PHF5A	12840	-0.38695308566093445	-0.41960272	No	
row_70	RBMX2	12844	-0.3874695599079132	-0.4175479	No	
row_71	SNW1	12858	-0.3898707330226898	-0.41599637	No	
row_72	WDR83	12927	-0.4022253751754761	-0.4172178	No	
row_73	CWF19L2	13006	-0.4185238480567932	-0.41886324	No	
row_74	CACTIN	13029	-0.42360720038414	-0.41758457	No	
row_75	CWC22	13101	-0.4377898573875427	-0.41875824	No	
row_76	LUC7L	13143	-0.4457783102989197	-0.41833538	No	
row_77	SNRNP25	13155	-0.4502856433391571	-0.41633588	No	
row_78	BCAS2	13430	-0.5001068711280823	-0.42764887	No	
row_79	RBMXL2	13440	-0.5016038417816162	-0.4252533	No	
row_80	ADAR	13546	-0.5218289494514465	-0.4277054	No	
row_81	LGALS3	13581	-0.5289807319641113	-0.4264461	No	
row_82	SNRPF	13681	-0.5502856969833374	-0.42842573	Yes	
row_83	SNRNP35	13687	-0.5509427785873413	-0.42554194	Yes	
row_84	ZNF830	13689	-0.5516557097434998	-0.4224473	Yes	
row_85	PPIL3	13751	-0.5643308758735657	-0.42238227	Yes	
row_86	HNRNPH3	13801	-0.5760622620582581	-0.42162994	Yes	
row_87	USP39	13830	-0.5804595947265625	-0.41976687	Yes	
row_88	HNRNPA3	13847	-0.5847136378288269	-0.41725916	Yes	
row_89	RBM8A	13908	-0.5966960191726685	-0.41695783	Yes	
row_90	CDC5L	13933	-0.601036787033081	-0.4147706	Yes	
row_91	RBM17	13949	-0.6031306982040405	-0.41210616	Yes	
row_92	ZCRB1	13969	-0.6061240434646606	-0.40963143	Yes	
row_93	TXNL4A	14017	-0.6163991093635559	-0.40854564	Yes	
row_94	SNRPD1	14130	-0.6373753547668457	-0.41070062	Yes	
row_95	RBM22	14199	-0.6503414511680603	-0.4105069	Yes	
