NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA2	3556	1.2585434913635254	-0.15861672	No	
row_1	APOE	4329	1.101041555404663	-0.17731231	No	
row_2	HDAC6	5943	0.8036981821060181	-0.24483398	No	
row_3	FKBP4	6604	0.6867297291755676	-0.26565763	No	
row_4	PPP2R2A	6971	0.6279647946357727	-0.27250627	No	
row_5	TTBK1	7084	0.6077291965484619	-0.2667006	No	
row_6	MARK1	8099	0.436363160610199	-0.31045714	No	
row_7	ACTB	9418	0.21275965869426727	-0.37407094	No	
row_8	MAP1A	10240	0.07541760057210922	-0.4147828	No	
row_9	TTBK2	10810	-0.025932274758815765	-0.44349915	No	
row_10	APBB1	11318	-0.11070219427347183	-0.467421	No	
row_11	BIN1	11676	-0.17327484488487244	-0.4824529	No	
row_12	PIN1	11735	-0.18389061093330383	-0.4819339	No	
row_13	SNCA	12229	-0.2721736431121826	-0.5020669	No	
row_14	S100B	13045	-0.42590266466140747	-0.5358067	No	
row_15	LGMN	13119	-0.4415799677371979	-0.5311581	No	
row_16	AATF	13189	-0.45623210072517395	-0.5260256	No	
row_17	GSK3B	14881	-0.7848944067955017	-0.59790885	Yes	
row_18	MARK4	15132	-0.8390921354293823	-0.5947884	Yes	
row_19	SMAD2	15214	-0.857498288154602	-0.5826423	Yes	
row_20	BAG2	15440	-0.9091651439666748	-0.5769061	Yes	
row_21	GSK3A	15986	-1.0459363460540771	-0.58499646	Yes	
row_22	BRSK1	16564	-1.1862759590148926	-0.59206116	Yes	
row_23	STUB1	16620	-1.2036147117614746	-0.5719995	Yes	
row_24	DCTN1	16720	-1.2299302816390991	-0.55369616	Yes	
row_25	MARK3	16930	-1.2891873121261597	-0.539913	Yes	
row_26	ROCK2	17203	-1.368838906288147	-0.52784944	Yes	
row_27	PPP2CA	17211	-1.3712334632873535	-0.50213665	Yes	
row_28	FYN	17310	-1.404801845550537	-0.48045707	Yes	
row_29	DYRK1A	17559	-1.4819347858428955	-0.4650111	Yes	
row_30	CDK5	17772	-1.5609251260757446	-0.4462152	Yes	
row_31	TAOK2	17821	-1.5776726007461548	-0.41868198	Yes	
row_32	BRSK2	17875	-1.5977623462677002	-0.39102346	Yes	
row_33	EP300	17929	-1.6227669715881348	-0.3628895	Yes	
row_34	HSP90AB1	18013	-1.6603161096572876	-0.33558163	Yes	
row_35	MARK2	18256	-1.765045404434204	-0.3144447	Yes	
row_36	PPP2CB	18541	-1.9014225006103516	-0.29287082	Yes	
row_37	PRKAA1	18687	-1.9869879484176636	-0.26253447	Yes	
row_38	MAP2	18695	-1.9887795448303223	-0.2250799	Yes	
row_39	HSP90AA1	18760	-2.027526378631592	-0.18981469	Yes	
row_40	PICALM	18826	-2.080995559692383	-0.15358415	Yes	
row_41	TAOK1	18891	-2.1258797645568848	-0.11644888	Yes	
row_42	CLU	19141	-2.3692188262939453	-0.08418376	Yes	
row_43	ROCK1	19300	-2.6082396507263184	-0.04270253	Yes	
row_44	PPP5C	19405	-2.847959041595459	0.0061087087	Yes	
