NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH2	730	2.192805290222168	0.016702862	No	
row_1	DLD	4358	1.094812035560608	-0.14234428	No	
row_2	FAHD1	4744	1.0183550119400024	-0.13694653	No	
row_3	PDHB	4825	0.9991520047187805	-0.11637477	No	
row_4	ACO2	7888	0.4704584777355194	-0.26185393	No	
row_5	OGDHL	7935	0.46325182914733887	-0.252773	No	
row_6	PDHA2	10853	-0.03429199755191803	-0.4015849	No	
row_7	MDH1B	11167	-0.08324385434389114	-0.41558772	No	
row_8	SUCLG2	11310	-0.11033984273672104	-0.42014804	No	
row_9	IREB2	12391	-0.30275189876556396	-0.46808112	No	
row_10	PDHA1	12502	-0.3237251043319702	-0.46572965	No	
row_11	SDHD	13699	-0.5526789426803589	-0.51344174	No	
row_12	SDHA	13877	-0.5914117693901062	-0.5079166	No	
row_13	ME3	15163	-0.8476826548576355	-0.5529092	No	
row_14	OGDH	15979	-1.043770432472229	-0.56894517	Yes	
row_15	DLAT	16128	-1.0767178535461426	-0.54994655	Yes	
row_16	IDH3B	16168	-1.0871223211288452	-0.5250987	Yes	
row_17	FH	16290	-1.1133754253387451	-0.50380945	Yes	
row_18	CS	16561	-1.1850630044937134	-0.48839432	Yes	
row_19	MDH2	16576	-1.1891111135482788	-0.45974493	Yes	
row_20	DLST	16809	-1.2548826932907104	-0.44065583	Yes	
row_21	NNT	16843	-1.2625670433044434	-0.41116711	Yes	
row_22	SDHB	17220	-1.373236060142517	-0.39654306	Yes	
row_23	SUCLA2	17327	-1.4090980291366577	-0.36718076	Yes	
row_24	SUCLG1	17357	-1.4167038202285767	-0.33368006	Yes	
row_25	IDH1	17590	-1.491218090057373	-0.30875415	Yes	
row_26	MDH1	17813	-1.5755326747894287	-0.28123286	Yes	
row_27	DHTKD1	18160	-1.7251921892166138	-0.2563773	Yes	
row_28	ACO1	18196	-1.7394633293151855	-0.21521321	Yes	
row_29	SDHAF2	18247	-1.7632315158843994	-0.17423171	Yes	
row_30	ME2	18898	-2.131814956665039	-0.15493067	Yes	
row_31	SDHC	18989	-2.208305597305298	-0.105009325	Yes	
row_32	IDH3A	19242	-2.524564027786255	-0.055588823	Yes	
row_33	IDH3G	19400	-2.834566354751587	0.0063618915	Yes	
