NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRRT2	3328	1.3064202070236206	-0.11847989	No	
row_1	ADCY5	9315	0.22897523641586304	-0.4162223	No	
row_2	PNPT1	10581	0.018463067710399628	-0.48033735	No	
row_3	VPS13A	10697	-0.0035250636283308268	-0.4860923	No	
row_4	IREB2	12391	-0.30275189876556396	-0.5608044	No	
row_5	COQ2	12815	-0.38145506381988525	-0.56726766	No	
row_6	PRKRA	12827	-0.38416093587875366	-0.55250114	No	
row_7	SLC6A3	13820	-0.5793699026107788	-0.58023685	No	
row_8	PDE10A	14009	-0.6151520013809204	-0.5653265	No	
row_9	ATXN7	15255	-0.8667943477630615	-0.5945626	No	
row_10	SLC18A2	17632	-1.5058708190917969	-0.65627766	Yes	
row_11	FGF14	17946	-1.6310451030731201	-0.6072352	Yes	
row_12	GNAO1	18793	-2.0512280464172363	-0.5687497	Yes	
row_13	PANK2	18855	-2.098273277282715	-0.48814282	Yes	
row_14	JAM2	18913	-2.142256498336792	-0.40557566	Yes	
row_15	CHMP2B	19155	-2.392507791519165	-0.32245493	Yes	
row_16	FTL	19273	-2.564177989959717	-0.22612646	Yes	
row_17	MICU1	19404	-2.8450052738189697	-0.1192577	Yes	
row_18	SLC35A1	19467	-3.141327381134033	0.0029222479	Yes	
