NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_TAU_PROTEIN_BINDING	GO_TAU_PROTEIN_BINDING	Details ...	45	-0.6146166	-2.5132089	0.0	0.0	0.0	2962	tags=51%, list=15%, signal=60%	
GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	Details ...	99	-0.49402174	-2.4014416	0.0	0.005624099	0.007	3833	tags=45%, list=20%, signal=56%	
GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	Details ...	81	-0.5154438	-2.3713036	0.0	0.0075077787	0.014	3543	tags=46%, list=18%, signal=56%	
HP_OROFACIAL_DYSKINESIA	HP_OROFACIAL_DYSKINESIA	Details ...	19	-0.71637124	-2.3697069	0.0	0.005630834	0.014	1894	tags=47%, list=10%, signal=52%	
HP_DYSKINESIA	HP_DYSKINESIA	Details ...	181	-0.43566436	-2.340454	0.0	0.006460452	0.02	3701	tags=36%, list=19%, signal=45%	
GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	Details ...	45	-0.56809634	-2.33002	0.0	0.0064578173	0.024	3543	tags=49%, list=18%, signal=60%	
GO_TRICARBOXYLIC_ACID_CYCLE	GO_TRICARBOXYLIC_ACID_CYCLE	Details ...	34	-0.59472334	-2.329015	0.0	0.005758615	0.025	3547	tags=59%, list=18%, signal=72%	
GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	Details ...	97	-0.4795999	-2.3042507	0.0	0.006872781	0.034	3543	tags=42%, list=18%, signal=51%	
GO_RESPIRASOME	GO_RESPIRASOME	Details ...	81	-0.48819798	-2.3026147	0.0	0.006109139	0.034	3472	tags=42%, list=18%, signal=51%	
GO_SPLICEOSOMAL_COMPLEX	GO_SPLICEOSOMAL_COMPLEX	Details ...	182	-0.43156424	-2.284269	0.0	0.006797502	0.042	5845	tags=55%, list=30%, signal=78%	
GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	Details ...	41	-0.5704498	-2.28217	0.0	0.0064719277	0.044	3966	tags=54%, list=20%, signal=67%	
GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	Details ...	82	-0.49767923	-2.272826	0.0	0.006335635	0.047	4026	tags=46%, list=21%, signal=58%	
GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	Details ...	70	-0.49369872	-2.2718174	0.0	0.0058482788	0.047	4026	tags=47%, list=21%, signal=59%	
GO_TRANSPORT_ALONG_MICROTUBULE	GO_TRANSPORT_ALONG_MICROTUBULE	Details ...	157	-0.43577397	-2.2671764	0.0	0.005546112	0.048	4026	tags=39%, list=21%, signal=49%	
GO_NADH_DEHYDROGENASE_ACTIVITY	GO_NADH_DEHYDROGENASE_ACTIVITY	Details ...	37	-0.56977975	-2.2652164	0.0	0.0052878642	0.049	3472	tags=46%, list=18%, signal=56%	
GO_RESPIRATORY_CHAIN_COMPLEX	GO_RESPIRATORY_CHAIN_COMPLEX	Details ...	69	-0.504418	-2.2454123	0.0	0.0063740527	0.063	3472	tags=43%, list=18%, signal=53%	
GO_CELLULAR_RESPIRATION	GO_CELLULAR_RESPIRATION	Details ...	165	-0.42684463	-2.2438219	0.0	0.0060936227	0.064	3547	tags=39%, list=18%, signal=48%	
GO_PROTEIN_FOLDING_CHAPERONE	GO_PROTEIN_FOLDING_CHAPERONE	Details ...	26	-0.62454605	-2.2408102	0.0	0.0059340536	0.066	2376	tags=46%, list=12%, signal=52%	
GO_PEPTIDASE_COMPLEX	GO_PEPTIDASE_COMPLEX	Details ...	90	-0.47267282	-2.230459	0.0	0.00604765	0.071	4622	tags=47%, list=24%, signal=61%	
