NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_OLFACTORY_RECEPTOR_ACTIVITY	Details ...	395	0.54408485	2.9095874	0.0	0.0	0.0	6108	tags=61%, list=31%, signal=87%	
GO_SENSORY_PERCEPTION_OF_SMELL	GO_SENSORY_PERCEPTION_OF_SMELL	Details ...	420	0.5281957	2.8414137	0.0	0.0	0.0	6108	tags=59%, list=31%, signal=84%	
GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Details ...	489	0.494825	2.6988335	0.0	0.0	0.0	6108	tags=57%, list=31%, signal=80%	
GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Details ...	498	0.4833352	2.6438591	0.0	0.0	0.0	6108	tags=55%, list=31%, signal=78%	
GO_CONDENSED_NUCLEAR_CHROMOSOME_CENTROMERIC_REGION	GO_CONDENSED_NUCLEAR_CHROMOSOME_CENTROMERIC_REGION	Details ...	30	0.64945924	2.2631507	0.0	0.0014937504	0.012	1839	tags=37%, list=9%, signal=40%	
GO_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	GO_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	Details ...	38	0.5895448	2.2143128	0.0	0.002593585	0.025	4714	tags=58%, list=24%, signal=76%	
GO_SEROTONIN_RECEPTOR_ACTIVITY	GO_SEROTONIN_RECEPTOR_ACTIVITY	Details ...	33	0.6047515	2.1877658	0.0	0.0040858123	0.045	4714	tags=61%, list=24%, signal=80%	
GO_NEUROPEPTIDE_RECEPTOR_ACTIVITY	GO_NEUROPEPTIDE_RECEPTOR_ACTIVITY	Details ...	43	0.5645805	2.134953	0.0	0.007868966	0.097	4806	tags=51%, list=25%, signal=68%	
GO_NEUROPEPTIDE_SIGNALING_PATHWAY	GO_NEUROPEPTIDE_SIGNALING_PATHWAY	Details ...	101	0.4626574	2.0897572	0.0	0.015659628	0.211	3698	tags=40%, list=19%, signal=49%	
GO_FUSION_OF_SPERM_TO_EGG_PLASMA_MEMBRANE_INVOLVED_IN_SINGLE_FERTILIZATION	GO_FUSION_OF_SPERM_TO_EGG_PLASMA_MEMBRANE_INVOLVED_IN_SINGLE_FERTILIZATION	Details ...	19	0.6670435	2.052549	0.0	0.026053179	0.341	4785	tags=74%, list=25%, signal=98%	
GO_ODORANT_BINDING	GO_ODORANT_BINDING	Details ...	92	0.46132463	2.042921	0.0	0.02606789	0.366	7110	tags=59%, list=36%, signal=92%	
GO_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY	GO_REGULATION_OF_CILIUM_DEPENDENT_CELL_MOTILITY	Details ...	24	0.6018971	2.0046449	0.0	0.04078033	0.548	3030	tags=46%, list=16%, signal=54%	
GO_CONDENSED_NUCLEAR_CHROMOSOME_KINETOCHORE	GO_CONDENSED_NUCLEAR_CHROMOSOME_KINETOCHORE	Details ...	17	0.66004544	2.004365	0.0	0.037691347	0.549	1839	tags=41%, list=9%, signal=45%	
GO_INTERLEUKIN_13_PRODUCTION	GO_INTERLEUKIN_13_PRODUCTION	Details ...	20	0.63850135	2.0040994	0.0	0.03513339	0.55	5512	tags=65%, list=28%, signal=90%	
GO_PLASMA_MEMBRANE_FUSION	GO_PLASMA_MEMBRANE_FUSION	Details ...	21	0.62810785	2.0028543	0.0	0.033499308	0.555	4785	tags=71%, list=25%, signal=95%	
GO_SPERM_MOTILITY	GO_SPERM_MOTILITY	Details ...	91	0.4531421	1.9990302	0.0	0.03331162	0.576	3479	tags=36%, list=18%, signal=44%	
