NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	73	3.0990283489227295	0.011914241	No	
row_1	PIM3	230	2.6883199214935303	0.017455915	No	
row_2	PEMT	409	2.4500954151153564	0.020653525	No	
row_3	ORM1	589	2.291041851043701	0.02299413	No	
row_4	REEP6	1332	1.8850128650665283	-0.00584215	No	
row_5	MRAP	1420	1.8501874208450317	-9.748557E-4	No	
row_6	ABCB8	1570	1.7901904582977295	3.8172567E-4	No	
row_7	ECH1	1862	1.6908503770828247	-0.0061095986	No	
row_8	ALDOA	2040	1.6343423128128052	-0.0069903666	No	
row_9	LEP	2142	1.6018894910812378	-0.0041043386	No	
row_10	COL4A1	2313	1.550490140914917	-0.0050475686	No	
row_11	TALDO1	2390	1.535657525062561	-0.0012037425	No	
row_12	CIDEA	2413	1.5296496152877808	0.0054028174	No	
row_13	DHRS7B	2637	1.4695979356765747	0.0013086093	No	
row_14	SLC1A5	2640	1.4690262079238892	0.008642738	No	
row_15	MGLL	2659	1.4651724100112915	0.015129754	No	
row_16	PREB	2705	1.4514721632003784	0.020150833	No	
row_17	ESRRA	3206	1.330445647239685	0.001024272	No	
row_18	SLC27A1	3322	1.307254672050476	0.0016944342	No	
row_19	ECHS1	3345	1.3021589517593384	0.0071492246	No	
row_20	SCARB1	3661	1.2356153726577759	-0.002888324	No	
row_21	ADIPOQ	3817	1.2015966176986694	-0.0048221024	No	
row_22	GPAM	3824	1.2001667022705078	9.4390893E-4	No	
row_23	SLC25A1	4011	1.1679481267929077	-0.0027637053	No	
row_24	LTC4S	4105	1.149212121963501	-0.0017557513	No	
row_25	NKIRAS1	4290	1.1084668636322021	-0.005661065	No	
row_26	CRAT	4311	1.1039608716964722	-0.0011062878	No	
row_27	APOE	4329	1.101041555404663	0.0035888846	No	
row_28	DLD	4358	1.094812035560608	0.0076835416	No	
row_29	SLC19A1	4541	1.059775471687317	0.003635157	No	
row_30	AIFM1	4682	1.0314218997955322	0.001615671	No	
row_31	CHCHD10	4731	1.0216608047485352	0.0043054684	No	
row_32	DBT	5082	0.9531530737876892	-0.008972544	No	
row_33	RETN	5132	0.9447540640830994	-0.0067238454	No	
row_34	JAGN1	5196	0.932616114616394	-0.005260751	No	
row_35	IFNGR1	5217	0.928451657295227	-0.0015945648	No	
row_36	HSPB8	5316	0.9125268459320068	-0.002043557	No	
row_37	PLIN2	5516	0.8772876262664795	-0.007895191	No	
row_38	TST	5550	0.8716487884521484	-0.005189019	No	
row_39	PRDX3	5610	0.8612687587738037	-0.0038802512	No	
row_40	ARL4A	6081	0.7780196666717529	-0.024251955	No	
row_41	ANGPTL4	6139	0.7668312191963196	-0.023317868	No	
row_42	STAT5A	6279	0.7426722049713135	-0.026747549	No	
row_43	ITGA7	6377	0.7260086536407471	-0.028089145	No	
row_44	APLP2	6416	0.7205308675765991	-0.026406698	No	
row_45	YWHAG	6484	0.70792555809021	-0.026288098	No	
row_46	SORBS1	6706	0.670814573764801	-0.03432304	No	
row_47	PTGER3	6817	0.6544734835624695	-0.03669924	No	
row_48	ACADS	6932	0.63392174243927	-0.03938639	No	
row_49	RAB34	7025	0.6180717945098877	-0.041015837	No	
row_50	ME1	7083	0.6079956293106079	-0.040885925	No	
row_51	REEP5	7248	0.5779348015785217	-0.046442784	No	
row_52	RREB1	7628	0.5124521255493164	-0.063452065	No	
row_53	CYP4B1	7635	0.5107120275497437	-0.061176714	No	
row_54	QDPR	7711	0.49940699338912964	-0.06252763	No	
row_55	GPX3	7746	0.49421828985214233	-0.061784085	No	
row_56	ACO2	7888	0.4704584777355194	-0.066695414	No	
row_57	ENPP2	7913	0.46657228469848633	-0.065574594	No	
row_58	BCL2L13	7921	0.46521511673927307	-0.06358132	No	
row_59	PFKL	7944	0.46151432394981384	-0.06238265	No	
row_60	AGPAT3	8067	0.44134122133255005	-0.06645863	No	
row_61	SNCG	8117	0.4340269863605499	-0.0667957	No	
row_62	GPHN	8169	0.42643800377845764	-0.06727465	No	
row_63	AK2	8202	0.42117026448249817	-0.066797495	No	
row_64	DHCR7	8203	0.42115044593811035	-0.06466524	No	
row_65	ATP1B3	8257	0.41186031699180603	-0.065321445	No	
row_66	GBE1	8390	0.3895273506641388	-0.070177004	No	
row_67	GPX4	8460	0.37476712465286255	-0.07184861	No	
row_68	CAT	8594	0.35397377610206604	-0.076935895	No	
row_69	GPAT4	8599	0.35307395458221436	-0.0753552	No	
row_70	DHRS7	8608	0.3520600497722626	-0.073986545	No	
row_71	CPT2	8791	0.32233554124832153	-0.08176854	No	
row_72	UBQLN1	9012	0.282029926776886	-0.09172015	No	
row_73	CHUK	9271	0.23621766269207	-0.10386925	No	
row_74	CMBL	9389	0.21721945703029633	-0.10882131	No	
row_75	CMPK1	9519	0.1962062567472458	-0.11450046	No	
row_76	LPCAT3	9674	0.17342185974121094	-0.121588096	No	
row_77	SULT1A1	9756	0.15906572341918945	-0.124972485	No	
row_78	ACADL	9764	0.15714122354984283	-0.124538966	No	
row_79	LAMA4	9830	0.14375022053718567	-0.12717329	No	
row_80	ITIH5	9948	0.1235625147819519	-0.13259953	No	
row_81	MTCH2	10082	0.10497391223907471	-0.13894749	No	
row_82	GADD45A	10137	0.09668968617916107	-0.1412511	No	
row_83	ATL2	10279	0.07002779096364975	-0.14818978	No	
row_84	NABP1	10340	0.059982165694236755	-0.1509896	No	
row_85	LPL	10381	0.05311700701713562	-0.15278968	No	
row_86	FABP4	10391	0.05134223401546478	-0.15299526	No	
row_87	TANK	10470	0.039697855710983276	-0.15682882	No	
row_88	MRPL15	10539	0.02608880214393139	-0.16021404	No	
row_89	DDT	10585	0.018155984580516815	-0.16244975	No	
row_90	MCCC1	10615	0.013406236656010151	-0.1638819	No	
row_91	MYLK	10833	-0.03108425810933113	-0.17494886	No	
row_92	COQ5	10927	-0.04442444071173668	-0.17953436	No	
row_93	PPARG	11248	-0.09756910800933838	-0.19559239	No	
row_94	UCK1	11255	-0.09859932214021683	-0.19540353	No	
row_95	FAH	11262	-0.09995876252651215	-0.1952078	No	
row_96	ACOX1	11319	-0.11081686615943909	-0.19754334	No	
row_97	DECR1	11525	-0.14891909062862396	-0.207393	No	
row_98	ADIG	11602	-0.16141285002231598	-0.21050689	No	
row_99	LIFR	11657	-0.1699608564376831	-0.21243954	No	
row_100	COX7B	11723	-0.18262729048728943	-0.21487704	No	
row_101	CD151	11755	-0.18698430061340332	-0.21553382	No	
row_102	COX6A1	11770	-0.1886952668428421	-0.21530262	No	
row_103	SLC5A6	11791	-0.1919514387845993	-0.21536529	No	
row_104	RETSAT	12131	-0.2505870759487152	-0.23163137	No	
row_105	SLC25A10	12277	-0.28041741251945496	-0.23771176	No	
row_106	HIBCH	12287	-0.2826322615146637	-0.23674634	No	
row_107	SOWAHC	12364	-0.2960829436779022	-0.23917839	No	
row_108	LIPE	12644	-0.3464023470878601	-0.25185588	No	
row_109	RNF11	12737	-0.36475086212158203	-0.25476786	No	
row_110	ITSN1	12881	-0.39297014474868774	-0.26017496	No	
row_111	NDUFS3	12921	-0.40061450004577637	-0.26016396	No	
row_112	COQ3	12953	-0.4069313406944275	-0.25970715	No	
row_113	BCKDHA	13079	-0.433821439743042	-0.2639764	No	
row_114	DGAT1	13097	-0.43675750494003296	-0.26264444	No	
row_115	GPD2	13145	-0.4471522867679596	-0.2628116	No	
row_116	RIOK3	13184	-0.4557545483112335	-0.2624697	No	
row_117	DRAM2	13534	-0.5195913314819336	-0.2778911	No	
row_118	RMDN3	13680	-0.550195038318634	-0.28260562	No	
row_119	CD36	14070	-0.6236498951911926	-0.29956916	No	
row_120	ANGPT1	14082	-0.6272831559181213	-0.29696223	No	
row_121	ELOVL6	14240	-0.6575472950935364	-0.30175397	No	
row_122	UCP2	14452	-0.6962080597877502	-0.3091431	No	
row_123	SAMM50	14700	-0.7532773613929749	-0.31810537	No	
row_124	ALDH2	14788	-0.7694824934005737	-0.3187096	No	
row_125	CYC1	14902	-0.7885197997093201	-0.32056233	No	
row_126	TOB1	15101	-0.8311628699302673	-0.32659575	No	
row_127	PFKFB3	15297	-0.8753815293312073	-0.33225015	Yes	
row_128	G3BP2	15349	-0.8871280550956726	-0.33039665	Yes	
row_129	CCNG2	15402	-0.8978039622306824	-0.32854083	Yes	
row_130	ACADM	15422	-0.9039514064788818	-0.32494697	Yes	
row_131	PHLDB1	15545	-0.9374509453773499	-0.32651117	Yes	
row_132	BCL6	15564	-0.9421774744987488	-0.32267204	Yes	
row_133	GRPEL1	15693	-0.9765216708183289	-0.32434878	Yes	
