NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOS2	138	2.8670382499694824	0.009372626	Yes	
row_1	CRTAM	195	2.7399513721466064	0.022253215	Yes	
row_2	EREG	272	2.6035823822021484	0.03331455	Yes	
row_3	STAT4	395	2.467639446258545	0.041214786	Yes	
row_4	TNF	465	2.400123119354248	0.051466577	Yes	
row_5	LTB	512	2.358689069747925	0.06266899	Yes	
row_6	CD28	616	2.270491600036621	0.070416465	Yes	
row_7	FGR	680	2.22432017326355	0.07996624	Yes	
row_8	CCL7	999	2.0373919010162354	0.075255305	Yes	
row_9	CARTPT	1091	1.9925321340560913	0.0820228	Yes	
row_10	NCF4	1463	1.82998788356781	0.07337739	Yes	
row_11	IL12A	1607	1.776989459991455	0.07621525	Yes	
row_12	CCND3	1678	1.7502994537353516	0.08267381	Yes	
row_13	KLRD1	1707	1.7388194799423218	0.09123782	Yes	
row_14	MMP9	1856	1.6915117502212524	0.093325004	Yes	
row_15	F2R	1935	1.6685614585876465	0.098899305	Yes	
row_16	IL2RB	1969	1.6570777893066406	0.10673415	Yes	
row_17	TRAF2	2152	1.5990933179855347	0.106531285	Yes	
row_18	PF4	2159	1.5982153415679932	0.11542321	Yes	
row_19	IRF7	2179	1.5905691385269165	0.12359896	Yes	
row_20	IL4	2247	1.5685434341430664	0.12916611	Yes	
row_21	CD247	2324	1.547245740890503	0.13414532	Yes	
row_22	EIF3A	2333	1.5460511445999146	0.14263348	Yes	
row_23	RIPK2	2424	1.5277518033981323	0.14677659	Yes	
row_24	PRKCB	2498	1.5080037117004395	0.15168495	Yes	
row_25	TLR3	2738	1.4433127641677856	0.14763804	Yes	
row_26	SOCS1	2792	1.4296878576278687	0.15312955	Yes	
row_27	LCK	3017	1.3796017169952393	0.14949135	Yes	
row_28	CCR2	3249	1.32308030128479	0.1451658	Yes	
row_29	GCNT1	3290	1.3137778043746948	0.15066206	Yes	
row_30	CD8B	3306	1.309944748878479	0.15742888	Yes	
row_31	MRPL3	3357	1.2992029190063477	0.16232419	Yes	
row_32	IFNG	3492	1.271813988685608	0.16271871	Yes	
row_33	RPS19	3654	1.237395167350769	0.16151905	Yes	
row_34	TLR6	3738	1.21817946434021	0.16424164	Yes	
row_35	IL12RB1	3941	1.1806780099868774	0.16059557	Yes	
row_36	MAP4K1	4035	1.1639635562896729	0.16248895	Yes	
row_37	ITGB2	4078	1.1543513536453247	0.16696389	Yes	
row_38	IL1B	4162	1.1359037160873413	0.16921274	Yes	
row_39	ACVR2A	4327	1.1012470722198486	0.16707407	Yes	
row_40	FAS	4453	1.0797433853149414	0.16682802	Yes	
row_41	CFP	4643	1.0384124517440796	0.16303498	Yes	
row_42	CSK	4649	1.0379005670547485	0.16875243	Yes	
row_43	ELANE	4660	1.035799264907837	0.17419928	Yes	
row_44	CD2	4705	1.0260766744613647	0.17783223	Yes	
row_45	NLRP3	4769	1.0129191875457764	0.18040705	Yes	
row_46	CD8A	4864	0.9924566149711609	0.18126124	Yes	
row_47	ZAP70	4872	0.9914132952690125	0.18660764	Yes	
row_48	IL16	4939	0.9790357351303101	0.18883225	Yes	
row_49	ELF4	5016	0.9646927714347839	0.19045725	Yes	
row_50	IRF4	5035	0.962302565574646	0.1950673	Yes	
row_51	IFNGR1	5217	0.928451657295227	0.19105475	No	
row_52	ACHE	5585	0.8648661971092224	0.1770592	No	
row_53	LCP2	5636	0.8577059507369995	0.17941248	No	
row_54	TAP2	5739	0.8403803706169128	0.17897743	No	
row_55	GBP2	5755	0.8379456996917725	0.18302657	No	
row_56	RPL3L	5898	0.8116161823272705	0.18035774	No	
row_57	BCAT1	6360	0.7291427254676819	0.1607206	No	
row_58	CDKN2A	6520	0.7029871940612793	0.15654735	No	
row_59	PTPN6	6521	0.7029692530632019	0.16059488	No	
row_60	GALNT1	6546	0.6983795166015625	0.1633751	No	
row_61	IL11	6591	0.6898155808448792	0.16507193	No	
row_62	IL12B	6685	0.674194872379303	0.16414535	No	
row_63	TAPBP	6804	0.6560806035995483	0.16182189	No	
row_64	AKT1	6887	0.641941487789154	0.16127834	No	
row_65	RPS9	7131	0.6008909344673157	0.15217413	No	
row_66	PSMB10	7335	0.5632464289665222	0.14492133	No	
row_67	ITGAL	7339	0.5623011589050293	0.14800382	No	
row_68	ABCE1	7359	0.5574319362640381	0.15023102	No	
row_69	TLR2	7405	0.5489487051963806	0.15106507	No	
row_70	IL13	7499	0.5337144732475281	0.14932963	No	
row_71	FCGR2B	7501	0.5333902835845947	0.15234905	No	
row_72	IFNAR2	7633	0.5115853548049927	0.14852147	No	
row_73	LYN	7789	0.48723918199539185	0.14331281	No	
row_74	IL4R	8292	0.40488794445991516	0.11968884	No	
row_75	IKBKB	8323	0.4002014100551605	0.120441996	No	
row_76	WAS	8358	0.39581233263015747	0.12096307	No	
row_77	CCL11	8542	0.3619152009487152	0.11358512	No	
row_78	CD79A	8592	0.35423457622528076	0.113091245	No	
row_79	CD4	8722	0.3330383002758026	0.108339034	No	
row_80	MAP3K7	8894	0.30304598808288574	0.10124258	No	
row_81	CD3G	8972	0.28977012634277344	0.09892982	No	
row_82	LIF	8981	0.2880033850669861	0.10017445	No	
row_83	PRKCG	8984	0.2873181402683258	0.101725355	No	
row_84	IL18RAP	8996	0.28403398394584656	0.10279202	No	
row_85	HDAC9	9161	0.25699910521507263	0.09579236	No	
row_86	EGFR	9269	0.23642022907733917	0.09162132	No	
row_87	EIF3D	9427	0.21056608855724335	0.08471624	No	
row_88	CD40LG	9499	0.19912444055080414	0.082191795	No	
row_89	CD80	9690	0.1705099642276764	0.073349856	No	
row_90	IL9	9889	0.13383010029792786	0.0638831	No	
row_91	TGFB1	9984	0.11890158802270889	0.059707567	No	
row_92	BRCA1	10033	0.11182419210672379	0.057869647	No	
row_93	CTSS	10085	0.10474390536546707	0.055835854	No	
row_94	BCL3	10095	0.10305134207010269	0.055963866	No	
row_95	IRF8	10248	0.07465814799070358	0.048534777	No	
row_96	TLR1	10655	0.003064150223508477	0.027560744	No	
row_97	NCR1	10664	0.0017192467348650098	0.027157014	No	
row_98	UBE2N	10739	-0.011464693583548069	0.023396956	No	
row_99	GZMB	10801	-0.0240878127515316	0.020381726	No	
row_100	CCND2	10983	-0.05438883602619171	0.011336526	No	
row_101	BCL10	11121	-0.07624159753322601	0.0046921093	No	
row_102	IL7	11214	-0.09221743792295456	4.663411E-4	No	
row_103	APBB1	11318	-0.11070219427347183	-0.0042217365	No	
