NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZBTB10	82	3.0644137859344482	0.023176644	No	
row_1	NDRG1	211	2.7180516719818115	0.04088907	No	
row_2	GPD1L	346	2.523508310317993	0.056553382	No	
row_3	B4GALT1	1265	1.9152389764785767	0.026427463	No	
row_4	SCD	1434	1.8444384336471558	0.034270644	No	
row_5	ITGAV	1450	1.835465908050537	0.049908433	No	
row_6	CCND3	1678	1.7502994537353516	0.053873274	No	
row_7	KLK3	1942	1.6657341718673706	0.05522917	No	
row_8	SRF	2034	1.6375067234039307	0.06518544	No	
row_9	PTK2B	2128	1.605770230293274	0.07475504	No	
row_10	CDK6	4039	1.1632428169250488	-0.013151736	No	
row_11	BMPR1B	4185	1.1310005187988281	-0.010503189	No	
row_12	MERTK	4276	1.1113520860671997	-0.005199488	No	
row_13	IQGAP2	4953	0.9765211343765259	-0.03126233	No	
row_14	SPDEF	5038	0.9621508121490479	-0.026983734	No	
row_15	RRP12	5041	0.9615527987480164	-0.01848999	No	
row_16	AZGP1	5248	0.9235054850578308	-0.020836173	No	
row_17	HERC3	5333	0.9096083641052246	-0.017027326	No	
row_18	SLC26A2	5556	0.8691490888595581	-0.020682989	No	
row_19	SORD	5909	0.8096964359283447	-0.03156121	No	
row_20	UAP1	6339	0.732825756072998	-0.047089837	No	
row_21	AKT1	6887	0.641941487789154	-0.0695044	No	
row_22	TMEM50A	7662	0.5060610771179199	-0.10481736	No	
row_23	ZMIZ1	7848	0.4765750765800476	-0.11007843	No	
row_24	CCND1	8045	0.4446236193180084	-0.11619132	No	
row_25	CAMKK2	8464	0.3744055926799774	-0.13435821	No	
row_26	HSD17B14	8502	0.36938267946243286	-0.13296014	No	
row_27	TMPRSS2	9330	0.2269010841846466	-0.17349678	No	
row_28	ADRM1	9502	0.19898797571659088	-0.18051903	No	
row_29	RPS6KA3	9670	0.1742534339427948	-0.18755654	No	
row_30	SLC38A2	9709	0.16629569232463837	-0.18802561	No	
row_31	RAB4A	9913	0.1305103451013565	-0.1973071	No	
row_32	ALDH1A3	10068	0.10773316025733948	-0.20427021	No	
row_33	HPGD	10706	-0.0048691281117498875	-0.23701273	No	
row_34	MAF	10765	-0.015342308208346367	-0.23986079	No	
row_35	FKBP5	11298	-0.10839719325304031	-0.2662734	No	
row_36	NCOA4	11365	-0.12072180211544037	-0.2685911	No	
row_37	LIFR	11657	-0.1699608564376831	-0.28204918	No	
row_38	FADS1	11785	-0.19154325127601624	-0.28687334	No	
row_39	CENPN	11946	-0.22031062841415405	-0.29313877	No	
row_40	KLK2	11952	-0.22133028507232666	-0.29141733	No	
row_41	ABCC4	12434	-0.3108348846435547	-0.31339514	No	
row_42	SGK1	12723	-0.3613760769367218	-0.3249875	No	
row_43	PIAS1	12729	-0.362686425447464	-0.32200226	No	
row_44	ELOVL5	12987	-0.4149366021156311	-0.33152023	No	
row_45	PA2G4	13009	-0.41920650005340576	-0.3288532	No	
row_46	ELK4	13074	-0.43309587240219116	-0.32827517	No	
row_47	IDI1	13391	-0.4939168393611908	-0.3401237	No	
row_48	XRCC5	13732	-0.558716893196106	-0.35262814	No	
row_49	HMGCR	14079	-0.6264544129371643	-0.36483583	No	
row_50	GNAI3	14179	-0.6477140188217163	-0.36414045	No	
row_51	PLPP1	14697	-0.753099262714386	-0.38401714	No	
row_52	CDC14B	15127	-0.8375318646430969	-0.39860967	No	
row_53	ACSL3	15298	-0.8754568099975586	-0.39953253	No	
