NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NTNG1	152	2.836108922958374	0.050097603	Yes	
row_1	EPHB4	306	2.5592727661132812	0.09449221	Yes	
row_2	B4GALT1	1265	1.9152389764785767	0.08441857	Yes	
row_3	PKHD1	1418	1.851636528968811	0.114417985	Yes	
row_4	SRPX	1419	1.8502789735794067	0.15219177	Yes	
row_5	GATA3	1623	1.768515944480896	0.17787647	Yes	
row_6	GAS1	1913	1.675990104675293	0.1972579	Yes	
row_7	IL2RB	1969	1.6570777893066406	0.22826432	Yes	
row_8	MDGA1	2950	1.3947837352752686	0.20643623	Yes	
row_9	SLC22A12	3362	1.2985094785690308	0.21184915	Yes	
row_10	SCUBE1	3608	1.2485268115997314	0.22476234	Yes	
row_11	AKAP7	3791	1.206261396408081	0.24004643	Yes	
row_12	ATP6V0A4	3953	1.1781859397888184	0.25583526	Yes	
row_13	AFAP1L2	4557	1.0555663108825684	0.2464332	No	
row_14	RHCG	5108	0.9496877789497375	0.23759006	No	
row_15	TMEM8B	6031	0.7893482446670532	0.206379	No	
row_16	FLOT2	6103	0.7744420170783997	0.21854499	No	
row_17	PLAUR	6260	0.7455841898918152	0.22575884	No	
row_18	CX3CL1	6575	0.6929932832717896	0.22378898	No	
row_19	MAL	6611	0.6855926513671875	0.23598894	No	
row_20	ATP8B1	7129	0.6012542843818665	0.22172634	No	
row_21	LYN	7789	0.48723918199539185	0.19784732	No	
row_22	BRCA1	10033	0.11182419210672379	0.08499831	No	
row_23	PCSK9	10368	0.055203452706336975	0.06898127	No	
row_24	SLC34A3	11418	-0.12928801774978638	0.017776132	No	
row_25	THY1	11875	-0.20716126263141632	-0.0014008549	No	
row_26	DCBLD2	12352	-0.29224878549575806	-0.019867353	No	
row_27	SHROOM2	13128	-0.44378477334976196	-0.050587717	No	
row_28	GSTM3	13215	-0.46188774704933167	-0.045572527	No	
row_29	LYPD3	13693	-0.5519871115684509	-0.05878775	No	
row_30	SLC2A4	13862	-0.588216245174408	-0.055402555	No	
row_31	APP	14316	-0.6711649298667908	-0.064952835	No	
row_32	ADAM10	14327	-0.6725733876228333	-0.05173542	No	
row_33	GHRL	14748	-0.7608307003974915	-0.05776129	No	
row_34	EFNA5	15162	-0.8474320769309998	-0.061659865	No	
row_35	IL2RG	15577	-0.9461893439292908	-0.063593626	No	
row_36	NCOA6	15643	-0.9635483622550964	-0.04725902	No	
row_37	RTN4RL1	15700	-0.978177011013031	-0.03016381	No	
row_38	SULF2	17466	-1.4531068801879883	-0.09109482	No	
row_39	CD160	17987	-1.6471794843673706	-0.08415866	No	
row_40	CROCC	19050	-2.2697012424468994	-0.09233416	No	
row_41	ADIPOR2	19131	-2.3572611808776855	-0.0483166	No	
row_42	HSPB1	19501	-3.352297067642212	0.0011805871	No	
