NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSD17B6	7	3.9613137245178223	0.031458884	Yes	
row_1	RBP1	225	2.694826602935791	0.041927148	Yes	
row_2	ISOC1	337	2.5296175479888916	0.05652862	Yes	
row_3	SULT1B1	625	2.2627620697021484	0.05992047	Yes	
row_4	PEX19	670	2.228663682937622	0.07555581	Yes	
row_5	IDH2	730	2.192805290222168	0.09013044	Yes	
row_6	PIPOX	759	2.1808080673217773	0.10620557	Yes	
row_7	SLCO1A2	819	2.1458585262298584	0.12040309	Yes	
row_8	AKR1D1	914	2.0892019271850586	0.1323426	Yes	
row_9	PEX13	984	2.046964645385742	0.14523064	Yes	
row_10	SULT2B1	1166	1.9590790271759033	0.1516434	Yes	
row_11	GC	1237	1.9258462190628052	0.16350703	Yes	
row_12	SLC27A5	1261	1.9163748025894165	0.17771564	Yes	
row_13	CYP7A1	1854	1.6920498609542847	0.1608121	Yes	
row_14	PEX6	1855	1.6917518377304077	0.17440118	Yes	
row_15	ABCG8	1882	1.6853649616241455	0.18659966	Yes	
row_16	PEX7	1920	1.672843098640442	0.19813092	Yes	
row_17	NR0B2	1982	1.6519163846969604	0.20825781	Yes	
row_18	NR1H4	2465	1.5184109210968018	0.1956258	Yes	
row_19	CROT	2490	1.5090645551681519	0.20651115	Yes	
row_20	SOAT2	2497	1.508044958114624	0.21831554	Yes	
row_21	ABCD2	2505	1.5046955347061157	0.2300415	Yes	
row_22	RXRG	2568	1.4866691827774048	0.23878953	Yes	
row_23	AR	2834	1.4228174686431885	0.23656774	Yes	
row_24	PEX11A	2965	1.3924733400344849	0.24105631	Yes	
row_25	LCK	3017	1.3796017169952393	0.24951093	Yes	
row_26	ABCD1	3140	1.3491604328155518	0.2540637	Yes	
row_27	ABCD3	3701	1.2272778749465942	0.2350752	Yes	
row_28	CYP8B1	3943	1.1804206371307373	0.23214264	Yes	
row_29	BBOX1	3958	1.1775351762771606	0.24088009	Yes	
row_30	ABCA4	3971	1.1763722896575928	0.24971123	Yes	
row_31	CYP46A1	3982	1.1740055084228516	0.25862637	Yes	
row_32	AQP9	4378	1.0920740365982056	0.24705133	No	
row_33	AGXT	5010	0.9651040434837341	0.22229958	No	
row_34	AMACR	5634	0.8577848672866821	0.19709788	No	
row_35	FDXR	5885	0.8157755732536316	0.19077268	No	
row_36	CH25H	6239	0.7502301335334778	0.17861526	No	
row_37	NPC1	6311	0.7371572852134705	0.18087916	No	
row_38	BCAR3	7015	0.6195460557937622	0.14964285	No	
