NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP14	218	2.7075626850128174	0.001768995	No	
row_1	PRSS3	497	2.3691904544830322	-0.0011974255	No	
row_2	CASP10	990	2.041773557662964	-0.016815001	No	
row_3	CASP7	1092	1.9920978546142578	-0.0124401795	No	
row_4	DPP4	1105	1.986745834350586	-0.0034859555	No	
row_5	APOBEC3F	1384	1.8642832040786743	-0.008885783	No	
row_6	BRPF3	1391	1.8620916604995728	-2.2186968E-4	No	
row_7	ANG	1478	1.8244035243988037	0.004120905	No	
row_8	GATA3	1623	1.768515944480896	0.0051931897	No	
row_9	RNF4	1683	1.7493735551834106	0.010571438	No	
row_10	GP1BA	1708	1.7387582063674927	0.017709555	No	
row_11	C4BPB	1897	1.681367039680481	0.0160851	No	
row_12	PHEX	1934	1.6686798334121704	0.02226455	No	
row_13	CEBPB	2161	1.597646951675415	0.01827034	No	
row_14	IRF7	2179	1.5905691385269165	0.025056466	No	
row_15	ANXA5	2514	1.5017588138580322	0.015011796	No	
row_16	S100A13	2551	1.4902398586273193	0.020331252	No	
row_17	HPCAL4	2556	1.489158272743225	0.027301297	No	
row_18	APOBEC3G	2755	1.439775824546814	0.02399505	No	
row_19	MT3	2803	1.4272304773330688	0.02844165	No	
row_20	LCK	3017	1.3796017169952393	0.024069237	No	
row_21	KLK1	3081	1.3635146617889404	0.027380858	No	
row_22	PIK3CG	3092	1.3600471019744873	0.033418186	No	
row_23	LTF	3158	1.3437798023223877	0.036531206	No	
row_24	ITIH1	3161	1.3424010276794434	0.04289744	No	
row_25	PRKCD	3499	1.270134687423706	0.031581223	No	
row_26	PSMB9	3552	1.2601158618927002	0.034963693	No	
row_27	DOCK4	3796	1.2059015035629272	0.028201817	No	
row_28	OLR1	3864	1.193537712097168	0.030487256	No	
row_29	MAFF	4161	1.136190414428711	0.020646986	No	
row_30	F8	4172	1.1334019899368286	0.025591996	No	
row_31	CDH13	4201	1.127759575843811	0.029578423	No	
row_32	PRSS36	4280	1.1094845533370972	0.030889586	No	
row_33	KCNIP2	4496	1.0709223747253418	0.024926001	No	
row_34	MSRB1	4564	1.0545806884765625	0.026541734	No	
row_35	DGKH	4602	1.0467864274978638	0.029672217	No	
row_36	COL4A2	4869	0.9917604327201843	0.020688178	No	
