NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC30A10	84	3.0475404262542725	0.01093071	No	
row_1	KEL	165	2.8159067630767822	0.020907275	No	
row_2	IGSF3	179	2.7758140563964844	0.03414828	No	
row_3	ENDOD1	484	2.378909111022949	0.030348646	No	
row_4	PDZK1IP1	596	2.287414312362671	0.03607282	No	
row_5	BPGM	634	2.255122423171997	0.045462593	No	
row_6	GYPB	642	2.24613094329834	0.056358967	No	
row_7	TYR	710	2.2061283588409424	0.06395149	No	
row_8	ALDH1L1	789	2.1626107692718506	0.07075694	No	
row_9	ABCB6	879	2.1145317554473877	0.07675246	No	
row_10	EPB42	1088	1.9936727285385132	0.07598723	No	
row_11	RAP1GAP	1361	1.8727965354919434	0.071305886	No	
row_12	MOCOS	1466	1.8286106586456299	0.07509243	No	
row_13	CCND3	1678	1.7502994537353516	0.07295215	No	
row_14	BLVRA	1910	1.6771126985549927	0.069410585	No	
row_15	MYL4	2047	1.6331474781036377	0.07056228	No	
row_16	SLC4A1	2200	1.5825977325439453	0.07063304	No	
row_17	ALDH6A1	2224	1.5751233100891113	0.07733852	No	
row_18	HBQ1	2474	1.5139083862304688	0.07204791	No	
row_19	PC	2807	1.4268524646759033	0.062028	No	
row_20	ALAD	2886	1.4089852571487427	0.065056	No	
row_21	TAL1	3174	1.3391392230987549	0.056923945	No	
row_22	TNS1	3478	1.274945855140686	0.047642566	No	
row_23	RHCE	3516	1.2675243616104126	0.052082133	No	
row_24	PGLS	3593	1.2521777153015137	0.05442761	No	
row_25	HBD	3879	1.190862774848938	0.045655776	No	
row_26	MFHAS1	4190	1.1298655271530151	0.035285145	No	
row_27	DCAF11	4214	1.125218391418457	0.039735537	No	
row_28	E2F2	4231	1.1213228702545166	0.04452846	No	
row_29	RHD	4365	1.09378981590271	0.043131858	No	
row_30	PRDX2	4366	1.0936908721923828	0.04861384	No	
row_31	DMTN	4416	1.0859160423278809	0.051522452	No	
row_32	SYNJ1	4587	1.0499117374420166	0.047992192	No	
row_33	UBAC1	4750	1.0167649984359741	0.044709567	No	
row_34	AQP3	4926	0.9809907674789429	0.04057524	No	
row_35	GYPC	5224	0.92708420753479	0.029860586	No	
row_36	SLC2A1	5253	0.9226194024085999	0.033036865	No	
row_37	AHSP	5265	0.9203441143035889	0.03708102	No	
row_38	HTATIP2	5403	0.8966390490531921	0.03448934	No	
row_39	TRIM10	5518	0.8770809173583984	0.032989245	No	
row_40	SLC25A37	5562	0.8679900169372559	0.035115864	No	
row_41	CA2	5674	0.8507279753684998	0.033638842	No	
row_42	ACP5	5779	0.8333685994148254	0.032436866	No	
row_43	CTSE	5932	0.805724561214447	0.028613655	No	
row_44	PSMD9	6090	0.7767390608787537	0.024386546	No	
