NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNF	465	2.400123119354248	0.006652644	Yes	
row_1	LTB	512	2.358689069747925	0.03433318	Yes	
row_2	DNTT	706	2.2094974517822266	0.052550677	Yes	
row_3	CCL7	999	2.0373919010162354	0.06348263	Yes	
row_4	LTBR	1608	1.7768402099609375	0.054838628	Yes	
row_5	IL1R1	1789	1.7108911275863647	0.06737324	Yes	
row_6	CD14	1983	1.651692271232605	0.07848492	Yes	
row_7	PF4	2159	1.5982153415679932	0.0898414	Yes	
row_8	CD38	2426	1.5265965461730957	0.09560398	Yes	
row_9	ITGB3	2756	1.4397351741790771	0.09701897	Yes	
row_10	SOCS1	2792	1.4296878576278687	0.113430984	Yes	
row_11	CXCL3	2815	1.42555832862854	0.13045919	Yes	
row_12	HMOX1	2882	1.4099582433700562	0.14502504	Yes	
row_13	TNFRSF21	2935	1.3964020013809204	0.16013846	Yes	
row_14	TNFRSF12A	3578	1.2545955181121826	0.1430925	Yes	
row_15	PTPN2	3781	1.2077953815460205	0.14808644	Yes	
row_16	STAM2	3932	1.182136058807373	0.15542868	Yes	
row_17	IL12RB1	3941	1.1806780099868774	0.17005761	Yes	
row_18	INHBE	3973	1.1759203672409058	0.1834427	Yes	
row_19	IL1B	4162	1.1359037160873413	0.18824105	Yes	
row_20	FAS	4453	1.0797433853149414	0.18707652	Yes	
row_21	CD9	4664	1.0348824262619019	0.18945618	Yes	
row_22	CSF3R	5150	0.9418861269950867	0.17650363	Yes	
row_23	IL17RA	5215	0.9293598532676697	0.1850501	Yes	
row_24	IFNGR1	5217	0.928451657295227	0.19682607	Yes	
row_25	IL9R	5254	0.9222720265388489	0.20672274	Yes	
row_26	PDGFC	5573	0.8663995862007141	0.20139998	Yes	
row_27	REG1A	5878	0.8174527287483215	0.19617394	Yes	
row_28	EBI3	5910	0.8095632791519165	0.20489205	Yes	
row_29	PIM1	5911	0.8094696402549744	0.21520378	Yes	
row_30	CSF2RB	5992	0.7966527938842773	0.22123659	Yes	
row_31	IL17RB	6073	0.7798956036567688	0.22705592	Yes	
row_32	IL1R2	6445	0.7136945128440857	0.21706127	No	
row_33	IL3RA	6564	0.6945057511329651	0.21983789	No	
row_34	SOCS3	6682	0.6747667193412781	0.22241452	No	
row_35	CRLF2	7027	0.6178175210952759	0.21258754	No	
row_36	ACVR1B	7205	0.5864341855049133	0.21095216	No	
row_37	TLR2	7405	0.5489487051963806	0.20770746	No	
row_38	TYK2	7539	0.5272992253303528	0.2075824	No	
row_39	ITGA4	7739	0.4949633479118347	0.20365	No	
row_40	STAT2	7849	0.4764815866947174	0.20411226	No	
row_41	CNTFR	7908	0.4678425192832947	0.2070882	No	
row_42	BAK1	8143	0.4300919771194458	0.20052882	No	
row_43	IL4R	8292	0.40488794445991516	0.19807267	No	
row_44	IFNAR1	8359	0.395643413066864	0.19971731	No	
row_45	CSF2	8702	0.33649659156799316	0.18640949	No	
row_46	JUN	9481	0.2026086151599884	0.1489658	No	
row_47	ACVRL1	9671	0.17423440515995026	0.14146213	No	
row_48	IRF9	9860	0.13770227134227753	0.13354453	No	
row_49	TGFB1	9984	0.11890158802270889	0.12873138	No	
row_50	IL10RB	10108	0.10130251944065094	0.123694055	No	
row_51	IL18R1	10645	0.0059299590066075325	0.096194744	No	
row_52	CD44	10923	-0.04371696710586548	0.08250121	No	
row_53	MYD88	10932	-0.045700106769800186	0.08267181	No	
row_54	CXCL11	11084	-0.07128657400608063	0.07581163	No	
row_55	IL7	11214	-0.09221743792295456	0.070349894	No	
row_56	CSF2RA	11291	-0.10670863091945648	0.067799374	No	
row_57	CXCL13	11369	-0.12172160297632217	0.06538866	No	
row_58	CXCL10	11398	-0.12580527365207672	0.0655508	No	
row_59	IL2RA	11802	-0.1940850466489792	0.047290638	No	
row_60	HAX1	11968	-0.22375549376010895	0.0416525	No	
row_61	IL13RA1	12218	-0.2698203921318054	0.03227975	No	
row_62	TNFRSF1B	12524	-0.3270457088947296	0.020755026	No	
row_63	GRB2	12743	-0.3660399913787842	0.014202817	No	
