NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROS1	14	3.69557523727417	0.018127907	Yes	
row_1	MMP14	218	2.7075626850128174	0.021436071	Yes	
row_2	EREG	272	2.6035823822021484	0.031975362	Yes	
row_3	IL1A	677	2.2251079082489014	0.022421874	Yes	
row_4	SLC28A2	708	2.2072267532348633	0.032129336	Yes	
row_5	AXL	731	2.192777156829834	0.042177036	Yes	
row_6	CD70	807	2.1539576053619385	0.049284287	Yes	
row_7	CLEC5A	830	2.140286922454834	0.059064217	Yes	
row_8	CSF3	836	2.136031150817871	0.06970208	Yes	
row_9	FZD5	991	2.0414557456970215	0.07214766	Yes	
row_10	CCL7	999	2.0373919010162354	0.082178846	Yes	
row_11	MSR1	1019	2.0276219844818115	0.09153927	Yes	
row_12	PTPRE	1134	1.973672866821289	0.095708825	Yes	
row_13	LTA	1156	1.9628890752792358	0.10463553	Yes	
row_14	TACR3	1375	1.8672242164611816	0.1028807	Yes	
row_15	HRH1	1414	1.8535054922103882	0.11036977	Yes	
row_16	GP1BA	1708	1.7387582063674927	0.10407881	Yes	
row_17	PDPN	1722	1.7325230836868286	0.1122443	Yes	
row_18	FFAR2	1780	1.7129091024398804	0.11803301	Yes	
row_19	IL1R1	1789	1.7108911275863647	0.12634686	Yes	
row_20	IL2RB	1969	1.6570777893066406	0.12553802	Yes	
row_21	CD14	1983	1.651692271232605	0.13329116	Yes	
row_22	TNFAIP6	2110	1.6143736839294434	0.13500689	Yes	
row_23	IRF7	2179	1.5905691385269165	0.13960232	Yes	
row_24	CCL20	2204	1.5817145109176636	0.1464293	Yes	
row_25	HBEGF	2357	1.5414632558822632	0.14642775	Yes	
row_26	PROK2	2383	1.537856936454773	0.15297925	Yes	
row_27	RIPK2	2424	1.5277518033981323	0.15870306	Yes	
row_28	TACR1	2436	1.5247018337249756	0.16591187	Yes	
row_29	CCL17	2487	1.5095409154891968	0.17102534	Yes	
row_30	TLR3	2738	1.4433127641677856	0.1654522	Yes	
row_31	ITGB3	2756	1.4397351741790771	0.17191711	Yes	
row_32	PDE4B	2800	1.4278007745742798	0.1769758	Yes	
row_33	MYC	2938	1.3960620164871216	0.17700866	Yes	
row_34	LCK	3017	1.3796017169952393	0.18001044	Yes	
row_35	APLNR	3191	1.3349043130874634	0.17786855	Yes	
row_36	IL10RA	3296	1.3123383522033691	0.17918186	Yes	
row_37	LY6E	3317	1.3079358339309692	0.18481918	Yes	
row_38	NMUR1	3496	1.2704259157180786	0.18208964	Yes	
row_39	VIP	3590	1.2527190446853638	0.183668	Yes	
row_40	ADM	3733	1.219639539718628	0.18254216	Yes	
row_41	OLR1	3864	1.193537712097168	0.18190409	Yes	
row_42	IRAK2	3964	1.1772865056991577	0.18278718	Yes	
row_43	SELE	4099	1.150331735610962	0.18172172	Yes	
row_44	IL1B	4162	1.1359037160873413	0.18430822	Yes	
row_45	MARCO	4176	1.1322976350784302	0.18941176	Yes	
row_46	ADORA2B	4254	1.116966962814331	0.1911255	Yes	
row_47	TNFRSF9	4279	1.1104737520217896	0.19554853	Yes	
row_48	ACVR2A	4327	1.1012470722198486	0.1987344	Yes	
row_49	AQP9	4378	1.0920740365982056	0.20171823	Yes	
row_50	HAS2	4500	1.07060968875885	0.20091876	Yes	
row_51	PCDH7	4627	1.0411146879196167	0.1997101	Yes	
row_52	NLRP3	4769	1.0129191875457764	0.19758146	Yes	
row_53	MET	4791	1.0055363178253174	0.20162441	Yes	
row_54	CMKLR1	4794	1.0042797327041626	0.20664407	Yes	
row_55	BDKRB1	4802	1.003040075302124	0.21139869	Yes	
row_56	TNFSF15	4853	0.9941089749336243	0.21388277	Yes	
row_57	P2RX7	4906	0.9850053787231445	0.21621694	Yes	
row_58	CD82	5025	0.9633884429931641	0.21502572	Yes	
row_59	SLAMF1	5123	0.9456932544708252	0.21483086	Yes	
row_60	CSF3R	5150	0.9418861269950867	0.21829039	Yes	
row_61	FPR1	5361	0.9045515060424805	0.2120386	No	
row_62	PSEN1	5477	0.8825147747993469	0.21059006	No	
row_63	RHOG	5521	0.8767159581184387	0.21283749	No	
row_64	LCP2	5636	0.8577059507369995	0.21131414	No	
row_65	PTAFR	5705	0.8449552059173584	0.21210594	No	
row_66	MEFV	5908	0.8099085092544556	0.20578532	No	
row_67	EBI3	5910	0.8095632791519165	0.20986341	No	
row_68	CD69	6149	0.7660529017448425	0.20145628	No	
row_69	PLAUR	6260	0.7455841898918152	0.19956793	No	
row_70	GPC3	6313	0.736727237701416	0.20063554	No	
row_71	CX3CL1	6575	0.6929932832717896	0.1906656	No	
row_72	IL12B	6685	0.674194872379303	0.1884648	No	
row_73	TAPBP	6804	0.6560806035995483	0.18570593	No	
row_74	TNFSF9	6941	0.6330205798149109	0.18189801	No	
row_75	SGMS2	6974	0.6271829009056091	0.18344168	No	
row_76	HPN	6996	0.6222947239875793	0.18552959	No	
