NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXNRD1	770	2.1733531951904297	0.007981494	No	
row_1	SBNO2	1186	1.950653076171875	0.029320067	No	
row_2	MBP	1510	1.8078409433364868	0.052259795	No	
row_3	MPO	2748	1.440938949584961	0.020253679	No	
row_4	PFKP	3402	1.289430022239685	0.014917853	No	
row_5	PRDX2	4366	1.0936908721923828	-0.0106125595	No	
row_6	PRDX4	5960	0.80146723985672	-0.07487567	No	
row_7	LSP1	6410	0.7212604880332947	-0.08215931	No	
row_8	HMOX2	6431	0.7165766358375549	-0.0675205	No	
row_9	SRXN1	7176	0.5897486805915833	-0.09282451	No	
row_10	FES	7502	0.5332355499267578	-0.09785254	No	
row_11	GPX3	7746	0.49421828985214233	-0.09952369	No	
row_12	MSRA	7979	0.455890417098999	-0.101468004	No	
row_13	GPX4	8460	0.37476712465286255	-0.117918134	No	
row_14	CAT	8594	0.35397377610206604	-0.11700787	No	
row_15	GCLC	9126	0.2633296251296997	-0.13851255	No	
row_16	STK25	9466	0.20506633818149567	-0.15143369	No	
row_17	HHEX	9660	0.17546556890010834	-0.15750633	No	
row_18	LAMTOR5	10476	0.0388355515897274	-0.1984994	No	
row_19	GLRX2	10951	-0.04875043407082558	-0.22176877	No	
row_20	ABCC1	11810	-0.1956254541873932	-0.26154175	No	
row_21	ERCC2	12054	-0.23815713822841644	-0.26881084	No	
row_22	G6PD	12205	-0.26686203479766846	-0.27067778	No	
row_23	NDUFS2	12515	-0.32551494240760803	-0.2794255	No	
row_24	PDLIM1	12597	-0.33937743306159973	-0.27616465	No	
row_25	SCAF4	12850	-0.38884249329566956	-0.28060156	No	
row_26	IPCEF1	13675	-0.5494718551635742	-0.3108933	No	
row_27	TXN	14302	-0.6684494018554688	-0.32841864	Yes	
row_28	NQO1	14382	-0.6828132271766663	-0.31754702	Yes	
row_29	GCLM	14406	-0.6861493587493896	-0.30372742	Yes	
row_30	NDUFA6	14765	-0.7650474309921265	-0.30538186	Yes	
row_31	MGST1	14812	-0.7741101384162903	-0.29082012	Yes	
row_32	TXNRD2	15053	-0.818248450756073	-0.28525338	Yes	
row_33	CDKN2D	15843	-1.0126280784606934	-0.3036228	Yes	
row_34	PRDX1	16605	-1.1990749835968018	-0.31647867	Yes	
row_35	NDUFB4	16804	-1.2538002729415894	-0.29923373	Yes	
row_36	GLRX	16895	-1.2810099124908447	-0.27584922	Yes	
row_37	OXSR1	17063	-1.3285508155822754	-0.25537857	Yes	
row_38	SOD2	17625	-1.5040723085403442	-0.25129867	Yes	
row_39	ATOX1	17697	-1.531760334968567	-0.22145687	Yes	
row_40	PRDX6	17918	-1.6168745756149292	-0.19740398	Yes	
row_41	GSR	18318	-1.7892436981201172	-0.17877266	Yes	
row_42	SOD1	18379	-1.8206281661987305	-0.14205097	Yes	
row_43	EGLN2	18402	-1.831308364868164	-0.10314487	Yes	
row_44	PRNP	18484	-1.873594045639038	-0.06634339	Yes	
row_45	FTL	19273	-2.564177989959717	-0.050741907	Yes	
row_46	JUNB	19417	-2.9081368446350098	0.005493391	Yes	
