NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUB1	0	5.659522533416748	0.039385676	Yes	
row_1	ELOVL3	40	3.3565685749053955	0.060733527	Yes	
row_2	CCNA1	99	2.9918293952941895	0.0785633	Yes	
row_3	THEG	312	2.5544614791870117	0.085407935	Yes	
row_4	YBX2	343	2.5243217945098877	0.10142813	Yes	
row_5	OAZ3	450	2.411926746368408	0.112747006	Yes	
row_6	TNNI3	664	2.235591411590576	0.11732099	Yes	
row_7	IDE	911	2.092116594314575	0.11919478	Yes	
row_8	CHRM4	1064	2.0059478282928467	0.12531626	Yes	
row_9	AKAP4	1218	1.9353992938995361	0.13089521	Yes	
row_10	HTR5A	1230	1.9292141199111938	0.14375374	Yes	
row_11	TNP1	1571	1.7895432710647583	0.1386745	Yes	
row_12	SYCP1	1599	1.7794350385665894	0.1496656	Yes	
row_13	DCC	2027	1.6392444372177124	0.13905402	Yes	
row_14	TALDO1	2390	1.535657525062561	0.13107345	Yes	
row_15	MLF1	2500	1.5077146291732788	0.13594504	Yes	
row_16	ART3	2531	1.4953557252883911	0.14480446	Yes	
row_17	ACRV1	2585	1.483017921447754	0.15239199	Yes	
row_18	KIF2C	2607	1.477321982383728	0.16159002	Yes	
row_19	RPL39L	2650	1.4666647911071777	0.16963097	Yes	
row_20	NEK2	2839	1.4219366312026978	0.16983178	Yes	
row_21	TNP2	2879	1.4106700420379639	0.17763776	Yes	
row_22	TEKT2	2915	1.4008889198303223	0.18558194	Yes	
row_23	POMC	2953	1.3943582773208618	0.19337754	Yes	
row_24	PAPOLB	2983	1.3880778551101685	0.20154196	Yes	
row_25	NCAPH	3115	1.3535170555114746	0.20420597	Yes	
row_26	GAPDHS	3169	1.3404866456985474	0.21080159	Yes	
row_27	CDKN3	3279	1.3165849447250366	0.21434307	Yes	
row_28	MTNR1A	3281	1.3163952827453613	0.22345255	Yes	
row_29	HSPA2	3556	1.2585434913635254	0.21808144	Yes	
row_30	NAA11	3570	1.2560640573501587	0.22615226	Yes	
row_31	DMC1	3612	1.2480390071868896	0.23272333	Yes	
row_32	IL12RB2	3679	1.2331715822219849	0.23790172	Yes	
row_33	MLLT10	3758	1.213992714881897	0.24232785	Yes	
row_34	ACRBP	3865	1.1935168504714966	0.24516758	Yes	
row_35	STAM2	3932	1.182136058807373	0.24999082	Yes	
row_36	TULP2	3989	1.1714856624603271	0.2552556	Yes	
row_37	GPR182	4198	1.1283963918685913	0.25238228	Yes	
row_38	NEFH	4286	1.1091248989105225	0.2556145	Yes	
row_39	ADAM2	4357	1.0950572490692139	0.25962546	Yes	
row_40	DNAJB8	4399	1.088817834854126	0.26508847	Yes	
row_41	MEP1B	4517	1.0659680366516113	0.26647332	Yes	
row_42	MTOR	4568	1.053403615951538	0.27122578	Yes	
row_43	ODF1	5113	0.9481504559516907	0.24977133	No	
row_44	ZPBP	5140	0.9435367584228516	0.25499684	No	
