NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FURIN	2813	1.4263546466827393	-0.11396159	No	
row_1	PPP1CA	2884	1.409855604171753	-0.087399915	No	
row_2	SMAD3	4156	1.136933445930481	-0.12835751	No	
row_3	SMURF2	4249	1.1173955202102661	-0.10918144	No	
row_4	NOG	4363	1.093993067741394	-0.09158447	No	
row_5	ID1	4658	1.036209225654602	-0.084519364	No	
row_6	SKI	4859	0.993358314037323	-0.073543146	No	
row_7	SLC20A1	6251	0.7484296560287476	-0.12897384	No	
row_8	PPP1R15A	6555	0.6969990730285645	-0.12962666	No	
row_9	SMAD7	6625	0.6832256317138672	-0.11855622	No	
row_10	BCAR3	7015	0.6195460557937622	-0.12528257	No	
row_11	CTNNB1	7329	0.5640239119529724	-0.12929331	No	
row_12	LEFTY2	7371	0.5546073913574219	-0.119535975	No	
row_13	NCOR2	7850	0.4764653742313385	-0.13389373	No	
row_14	WWTR1	7897	0.4694685637950897	-0.1262143	No	
row_15	MAP3K7	8894	0.30304598808288574	-0.17088516	No	
row_16	SERPINE1	8999	0.28335094451904297	-0.17016557	No	
row_17	KLF10	9047	0.27599915862083435	-0.16667579	No	
row_18	LTBP2	9054	0.2754749059677124	-0.16109155	No	
row_19	ID2	9097	0.26870593428611755	-0.157501	No	
row_20	CDKN1C	9344	0.2248152643442154	-0.16532637	No	
row_21	BMPR1A	9635	0.17828765511512756	-0.17640676	No	
row_22	TGFB1	9984	0.11890158802270889	-0.19173619	No	
row_23	SMAD1	10047	0.11037101596593857	-0.19255957	No	
row_24	TGIF1	10509	0.03164475038647652	-0.21555893	No	
row_25	RAB31	10722	-0.007717631757259369	-0.22628184	No	
row_26	SKIL	10755	-0.013987845741212368	-0.22762612	No	
row_27	FNTA	10921	-0.043702591210603714	-0.23516546	No	
row_28	ID3	12279	-0.2808457612991333	-0.29885155	No	
row_29	BMPR2	12537	-0.3297123908996582	-0.30499816	No	
row_30	BMP2	13350	-0.48762115836143494	-0.336271	No	
row_31	SMAD6	13779	-0.5703634023666382	-0.34605235	No	
row_32	TGFBR1	14073	-0.6240099668502808	-0.3477528	No	
row_33	FKBP1A	14889	-0.7857407927513123	-0.37280297	Yes	
row_34	HDAC1	15058	-0.8192504048347473	-0.36390746	Yes	
row_35	RHOA	15281	-0.8724848628044128	-0.3566466	Yes	
row_36	PMEPA1	15375	-0.8917074799537659	-0.34234935	Yes	
row_37	IFNGR2	15791	-0.9995097517967224	-0.3422836	Yes	
row_38	APC	16221	-1.0993629693984985	-0.34080103	Yes	
row_39	THBS1	16249	-1.1056767702102661	-0.31853732	Yes	
row_40	TJP1	16360	-1.1304819583892822	-0.3000058	Yes	
row_41	ENG	16438	-1.1511409282684326	-0.27933753	Yes	
row_42	SPTBN1	16581	-1.190481185913086	-0.26116607	Yes	
row_43	ARID4B	16828	-1.2591973543167114	-0.24686605	Yes	
row_44	XIAP	16966	-1.2997313737869263	-0.22610094	Yes	
row_45	ACVR1	17162	-1.35531485080719	-0.2071257	Yes	
row_46	CDK9	17608	-1.4960421323776245	-0.19797991	Yes	
row_47	SMURF1	17634	-1.5060105323791504	-0.16705036	Yes	
row_48	UBE2D3	17895	-1.6063930988311768	-0.14604285	Yes	
row_49	CDH1	18316	-1.7888438701629639	-0.1293501	Yes	
row_50	HIPK2	18601	-1.9335755109786987	-0.10257677	Yes	
row_51	PPM1A	18709	-1.9973832368850708	-0.065348156	Yes	
row_52	TRIM33	18856	-2.099008321762085	-0.027948773	Yes	
row_53	JUNB	19417	-2.9081368446350098	0.005495455	Yes	
