NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4A3	404	2.458249092102051	0.0020190033	No	
row_1	EIF4EBP1	479	2.382204055786133	0.020327324	No	
row_2	SEC11A	561	2.314844846725464	0.037649687	No	
row_3	NFYA	959	2.0631258487701416	0.03636037	No	
row_4	EXOSC1	1945	1.6644407510757446	0.0010864178	No	
row_5	CEBPB	2161	1.597646951675415	0.004848235	No	
row_6	STC2	2512	1.5022786855697632	7.7186077E-4	No	
row_7	PREB	2705	1.4514721632003784	0.004360934	No	
row_8	DNAJA4	3548	1.2604790925979614	-0.027299237	No	
row_9	PAIP1	3643	1.2406412363052368	-0.02062066	No	
row_10	CNOT6	4058	1.1587179899215698	-0.031183172	No	
row_11	EXOC2	4066	1.1569111347198486	-0.020801444	No	
row_12	TUBB2A	4164	1.1358301639556885	-0.015250573	No	
row_13	GOSR2	4421	1.08556067943573	-0.018355168	No	
row_14	NHP2	4515	1.0664634704589844	-0.013242382	No	
row_15	ALDH18A1	5402	0.8967475891113281	-0.050545953	No	
row_16	EDC4	5690	0.8468707203865051	-0.05746339	No	
row_17	DDX10	5701	0.8454838991165161	-0.050127853	No	
row_18	NOP14	5851	0.8215453624725342	-0.050173268	No	
row_19	FUS	5988	0.7972592711448669	-0.04977467	No	
row_20	KHSRP	6191	0.7579782009124756	-0.05313989	No	
row_21	EXOSC4	6379	0.7254377603530884	-0.05603474	No	
row_22	BAG3	6466	0.7106573581695557	-0.053865198	No	
row_23	TATDN2	6925	0.6351900100708008	-0.07155486	No	
row_24	SLC1A4	7000	0.6215516924858093	-0.06959468	No	
row_25	SRPRB	7173	0.5918862819671631	-0.07295707	No	
row_26	KDELR3	7241	0.5789830684661865	-0.07103164	No	
row_27	CKS1B	7428	0.544479250907898	-0.075555235	No	
row_28	DDIT4	7561	0.5234249830245972	-0.07749326	No	
row_29	ERO1A	7883	0.4716266393661499	-0.08964598	No	
row_30	EXOSC2	8069	0.4406146705150604	-0.09508249	No	
row_31	CEBPG	8121	0.4332601726055145	-0.09368611	No	
row_32	GEMIN4	8273	0.4081946611404419	-0.097672604	No	
row_33	EIF2S1	8278	0.4069661498069763	-0.09409982	No	
row_34	DNAJC3	8282	0.40649905800819397	-0.090479866	No	
row_35	LSM1	8804	0.31967487931251526	-0.114343755	No	
row_36	ATP6V0D1	8809	0.3185741603374481	-0.11159171	No	
row_37	NFYB	8821	0.316173255443573	-0.10922247	No	
row_38	EIF4E	9675	0.17340534925460815	-0.15154293	No	
row_39	EXOSC10	9990	0.11765508353710175	-0.16662186	No	
row_40	XPOT	10115	0.10015061497688293	-0.1720781	No	
row_41	TTC37	10260	0.07259653508663177	-0.17882021	No	
row_42	NABP1	10340	0.059982165694236755	-0.18233185	No	
row_43	EIF2AK3	10425	0.046072907745838165	-0.18623015	No	
row_44	ARFGAP1	10487	0.03715226799249649	-0.18902677	No	
row_45	ATF4	10742	-0.011903570033609867	-0.20199756	No	
row_46	FKBP14	10880	-0.03749777376651764	-0.20870505	No	
row_47	DCP2	10903	-0.041349392384290695	-0.20945413	No	
row_48	NOLC1	10997	-0.05650252848863602	-0.21371911	No	
row_49	POP4	11056	-0.06694155186414719	-0.21608461	No	
row_50	CHAC1	11204	-0.09011507034301758	-0.22281857	No	
row_51	ASNS	11457	-0.13719700276851654	-0.23452297	No	
row_52	PSAT1	11677	-0.17351026833057404	-0.24419065	No	
row_53	MTHFD2	11826	-0.19776412844657898	-0.24997655	No	
row_54	ATF6	12683	-0.3550592064857483	-0.2907648	No	
row_55	SSR1	12697	-0.35724979639053345	-0.28811717	No	
row_56	ZBTB17	12739	-0.3650588095188141	-0.28683904	No	
row_57	RRP9	13138	-0.4449443221092224	-0.3032051	No	
row_58	CCL2	13262	-0.4714956283569336	-0.3051618	No	
row_59	YWHAZ	13421	-0.499305784702301	-0.3086628	No	
row_60	SHC1	13472	-0.5089490413665771	-0.30651215	No	
row_61	DKC1	13606	-0.5347631573677063	-0.3083964	No	
row_62	EIF4A1	13838	-0.5832444429397583	-0.3148776	No	
row_63	EXOSC5	13872	-0.590285062789917	-0.3110962	No	
row_64	RPS14	14181	-0.6483820080757141	-0.32093817	No	
row_65	PARN	14270	-0.661252498626709	-0.31933036	No	
row_66	KIF5B	14277	-0.6634596586227417	-0.31347898	No	
row_67	IGFBP1	14330	-0.6731152534484863	-0.309907	No	
row_68	PDIA5	14686	-0.7513532638549805	-0.3212134	No	
row_69	PDIA6	14970	-0.8014425039291382	-0.32834664	No	
row_70	EEF2	15148	-0.8437440395355225	-0.329628	No	
row_71	IFIT1	15173	-0.8491974472999573	-0.32297897	No	
row_72	ATF3	15379	-0.8925656676292419	-0.32524902	No	
row_73	SLC30A5	15689	-0.9758910536766052	-0.3321015	Yes	
row_74	SPCS1	15692	-0.9763472080230713	-0.32313886	Yes	
row_75	DCP1A	15809	-1.0045632123947144	-0.31978536	Yes	
row_76	HSP90B1	15927	-1.0326555967330933	-0.31622252	Yes	
row_77	VEGFA	15988	-1.046687126159668	-0.3095938	Yes	
row_78	SEC31A	16091	-1.0696961879730225	-0.3049145	Yes	
row_79	LSM4	16167	-1.08705472946167	-0.29868352	Yes	
row_80	CXXC1	16610	-1.2018166780471802	-0.31028786	Yes	
row_81	TSPYL2	16638	-1.2095574140548706	-0.30044734	Yes	
row_82	DCTN1	16720	-1.2299302816390991	-0.2931987	Yes	
row_83	WFS1	16784	-1.2469027042388916	-0.28486544	Yes	
