NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPOP	463	2.401658296585083	-0.0065905238	No	
row_1	KIT	1524	1.8048642873764038	-0.04827357	No	
row_2	DLC1	2210	1.5792045593261719	-0.07223758	No	
row_3	MGLL	2659	1.4651724100112915	-0.084797345	No	
row_4	ITGB3	2756	1.4397351741790771	-0.07938283	No	
row_5	MGMT	2780	1.4323558807373047	-0.07025584	No	
row_6	MYC	2938	1.3960620164871216	-0.068302386	No	
row_7	PRKCE	3119	1.3529738187789917	-0.067845605	No	
row_8	GCNT1	3290	1.3137778043746948	-0.067155205	No	
row_9	SMAD3	4156	1.136933445930481	-0.10358876	No	
row_10	FZD2	4233	1.1212023496627808	-0.09943611	No	
row_11	ADORA2B	4254	1.116966962814331	-0.09242527	No	
row_12	ACVR2A	4327	1.1012470722198486	-0.088209964	No	
row_13	HAS2	4500	1.07060968875885	-0.089373626	No	
row_14	PDGFRB	4598	1.048090934753418	-0.08683065	No	
row_15	ID1	4658	1.036209225654602	-0.082413055	No	
row_16	ICA1	4721	1.023620367050171	-0.07824086	No	
row_17	MET	4791	1.0055363178253174	-0.07455995	No	
row_18	IRS1	5502	0.8793866038322449	-0.10485246	No	
row_19	RASA2	5507	0.8785056471824646	-0.098733276	No	
row_20	GRK5	6063	0.7814947962760925	-0.12173518	No	
row_21	MMP16	6328	0.7337148189544678	-0.13007028	No	
row_22	PIK3CD	6562	0.6949954628944397	-0.13708508	No	
row_23	VAV2	6617	0.6840240955352783	-0.13494541	No	
row_24	SMAD7	6625	0.6832256317138672	-0.13038705	No	
row_25	CAV1	6658	0.6776622533798218	-0.12715834	No	
row_26	ADGRL2	6690	0.6740118861198425	-0.12390434	No	
row_27	LDLR	7160	0.5948501229286194	-0.14381395	No	
row_28	PTGFR	7177	0.5895661115646362	-0.14039423	No	
row_29	ATXN1	7367	0.5552244782447815	-0.14614575	No	
row_30	LAMC1	7395	0.5503637194633484	-0.14357571	No	
row_31	PIK3R3	7555	0.524448037147522	-0.14800131	No	
row_32	ZMIZ1	7848	0.4765750765800476	-0.15963225	No	
row_33	AGGF1	7862	0.4750150144100189	-0.15688257	No	
row_34	TFPI	8025	0.4481528103351593	-0.16201228	No	
row_35	COL1A1	8096	0.4369925856590271	-0.16247664	No	
row_36	BCKDHB	8357	0.39639121294021606	-0.17303425	No	
row_37	LPAR1	8414	0.385569304227829	-0.17314671	No	
row_38	MAP2K5	8638	0.3459216356277466	-0.18215911	No	
row_39	CDK13	8653	0.3437756896018982	-0.18040599	No	
row_40	NOTCH2	8718	0.33339425921440125	-0.18130681	No	
row_41	SERPINE1	8999	0.28335094451904297	-0.19371	No	
row_42	SCN8A	9162	0.25696805119514465	-0.2002163	No	
row_43	RXRA	9201	0.24892473220825195	-0.20038414	No	
row_44	NFIB	9485	0.20165802538394928	-0.2135303	No	
row_45	MAPK14	9601	0.1842992603778839	-0.2181354	No	
row_46	BMPR1A	9635	0.17828765511512756	-0.21855393	No	
row_47	FHL2	9762	0.15794490277767181	-0.22391622	No	
row_48	APBB2	10016	0.11379648745059967	-0.23614751	No	
row_49	PRKCA	10053	0.109907366335392	-0.23721315	No	
row_50	SYNE1	10580	0.018828609958291054	-0.26421055	No	
row_51	KCNMA1	10591	0.016933536157011986	-0.26460448	No	
row_52	FBLN5	10637	0.007894407026469707	-0.2668689	No	
row_53	SIPA1L1	10768	-0.016079703345894814	-0.273459	No	
row_54	RND3	10812	-0.02645464800298214	-0.2754866	No	
row_55	SLC7A1	10821	-0.02866717241704464	-0.27569285	No	
row_56	DUSP1	10824	-0.029432564973831177	-0.2755841	No	
row_57	PPARG	11248	-0.09756910800933838	-0.29670143	No	
row_58	NEK7	11280	-0.10328961163759232	-0.29755682	No	
row_59	TGFBR3	11698	-0.17806212604045868	-0.31778508	No	
row_60	ATP2C1	11715	-0.181039497256279	-0.31730688	No	
row_61	ABCC1	11810	-0.1956254541873932	-0.32074717	No	
row_62	MRPS31	11900	-0.21077056229114532	-0.3238205	No	
row_63	BHLHE40	12159	-0.25850650668144226	-0.33526775	No	
row_64	SLC22A18	12195	-0.26546236872673035	-0.33516175	No	
row_65	COL11A1	12252	-0.2751426696777344	-0.33606932	No	
row_66	EFEMP1	12321	-0.2878311276435852	-0.33750454	No	
row_67	ANXA2	12375	-0.2984667122364044	-0.3380894	No	
row_68	COL1A2	12383	-0.3011647164821625	-0.336282	No	
row_69	ERBB2	12425	-0.3081415891647339	-0.33617824	No	
row_70	GJA1	12590	-0.3381815552711487	-0.34220293	No	
row_71	ATRX	12915	-0.39946800470352173	-0.35603973	No	
row_72	RGS4	13394	-0.4946264624595642	-0.37713525	No	
row_73	PHF3	13524	-0.517944872379303	-0.38006017	No	
row_74	LTBP1	13690	-0.551668107509613	-0.38459927	No	
row_75	NR1D2	13698	-0.5526379942893982	-0.3809812	No	
row_76	DDAH1	13841	-0.5840291976928711	-0.38410088	No	
row_77	MTA1	13842	-0.5841169953346252	-0.37989506	No	
row_78	MAGI2	13958	-0.6044417023658752	-0.381475	No	
row_79	NFKB1	14106	-0.632321834564209	-0.38450488	No	
row_80	WDR37	14680	-0.7506313920021057	-0.4086575	No	
row_81	CDON	14683	-0.7508824467658997	-0.40335408	No	
row_82	CITED2	14738	-0.7588194012641907	-0.40067586	No	
row_83	MT1E	14769	-0.7660837173461914	-0.39670733	No	
row_84	BDNF	14988	-0.8048922419548035	-0.40215707	No	
row_85	SYNJ2	15134	-0.8393834233283997	-0.40359288	No	
row_86	SDC2	15335	-0.8848674893379211	-0.4075383	No	
row_87	CELF2	15937	-1.0349159240722656	-0.43108833	Yes	
row_88	COL5A2	16030	-1.0561248064041138	-0.4282296	Yes	
row_89	CAP2	16124	-1.0760924816131592	-0.42527866	Yes	
row_90	INPP4B	16194	-1.0923347473144531	-0.42097276	Yes	
row_91	PDLIM5	16321	-1.1201046705245972	-0.41940722	Yes	
row_92	TJP1	16360	-1.1304819583892822	-0.41322756	Yes	
row_93	INSIG1	16367	-1.1320207118988037	-0.40538615	Yes	
row_94	YTHDC1	16527	-1.173652172088623	-0.4051373	Yes	
row_95	PTEN	16606	-1.2003238201141357	-0.40051812	Yes	
row_96	PRKAR2B	16746	-1.2372492551803589	-0.39877966	Yes	
row_97	NIPBL	16777	-1.2453925609588623	-0.39135996	Yes	
row_98	AMPH	16825	-1.258714199066162	-0.38472125	Yes	
row_99	RUNX1	16884	-1.2795735597610474	-0.37849975	Yes	
row_100	PRDM2	17028	-1.3206826448440552	-0.37636688	Yes	
row_101	COL3A1	17096	-1.3369220495224	-0.37019673	Yes	
row_102	IGF1R	17130	-1.34538996219635	-0.36221176	Yes	
row_103	PTPN21	17153	-1.3519470691680908	-0.35361215	Yes	
row_104	CDC42BPA	17168	-1.3566762208938599	-0.34456584	Yes	
row_105	F3	17228	-1.3741605281829834	-0.33771488	Yes	
row_106	ATP2B4	17264	-1.385148286819458	-0.3295468	Yes	
row_107	VLDLR	17270	-1.3883415460586548	-0.31980824	Yes	
row_108	FYN	17310	-1.404801845550537	-0.311705	Yes	
row_109	ATRN	17321	-1.407272458076477	-0.30208802	Yes	
row_110	ADD3	17355	-1.416579246520996	-0.2935905	Yes	
row_111	ATP2B1	17423	-1.4417067766189575	-0.28666583	Yes	
row_112	TGFBR2	17491	-1.459869384765625	-0.27961043	Yes	
row_113	DYRK1A	17559	-1.4819347858428955	-0.27239612	Yes	
row_114	SNAI2	17638	-1.5076102018356323	-0.26556438	Yes	
row_115	CACNA1A	17651	-1.5123647451400757	-0.2552939	Yes	
row_116	DLG1	17711	-1.5358104705810547	-0.247279	Yes	
row_117	ANXA4	17715	-1.5360755920410156	-0.23637353	Yes	
row_118	PLCB4	18074	-1.6888353824615479	-0.24268033	Yes	
row_119	SCAF8	18195	-1.7390629053115845	-0.23634857	Yes	
row_120	MAP1B	18227	-1.7566710710525513	-0.22529908	Yes	
row_121	RBPMS	18229	-1.757671594619751	-0.21269487	Yes	
row_122	PTPRM	18454	-1.8566412925720215	-0.2108812	Yes	
row_123	SFMBT1	18590	-1.9264566898345947	-0.2039739	Yes	
row_124	KALRN	18655	-1.9697223901748657	-0.19309264	Yes	
row_125	PEX14	18657	-1.9702450037002563	-0.17895785	Yes	
row_126	NR3C1	18722	-2.008070707321167	-0.16780046	Yes	
row_127	DAB2	18764	-2.0344009399414062	-0.15526706	Yes	
row_128	PLPP3	18934	-2.1634089946746826	-0.14840747	Yes	
row_129	NRP1	18938	-2.165497303009033	-0.13296996	Yes	
row_130	ARHGEF9	19035	-2.256373882293701	-0.121675394	Yes	
row_131	MIOS	19108	-2.3372108936309814	-0.10856077	Yes	
row_132	DBP	19148	-2.3823883533477783	-0.09341859	Yes	
row_133	IGFBP5	19169	-2.4100747108459473	-0.07709697	Yes	
row_134	SRI	19178	-2.4186158180236816	-0.06009485	Yes	
row_135	PMP22	19200	-2.4475746154785156	-0.0435548	Yes	
row_136	AKT3	19283	-2.579075813293457	-0.029214507	Yes	
row_137	CDKN1B	19331	-2.6615443229675293	-0.012474985	Yes	
row_138	PIAS3	19459	-3.1080987453460693	0.0033531783	Yes	
