NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DKK1	64	3.1558990478515625	0.084662326	Yes	
row_1	HDAC2	660	2.236288547515869	0.116442814	Yes	
row_2	CUL1	2521	1.4994630813598633	0.06276136	Yes	
row_3	MYC	2938	1.3960620164871216	0.08031427	Yes	
row_4	PSEN2	3112	1.3541697263717651	0.10917216	Yes	
row_5	SKP2	3145	1.3482803106307983	0.145103	Yes	
row_6	TCF7	3613	1.2471647262573242	0.15588884	Yes	
row_7	HEY1	3787	1.206825852394104	0.18064061	Yes	
row_8	AXIN1	4044	1.161957025527954	0.19988187	Yes	
row_9	DLL1	4263	1.1145198345184326	0.21975158	Yes	
row_10	ADAM17	4554	1.0565094947814941	0.23430917	Yes	
row_11	WNT1	5128	0.9452053904533386	0.23123948	Yes	
row_12	TP53	5424	0.89382004737854	0.24100667	Yes	
row_13	NOTCH1	5774	0.8337456583976746	0.24632809	Yes	
row_14	CTNNB1	7329	0.5640239119529724	0.18228422	No	
row_15	FRAT1	7723	0.4980611205101013	0.17599253	No	
row_16	NCOR2	7850	0.4764653742313385	0.18280329	No	
row_17	WNT6	7863	0.47474437952041626	0.19541734	No	
row_18	HDAC11	8272	0.4083707332611084	0.18585631	No	
row_19	NOTCH4	9699	0.16787733137607574	0.11734263	No	
row_20	JAG1	9861	0.1376558393239975	0.11291515	No	
row_21	FZD8	9976	0.12086254358291626	0.11043204	No	
row_22	DKK4	10233	0.07681121677160263	0.09943292	No	
row_23	CCND2	10983	-0.05438883602619171	0.062504835	No	
row_24	LEF1	11555	-0.15400758385658264	0.03748905	No	
row_25	NKD1	11861	-0.2050258368253708	0.02754795	No	
row_26	PPARD	12130	-0.2504108250141144	0.020770708	No	
row_27	CSNK1E	12725	-0.3615063428878784	3.5689387E-4	No	
row_28	JAG2	12837	-0.3865632116794586	0.005432197	No	
row_29	PTCH1	13674	-0.5494622588157654	-0.022164827	No	
row_30	WNT5B	13780	-0.5705008506774902	-0.011655669	No	
row_31	HEY2	14594	-0.728827178478241	-0.033073712	No	
row_32	KAT2A	14947	-0.797609269618988	-0.028913312	No	
row_33	HDAC5	14978	-0.802367091178894	-0.008093094	No	
row_34	GNAI1	15073	-0.8234712481498718	0.01003033	No	
row_35	DVL2	15593	-0.9515350461006165	0.009908692	No	
row_36	AXIN2	15696	-0.9772141575813293	0.031905945	No	
row_37	FZD1	15753	-0.992072343826294	0.056678288	No	
row_38	RBPJ	16115	-1.0746357440948486	0.0680968	No	
row_39	NUMB	16726	-1.2312499284744263	0.0710994	No	
row_40	NCSTN	16738	-1.2358304262161255	0.104974404	No	
row_41	MAML1	17185	-1.362541675567627	0.12005337	No	
