NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBP1	181	2.774547815322876	0.005925159	Yes	
row_1	PEMT	409	2.4500954151153564	0.007682198	Yes	
row_2	AKR1C3	550	2.321276903152466	0.013230804	Yes	
row_3	F11	570	2.3111138343811035	0.024984075	Yes	
row_4	TYR	710	2.2061283588409424	0.02994985	Yes	
row_5	PMM1	806	2.154557228088379	0.036908027	Yes	
row_6	FABP1	827	2.1410648822784424	0.04767243	Yes	
row_7	TTPA	868	2.1208584308624268	0.057290655	Yes	
row_8	VTN	1065	2.0059335231781006	0.058203932	Yes	
row_9	ESR1	1277	1.9086341857910156	0.05780488	Yes	
row_10	PTGES	1289	1.90446937084198	0.0677311	Yes	
row_11	RAP1GAP	1361	1.8727965354919434	0.074378304	Yes	
row_12	EPHA2	1415	1.8521405458450317	0.08184301	Yes	
row_13	SLC35D1	1442	1.8403904438018799	0.09063998	Yes	
row_14	PGD	1675	1.7512620687484741	0.0882871	Yes	
row_15	AOX1	1729	1.7298171520233154	0.0950777	Yes	
row_16	FETUB	1775	1.7137491703033447	0.102193676	Yes	
row_17	IL1R1	1789	1.7108911275863647	0.11094961	Yes	
row_18	XDH	1810	1.7041751146316528	0.119306356	Yes	
row_19	ECH1	1862	1.6908503770828247	0.1259857	Yes	
row_20	PTGR1	1881	1.685511827468872	0.13434306	Yes	
row_21	CYP2C18	1996	1.648011326789856	0.13752663	Yes	
row_22	HSD17B2	2080	1.6222432851791382	0.14217216	Yes	
row_23	CYP17A1	2198	1.5833840370178223	0.14484435	Yes	
row_24	DDC	2252	1.5665467977523804	0.15073518	Yes	
row_25	CROT	2490	1.5090645551681519	0.14678887	Yes	
row_26	ABCD2	2505	1.5046955347061157	0.15435675	Yes	
row_27	SLC1A5	2640	1.4690262079238892	0.15551911	Yes	
row_28	CYP2E1	2713	1.4499764442443848	0.15978445	Yes	
row_29	ABCC2	2757	1.4397292137145996	0.16549382	Yes	
row_30	TKFC	2772	1.4345080852508545	0.17267488	Yes	
