NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	195	0.31639287	1.571975	0.0014534884	0.057905465	0.143	6000	tags=38%, list=31%, signal=55%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	195	0.28753847	1.4307275	0.013392857	0.12508765	0.475	3828	tags=27%, list=20%, signal=33%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	0.3193776	1.2809201	0.116504855	0.30410284	0.922	6659	tags=46%, list=34%, signal=69%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	133	0.27122578	1.2751057	0.08841463	0.23982754	0.934	4568	tags=32%, list=23%, signal=42%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	0.25862637	1.1694472	0.18769716	0.43823996	0.997	3982	tags=29%, list=20%, signal=36%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	190	0.22115864	1.0977278	0.24792244	0.5803823	1.0	6569	tags=38%, list=34%, signal=57%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	199	0.21829039	1.0764772	0.29515418	0.5650117	1.0	5150	tags=31%, list=26%, signal=41%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	87	0.22705592	1.014323	0.41491085	0.6920265	1.0	6073	tags=37%, list=31%, signal=53%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	43	0.25583526	0.9685365	0.50921273	0.7607626	1.0	3953	tags=30%, list=20%, signal=38%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	0.27022555	0.9607576	0.52492213	0.7070766	1.0	4263	tags=28%, list=22%, signal=36%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	184	0.1950673	0.9571168	0.56534094	0.6521443	1.0	5035	tags=28%, list=26%, signal=37%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.24632809	0.9345518	0.5531915	0.65521026	1.0	5774	tags=33%, list=30%, signal=47%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	198	0.18272027	0.91450745	0.67723346	0.6524225	1.0	2882	tags=17%, list=15%, signal=19%	
