NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGLN3	111	5.003622531890869	0.08444095	No	
row_1	TET2	2052	1.835496187210083	0.017927676	No	
row_2	JMJD4	3814	1.2003309726715088	-0.05083991	No	
row_3	EGLN1	4172	1.1025264263153076	-0.049302887	No	
row_4	HIF1AN	5315	0.8544321656227112	-0.092528805	No	
row_5	HSPBAP1	5821	0.7568858861923218	-0.10481513	No	
row_6	KDM2A	6073	0.7092183232307434	-0.104922496	No	
row_7	KDM2B	6074	0.709138035774231	-0.09214762	No	
row_8	TMLHE	6190	0.6870443820953369	-0.085673645	No	
row_9	PHF8	7134	0.5264191627502441	-0.12459404	No	
row_10	P4HTM	7414	0.48249515891075134	-0.13022296	No	
row_11	EGLN2	8053	0.38349610567092896	-0.1560626	No	
row_12	KDM4B	8811	0.2779983878135681	-0.18991093	No	
row_13	KDM8	8983	0.25227001309394836	-0.19414371	No	
row_14	KDM7A	9507	0.1756264865398407	-0.21782516	No	
row_15	JMJD6	9826	0.12704305350780487	-0.23185928	No	
row_16	ASPH	10205	0.07551924139261246	-0.24990135	No	
row_17	P3H1	10360	0.053462620824575424	-0.25684297	No	
row_18	OGFOD1	11028	-0.03978649154305458	-0.29036295	No	
row_19	P4HA3	11201	-0.06323395669460297	-0.2980525	No	
row_20	P4HA1	12234	-0.21640169620513916	-0.34712607	No	
row_21	FTO	12817	-0.31252551078796387	-0.37136975	No	
row_22	BBOX1	12819	-0.31306028366088867	-0.36578143	No	
row_23	ALKBH5	13024	-0.3494493365287781	-0.36995742	No	
row_24	ALKBH3	13375	-0.4054332375526428	-0.38061896	No	
row_25	JMJD7	13480	-0.4230104088783264	-0.37833685	No	
row_26	KDM4A	13713	-0.4613604247570038	-0.38193402	No	
row_27	P3H3	13955	-0.5071897506713867	-0.38516757	No	
row_28	PHYH	14211	-0.5572035908699036	-0.38821876	No	
row_29	PLOD2	14846	-0.6857373714447021	-0.40840828	No	
row_30	P3H2	17018	-1.3335174322128296	-0.49582162	Yes	
row_31	P4HB	17320	-1.4627549648284912	-0.48492077	Yes	
row_32	ALKBH8	17410	-1.5077354907989502	-0.46232778	Yes	
row_33	ALKBH2	17651	-1.6363905668258667	-0.4451678	Yes	
row_34	KDM4C	17734	-1.695993185043335	-0.4188241	Yes	
row_35	PLOD3	17950	-1.8225760459899902	-0.39702687	Yes	
row_36	ALKBH1	18616	-2.4171996116638184	-0.38761592	Yes	
row_37	TET1	18633	-2.4383366107940674	-0.34451142	Yes	
row_38	ALKBH4	18889	-2.7432940006256104	-0.30818093	Yes	
row_39	TET3	19185	-3.3593361377716064	-0.26280585	Yes	
row_40	TYW5	19244	-3.575437545776367	-0.2013727	Yes	
row_41	PLOD1	19429	-4.9753313064575195	-0.121188454	Yes	
row_42	P4HA2	19499	-6.995053768157959	0.001283276	Yes	
