NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TWSG1	3	9.086615562438965	0.052565027	Yes	
row_1	TNFRSF14	146	4.657121658325195	0.072259635	Yes	
row_2	SH3RF1	176	4.503237247467041	0.09689096	Yes	
row_3	PSAP	327	3.830615758895874	0.111377545	Yes	
row_4	ITPKB	357	3.719925880432129	0.13146417	Yes	
row_5	TBX21	445	3.434690237045288	0.14690371	Yes	
row_6	AGER	462	3.413405418395996	0.16588259	Yes	
row_7	CD300A	472	3.39290452003479	0.18510364	Yes	
row_8	IL15	631	3.0536515712738037	0.19466962	Yes	
row_9	AP3B1	639	3.0397095680236816	0.21194464	Yes	
row_10	JAK3	779	2.840742349624634	0.22125554	Yes	
row_11	EOMES	855	2.7407021522521973	0.23328769	Yes	
row_12	CD274	877	2.715571165084839	0.24795984	Yes	
row_13	STAT6	959	2.625703811645508	0.25901526	Yes	
row_14	IL27	1008	2.5753865242004395	0.27148116	Yes	
row_15	SASH3	1020	2.5598065853118896	0.28576547	Yes	
row_16	NCKAP1L	1038	2.5463900566101074	0.2996624	Yes	
row_17	ELF4	1274	2.3055124282836914	0.3009154	Yes	
row_18	EBI3	1370	2.233421564102173	0.30897257	Yes	
row_19	CD86	1624	2.0713441371917725	0.30793834	Yes	
row_20	PTGER4	1690	2.032426595687866	0.31637704	Yes	
row_21	RELB	1849	1.9460439682006836	0.31951678	Yes	
row_22	IL12B	1974	1.8822283744812012	0.32404026	Yes	
row_23	FUT7	1988	1.8719961643218994	0.33423078	Yes	
row_24	LGALS9B	1993	1.868774175643921	0.3448669	Yes	
row_25	SPN	2030	1.8474080562591553	0.3537282	Yes	
row_26	PLA2G2D	2057	1.8313814401626587	0.36301243	Yes	
row_27	IL18R1	2058	1.8311264514923096	0.37363645	Yes	
row_28	ZAP70	2145	1.7931734323501587	0.37960365	Yes	
row_29	NFKBID	2168	1.7831106185913086	0.38881418	Yes	
row_30	CLEC4A	2224	1.7532397508621216	0.39614892	Yes	
row_31	IL18	2418	1.6743141412734985	0.3959065	Yes	
row_32	DOCK2	2420	1.6740704774856567	0.40556774	Yes	
row_33	SOCS1	2462	1.6550301313400269	0.4130549	Yes	
row_34	FOXP1	2639	1.5818692445755005	0.41315314	Yes	
row_35	TOX	2773	1.5282526016235352	0.4151586	Yes	
row_36	IRF4	2829	1.5069862604141235	0.42106465	Yes	
row_37	CRTAM	2930	1.4710465669631958	0.42444062	Yes	
row_38	LEF1	3100	1.4100145101547241	0.4239029	Yes	
row_39	PRKCQ	3170	1.3865302801132202	0.4283878	Yes	
row_40	NFKBIZ	3186	1.3818496465682983	0.43563133	Yes	
row_41	BCL3	3388	1.3252437114715576	0.4329509	No	
row_42	LGALS9	3919	1.1692489385604858	0.41239265	No	
row_43	INS	3995	1.147429347038269	0.41518077	No	
row_44	STAT3	4176	1.1012909412384033	0.41228437	No	
row_45	HFE	4271	1.0800666809082031	0.41370144	No	
row_46	LOXL3	4319	1.0695078372955322	0.417482	No	
row_47	NLRP3	4396	1.0512558221817017	0.4196605	No	
row_48	FOXP3	4481	1.0280020236968994	0.42129144	No	
row_49	TARM1	4486	1.0267658233642578	0.42704228	No	
row_50	LGALS9C	4772	0.9617770910263062	0.41791958	No	
row_51	PRDM1	5166	0.8830708265304565	0.40276864	No	
row_52	CCR2	5251	0.8653742074966431	0.403456	No	
row_53	HLX	5400	0.8347160816192627	0.4006638	No	
row_54	ZBTB16	5463	0.8224306106567383	0.40223694	No	
row_55	CD83	5573	0.8008220791816711	0.40126005	No	
row_56	ZC3H12A	5587	0.7979437112808228	0.405219	No	
row_57	RHOA	5686	0.7796204686164856	0.40468657	No	
row_58	MTOR	5699	0.7781685590744019	0.4085824	No	
row_59	IL12A	5749	0.7699984908103943	0.41052198	No	
row_60	SLAMF6	6762	0.5918270349502563	0.3617477	No	
row_61	CD55	6769	0.5894207954406738	0.36485794	No	
row_62	ZFPM1	6786	0.5867701768875122	0.36743692	No	
row_63	IL4R	6875	0.5708920359611511	0.36620936	No	
row_64	SATB1	6899	0.5668001770973206	0.36831135	No	
row_65	CD28	7208	0.5146246552467346	0.35540777	No	
row_66	HSPH1	7254	0.5075104832649231	0.3560308	No	
row_67	CTSL	7281	0.5028650164604187	0.35760707	No	
row_68	RIPK2	7433	0.4798332750797272	0.35260108	No	
row_69	BCL2	7646	0.4452235996723175	0.34424737	No	
row_70	CD81	7742	0.4284217953681946	0.3418321	No	
row_71	GATA3	7844	0.41402381658554077	0.33902374	No	
row_72	SMAD7	7939	0.40025219321250916	0.33649662	No	
row_73	LY9	7950	0.39855754375457764	0.33829314	No	
row_74	SEMA4A	8063	0.3823525905609131	0.33473355	No	
row_75	TGFBR2	8165	0.36938732862472534	0.3316662	No	
row_76	ITK	8253	0.35813722014427185	0.32925585	No	
row_77	SHH	8293	0.35205429792404175	0.3292865	No	
row_78	GPR183	8395	0.3356068432331085	0.32602316	No	
row_79	SOCS5	8457	0.32774946093559265	0.3247778	No	
row_80	RC3H1	8662	0.29965412616729736	0.31599224	No	
row_81	PAX1	8690	0.29527953267097473	0.31631252	No	
row_82	TCIRG1	8929	0.26023682951927185	0.30554423	No	
row_83	ZNF683	9062	0.23966458439826965	0.300125	No	
row_84	PTPRC	9480	0.1794654279947281	0.27965367	No	
row_85	RASAL3	9722	0.14432205259799957	0.26805806	No	
row_86	CCL19	9814	0.12866199016571045	0.26410997	No	
row_87	RUNX3	10012	0.10178586095571518	0.2545375	No	
row_88	PRR7	10048	0.0969642624258995	0.25329447	No	
row_89	GLI3	10057	0.09529991447925568	0.25343466	No	
row_90	MYB	10250	0.06770942360162735	0.24392243	No	
row_91	SYK	10533	0.030052168294787407	0.22954871	No	
row_92	ABL1	10537	0.029365472495555878	0.22956432	No	
row_93	MALT1	10709	0.00361062865704298	0.22076356	No	
row_94	AP3D1	11154	-0.05650937557220459	0.19818594	No	
row_95	IL12RB1	11586	-0.11880319565534592	0.17664039	No	
row_96	MAPK8IP1	11601	-0.12132524698972702	0.17662206	No	
row_97	ADORA2A	11634	-0.12702514231204987	0.1757082	No	
row_98	LGALS7B	11887	-0.16207267343997955	0.16364813	No	
row_99	BATF	11914	-0.16769108176231384	0.16327974	No	
row_100	TCF7	12047	-0.19082385301589966	0.15757714	No	
row_101	CD160	12246	-0.2183401733636856	0.14862932	No	
row_102	HMGB1	12298	-0.22725160419940948	0.14731678	No	
row_103	ADA	12306	-0.2280808836221695	0.14827897	No	
row_104	ANXA1	12510	-0.26362866163253784	0.13933596	No	
row_105	STOML2	12791	-0.3091470003128052	0.12668471	No	
row_106	IL4	12909	-0.3292146623134613	0.12255888	No	
row_107	IL2	12930	-0.3336043655872345	0.12346265	No	
row_108	TNFSF4	12931	-0.333739310503006	0.12539898	No	
row_109	TNFSF8	13177	-0.37307682633399963	0.114924245	No	
row_110	PSMB11	13196	-0.37650051712989807	0.11618007	No	
row_111	LILRB1	13236	-0.3811251223087311	0.11637936	No	
row_112	IRF1	13392	-0.40772852301597595	0.11074868	No	
row_113	PNP	13533	-0.43146398663520813	0.10602955	No	
row_114	TMEM98	13971	-0.5096162557601929	0.08644193	No	
row_115	RSAD2	14097	-0.5340080261230469	0.08309158	No	
row_116	GPR18	14265	-0.5658124685287476	0.07775903	No	
row_117	RUNX1	14266	-0.565936803817749	0.08104254	No	
row_118	BCL11B	14408	-0.589638352394104	0.077189535	No	
row_119	CD3E	14741	-0.6615744233131409	0.06390041	No	
row_120	CDH26	14959	-0.7084630727767944	0.056816053	No	
row_121	IL23R	15147	-0.7521583437919617	0.051532883	No	
row_122	NKAP	15520	-0.8407706618309021	0.03721988	No	
row_123	PTPN22	15771	-0.9105332493782043	0.029605482	No	
row_124	IL6	15925	-0.9518854022026062	0.027235134	No	
row_125	XCL1	16119	-1.0138211250305176	0.023160575	No	
row_126	RORC	16213	-1.0373961925506592	0.024381692	No	
row_127	RC3H2	16506	-1.1400021314620972	0.01593192	No	
row_128	ARG2	16550	-1.160815954208374	0.020448552	No	
row_129	RORA	16612	-1.1822524070739746	0.024160959	No	
row_130	BCL6	17265	-1.4379795789718628	-0.0011319919	No	
row_131	IL23A	17284	-1.4452136754989624	0.0063244174	No	
row_132	RARA	17428	-1.5140260457992554	0.007731453	No	
row_133	CD80	17443	-1.5207655429840088	0.015832564	No	
row_134	ATP7A	17600	-1.6038225889205933	0.017089935	No	
row_135	CBFB	18018	-1.8665286302566528	0.0064067924	No	
row_136	IL21	18078	-1.9067528247833252	0.014425867	No	
row_137	ZBTB7B	18285	-2.080402374267578	0.015868869	No	
row_138	IFNG	18396	-2.1875076293945312	0.022885824	No	
row_139	PRKCZ	18802	-2.6257686614990234	0.017226797	No	
row_140	IHH	19206	-3.4417717456817627	0.01640533	No	
