NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TWSG1	3	9.086615562438965	0.17636456	Yes	
row_1	TNFRSF14	146	4.657121658325195	0.25954974	Yes	
row_2	SH3RF1	176	4.503237247467041	0.34554276	Yes	
row_3	IL15	631	3.0536515712738037	0.381572	Yes	
row_4	CD274	877	2.715571165084839	0.421756	Yes	
row_5	ELF4	1274	2.3055124282836914	0.44622734	Yes	
row_6	EBI3	1370	2.233421564102173	0.48474047	Yes	
row_7	IL12B	1974	1.8822283744812012	0.49036926	Yes	
row_8	LGALS9B	1993	1.868774175643921	0.52574897	Yes	
row_9	ZAP70	2145	1.7931734323501587	0.5528368	Yes	
row_10	IL18	2418	1.6743141412734985	0.5714079	Yes	
row_11	DOCK2	2420	1.6740704774856567	0.6038774	Yes	
row_12	LGALS9	3919	1.1692489385604858	0.5497395	No	
row_13	LGALS9C	4772	0.9617770910263062	0.5247129	No	
row_14	CCR2	5251	0.8653742074966431	0.517001	No	
row_15	CD55	6769	0.5894207954406738	0.4506244	No	
row_16	CD28	7208	0.5146246552467346	0.43815085	No	
row_17	RIPK2	7433	0.4798332750797272	0.4359803	No	
row_18	CD81	7742	0.4284217953681946	0.42850155	No	
row_19	TGFBR2	8165	0.36938732862472534	0.41402742	No	
row_20	PTPRC	9480	0.1794654279947281	0.3501015	No	
row_21	RASAL3	9722	0.14432205259799957	0.3405411	No	
row_22	SYK	10533	0.030052168294787407	0.29956937	No	
row_23	MAPK8IP1	11601	-0.12132524698972702	0.24718586	No	
row_24	LGALS7B	11887	-0.16207267343997955	0.23571293	No	
row_25	TNFSF4	12931	-0.333739310503006	0.18868709	No	
row_26	IRF1	13392	-0.40772852301597595	0.1730083	No	
row_27	CD3E	14741	-0.6615744233131409	0.11670359	No	
row_28	PTPN22	15771	-0.9105332493782043	0.08160091	No	
row_29	XCL1	16119	-1.0138211250305176	0.083493434	No	
row_30	ARG2	16550	-1.160815954208374	0.083983354	No	
row_31	IL23A	17284	-1.4452136754989624	0.074453205	No	
row_32	ZBTB7B	18285	-2.080402374267578	0.063564435	No	
