NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSH2	36	6.428368091583252	0.14580968	Yes	
row_1	GHRL	158	4.587522983551025	0.2449775	Yes	
row_2	STAT5B	303	3.9340789318084717	0.32795668	Yes	
row_3	GH2	325	3.8358688354492188	0.41498742	Yes	
row_4	JAK3	779	2.840742349624634	0.45700797	Yes	
row_5	STAT6	959	2.625703811645508	0.5081398	Yes	
row_6	GH1	986	2.597266674041748	0.5664642	Yes	
row_7	PRL	1169	2.3958961963653564	0.6121636	Yes	
row_8	STAT3	4176	1.1012909412384033	0.48331365	No	
row_9	STAR	4352	1.061942458152771	0.4987319	No	
row_10	JAK2	4380	1.0552115440368652	0.5215849	No	
row_11	CSHL1	4643	0.9906222820281982	0.53090376	No	
row_12	MBD5	4934	0.9298291802406311	0.53739035	No	
row_13	SOCS2	6039	0.7159165143966675	0.497222	No	
row_14	PIK3R1	6233	0.6784107685089111	0.50290775	No	
row_15	GDF15	6530	0.6274577379226685	0.50214136	No	
row_16	PTK2	6770	0.5892876386642456	0.5034212	No	
row_17	CSH1	8397	0.3354759216308594	0.42774653	No	
row_18	PTPN1	11034	-0.041109368205070496	0.29351822	No	
row_19	PXN	14025	-0.5209013223648071	0.15215755	No	
row_20	PRLR	14482	-0.6059765219688416	0.14269304	No	
row_21	STAT5A	15488	-0.8327860832214355	0.11028582	No	
row_22	LYN	15943	-0.956134021282196	0.10896678	No	
row_23	GHR	19144	-3.2483885288238525	0.019486163	No	
