NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNMA1	27	6.743892669677734	0.17165056	Yes	
row_1	SLC12A5	224	4.262948989868164	0.27097592	Yes	
row_2	SLC12A3	494	3.3334860801696777	0.34270847	Yes	
row_3	SLC12A4	741	2.8887290954589844	0.40420917	Yes	
row_4	TRPV4	1219	2.3570446968078613	0.44021866	Yes	
row_5	CLCN6	1388	2.2198777198791504	0.48855892	Yes	
row_6	SCT	1833	1.9556705951690674	0.51596266	Yes	
row_7	GNB3	2102	1.8088114261627197	0.54862624	Yes	
row_8	LRRC8A	3741	1.2177798748016357	0.49585062	Yes	
row_9	SCTR	3862	1.1853302717208862	0.5201085	Yes	
row_10	AQP1	3927	1.1678794622421265	0.5467912	Yes	
row_11	ANO6	4142	1.112039566040039	0.56434685	Yes	
row_12	CLN3	5351	0.845693826675415	0.5240812	No	
row_13	E2F4	5597	0.7963738441467285	0.5319473	No	
row_14	SHANK3	6558	0.62369704246521	0.4987068	No	
row_15	ADD1	8298	0.35126999020576477	0.41851735	No	
row_16	SLC12A2	8920	0.2613409161567688	0.39336854	No	
row_17	SLC12A8	9036	0.24449044466018677	0.39374277	No	
row_18	AQP11	9466	0.18153366446495056	0.37639493	No	
row_19	P2RX7	9766	0.13712891936302185	0.36457613	No	
row_20	KCNN4	9775	0.13616327941417694	0.36765948	No	
row_21	SLC12A7	9811	0.12883882224559784	0.3691699	No	
row_22	ANXA7	9996	0.10409374535083771	0.36240244	No	
row_23	SLC12A6	11041	-0.041980721056461334	0.30992737	No	
row_24	CLNS1A	11982	-0.1820850521326065	0.26638186	No	
row_25	CLCN3	12373	-0.2378908395767212	0.25248054	No	
row_26	WNK3	14767	-0.6683060526847839	0.1468786	No	
row_27	AQP4	15439	-0.81744384765625	0.13343358	No	
row_28	SLC12A1	15987	-0.9695011973381042	0.13025068	No	
row_29	SLC12A9	18189	-1.9927127361297607	0.06847917	No	
