NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL11A1	66	5.6112799644470215	0.072149925	Yes	
row_1	PXDN	90	5.237910747528076	0.14148173	Yes	
row_2	GREM1	177	4.5031352043151855	0.1976867	Yes	
row_3	COLGALT1	312	3.8935017585754395	0.24321982	Yes	
row_4	AEBP1	359	3.7142248153686523	0.2908586	Yes	
row_5	EMILIN1	601	3.1089365482330322	0.3203351	Yes	
row_6	LUM	803	2.808889865875244	0.34782648	Yes	
row_7	RB1	928	2.657303810119629	0.3772314	Yes	
row_8	COL12A1	1109	2.4605119228363037	0.4011113	Yes	
row_9	COL5A1	1576	2.0992610454559326	0.40544105	Yes	
row_10	COL1A1	2075	1.8221464157104492	0.40439698	Yes	
row_11	COL3A1	2103	1.8088010549545288	0.4273606	Yes	
row_12	COL5A2	2439	1.6640993356704712	0.43255943	Yes	
row_13	SERPINH1	2783	1.5246769189834595	0.43547055	Yes	
row_14	CHADL	2854	1.4950957298278809	0.45200285	Yes	
row_15	SERPINF2	2932	1.4704886674880981	0.46784443	Yes	
row_16	SCX	3007	1.4455077648162842	0.48350376	Yes	
row_17	COL2A1	3008	1.4448944330215454	0.50295496	Yes	
row_18	ACAN	3367	1.331513524055481	0.5024954	Yes	
row_19	ADAMTS3	3636	1.2510313987731934	0.5055742	Yes	
row_20	VIPAS39	4170	1.102984070777893	0.49305138	Yes	
row_21	DDR2	4264	1.0822023153305054	0.5028442	Yes	
row_22	LOXL3	4319	1.0695078372955322	0.51446885	Yes	
row_23	FOXC2	4965	0.9247656464576721	0.4937953	No	
row_24	DPT	5538	0.807492733001709	0.4752918	No	
row_25	CYP1B1	6002	0.723781168460846	0.46125886	No	
row_26	CRTAP	6159	0.6913968920707703	0.46255538	No	
row_27	COL5A3	6273	0.6738751530647278	0.4658242	No	
row_28	LOX	7365	0.4891566336154938	0.41638294	No	
row_29	LOXL1	7515	0.4662615954875946	0.41500816	No	
row_30	ANXA2	7863	0.41067034006118774	0.40271705	No	
row_31	COL13A1	8316	0.34903281927108765	0.38420412	No	
row_32	COL1A2	9006	0.24917453527450562	0.3521762	No	
row_33	COL14A1	9450	0.18476317822933197	0.33191404	No	
row_34	TGFBR1	9498	0.17655009031295776	0.33187717	No	
row_35	SFRP2	10075	0.09358010441064835	0.30355752	No	
row_36	NF1	11128	-0.0531461201608181	0.25024945	No	
row_37	MMP11	11375	-0.08828305453062057	0.23880504	No	
row_38	P4HA1	12234	-0.21640169620513916	0.19765724	No	
row_39	FOXC1	12914	-0.33055925369262695	0.16723846	No	
row_40	FMOD	13326	-0.39651334285736084	0.15147018	No	
row_41	TNXB	13493	-0.42458683252334595	0.14866136	No	
row_42	ADAMTS14	13627	-0.4463658034801483	0.14784038	No	
row_43	COMP	14758	-0.6658099293708801	0.09877447	No	
row_44	OPTC	15281	-0.7825719714164734	0.08250313	No	
row_45	LOXL4	15531	-0.8430044054985046	0.081064746	No	
row_46	P3H4	16287	-1.0632661581039429	0.056606837	No	
row_47	TGFB2	16991	-1.3227343559265137	0.03831226	No	
row_48	COL11A2	17584	-1.5977442264556885	0.029420076	No	
row_49	ATP7A	17600	-1.6038225889205933	0.05024049	No	
row_50	ADAMTS2	17873	-1.777193307876587	0.060197067	No	
row_51	PLOD3	17950	-1.8225760459899902	0.08082981	No	
