NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TWSG1	3	9.086615562438965	0.054257184	Yes	
row_1	PXDN	90	5.237910747528076	0.081187464	Yes	
row_2	ENG	136	4.718998432159424	0.107124805	Yes	
row_3	TNFRSF14	146	4.657121658325195	0.13454816	Yes	
row_4	GREM1	177	4.5031352043151855	0.15996642	Yes	
row_5	TNFRSF1B	259	4.099148750305176	0.18033549	Yes	
row_6	TGFBR3	267	4.069483757019043	0.20434313	Yes	
row_7	CSF2RA	708	2.94958233833313	0.1993147	Yes	
row_8	IL1RL1	742	2.8878366947174072	0.21490563	Yes	
row_9	CXCR3	818	2.788917303085327	0.22773828	Yes	
row_10	IL5RA	933	2.650947332382202	0.2377335	Yes	
row_11	CCRL2	946	2.637021064758301	0.2529055	Yes	
row_12	ACVRL1	989	2.595942735671997	0.2662844	Yes	
row_13	LTBP1	1056	2.5186405181884766	0.2779627	Yes	
row_14	CCR10	1065	2.510889768600464	0.2925857	Yes	
row_15	TNFRSF1A	1229	2.3501322269439697	0.29825267	Yes	
row_16	LTBP3	1320	2.2717857360839844	0.3072151	Yes	
row_17	EBI3	1370	2.233421564102173	0.3180622	Yes	
row_18	NBL1	1425	2.189304828643799	0.32838726	Yes	
row_19	CCR1	1474	2.1567509174346924	0.3388268	Yes	
row_20	WFIKKN1	1510	2.139190912246704	0.3498316	Yes	
row_21	LEPR	1581	2.0977253913879395	0.35878316	Yes	
row_22	NRROS	1623	2.0717055797576904	0.3690744	Yes	
row_23	CD36	1672	2.0397210121154785	0.37881318	Yes	
row_24	IL12B	1974	1.8822283744812012	0.37456155	Yes	
row_25	IL18R1	2058	1.8311264514923096	0.38124624	Yes	
row_26	CCR9	2074	1.8223217725753784	0.391385	Yes	
row_27	CCR5	2165	1.7835569381713867	0.39742386	Yes	
row_28	IL6R	2301	1.7253711223602295	0.4007936	Yes	
row_29	HAX1	2309	1.7214807271957397	0.4107411	Yes	
row_30	TNFRSF11A	2371	1.6981228590011597	0.4177639	Yes	
row_31	ITGAV	2660	1.5745128393173218	0.41234004	Yes	
row_32	IL1R1	2818	1.5100462436676025	0.41328585	Yes	
row_33	NOG	2870	1.4903048276901245	0.41957992	Yes	
row_34	ACKR4	3065	1.4244645833969116	0.41810519	No	
row_35	LRRC32	3431	1.313437819480896	0.40714705	No	
row_36	IL18BP	3515	1.287907600402832	0.41057888	No	
row_37	CSF1R	3548	1.2736870050430298	0.41655564	No	
row_38	IL10RA	3654	1.2455188035964966	0.4185991	No	
row_39	TCAP	3798	1.2040787935256958	0.41843474	No	
row_40	IL22RA2	4073	1.1278541088104248	0.41105822	No	
row_41	IL2RB	4152	1.109915852546692	0.41368204	No	
row_42	IL11RA	4450	1.036965012550354	0.40457514	No	
row_43	IFNAR1	4505	1.0232375860214233	0.40791765	No	
row_44	GREM2	4631	0.992213785648346	0.40741286	No	
row_45	IL13RA1	5097	0.8994455337524414	0.38881868	No	
row_46	CCR2	5251	0.8653742074966431	0.3861104	No	
row_47	SOSTDC1	5311	0.8552380800247192	0.38818902	No	
row_48	ELANE	5410	0.8319151997566223	0.38811675	No	
row_49	IL36RN	5440	0.8280810713768005	0.39157987	No	
row_50	ZFP36	5494	0.8149378895759583	0.39372662	No	
row_51	TGFBR3L	5502	0.8136625289916992	0.39823794	No	
row_52	IL2RA	5583	0.799059271812439	0.3988972	No	
row_53	NLRP7	5610	0.7928518056869507	0.40230405	No	
row_54	CD74	5724	0.7732527256011963	0.40110695	No	
row_55	CCR4	5740	0.7710283994674683	0.40495044	No	
row_56	IL12A	5749	0.7699984908103943	0.40914872	No	
row_57	CXCR4	5955	0.7340186834335327	0.40297222	No	
row_58	CCR7	5988	0.7270792126655579	0.40567583	No	
row_59	LTBP4	6043	0.7148852348327637	0.40717185	No	
row_60	IL13RA2	6294	0.6700006127357483	0.39829132	No	
row_61	TMC8	6574	0.6212269067764282	0.3876232	No	
row_62	IL2RG	7158	0.5218918323516846	0.36068287	No	
row_63	CCR6	7307	0.4995282292366028	0.3560417	No	
row_64	NRP2	7571	0.45585137605667114	0.3452084	No	
row_65	IL3RA	7626	0.44745397567749023	0.34510303	No	
row_66	IL20RB	7892	0.4065704643726349	0.33387148	No	
row_67	THBS1	7906	0.4050143361091614	0.33562636	No	
row_68	GBP1	7974	0.3952234089374542	0.3345378	No	
row_69	KLHL20	8149	0.3721590042114258	0.3277931	No	
row_70	TGFBR2	8165	0.36938732862472534	0.3292315	No	
row_71	A2M	8192	0.3658859133720398	0.33008164	No	
row_72	VASN	8353	0.3406268358230591	0.3238701	No	
row_73	ACVR1	8432	0.32994356751441956	0.32182336	No	
row_74	CSF3R	8742	0.2876831293106079	0.3076108	No	
row_75	ITGB3	8861	0.2695333957672119	0.30313954	No	
row_76	COPS5	8877	0.26669740676879883	0.303963	No	
row_77	CRLF2	8960	0.2562006711959839	0.3012684	No	
row_78	TGFB3	9227	0.21729737520217896	0.2888519	No	
row_79	FGF2	9486	0.17815770208835602	0.2766136	No	
row_80	TGFBR1	9498	0.17655009031295776	0.2771035	No	
row_81	WFIKKN2	9596	0.16242346167564392	0.27307382	No	
row_82	ITGA4	9743	0.14103534817695618	0.26638907	No	
row_83	TRIM16	9769	0.13698217272758484	0.2659201	No	
row_84	UCMA	9981	0.10560273379087448	0.2556711	No	
row_85	TNFRSF9	10020	0.10071039944887161	0.2543145	No	
row_86	IL1RN	10021	0.10061664134263992	0.25491703	No	
row_87	CD109	10076	0.09354553371667862	0.2526924	No	
row_88	IL6ST	10090	0.09098803251981735	0.2525668	No	
row_89	IFNGR1	10168	0.08128737658262253	0.24908267	No	
row_90	ITGB1	10181	0.07949039340019226	0.24893983	No	
row_91	FZD4	10575	0.02355155535042286	0.22881372	No	
row_92	OSMR	10609	0.01798032596707344	0.22721957	No	
row_93	IL20RA	10626	0.014768448658287525	0.22648288	No	
row_94	TRAF2	10651	0.011519214138388634	0.22531417	No	
row_95	PLP2	10773	-0.00488783186301589	0.21910343	No	
row_96	IL12RB1	11586	-0.11880319565534592	0.17793974	No	
row_97	IL12RB2	11709	-0.1367396116256714	0.17246698	No	
row_98	LIFR	11777	-0.147958442568779	0.16989776	No	
row_99	NRP1	12010	-0.18622153997421265	0.15904857	No	
row_100	ACKR1	12222	-0.21484483778476715	0.14945374	No	
row_101	CX3CR1	12279	-0.22333113849163055	0.14790314	No	
row_102	BMPR2	12285	-0.2242238074541092	0.14898798	No	
row_103	HMGB1	12298	-0.22725160419940948	0.14972995	No	
row_104	PARK7	12400	-0.2438357025384903	0.14598148	No	
row_105	HYAL2	12553	-0.2719074785709381	0.139771	No	
row_106	CCR8	13303	-0.3931512236595154	0.10349908	No	
row_107	IL17F	13350	-0.40089771151542664	0.10352747	No	
row_108	PDPN	13926	-0.5026695132255554	0.07688459	No	
row_109	CXCR5	13960	-0.5077519416809082	0.07822326	No	
row_110	ACKR3	14121	-0.5372616052627563	0.07318921	No	
row_111	PRLR	14482	-0.6059765219688416	0.05825256	No	
row_112	CD4	14505	-0.6090484261512756	0.06076508	No	
row_113	CXCR6	14523	-0.6134804487228394	0.06356199	No	
row_114	COMP	14758	-0.6658099293708801	0.055481497	No	
row_115	IL1R2	15088	-0.7393512725830078	0.042942196	No	
row_116	IL23R	15147	-0.7521583437919617	0.044455145	No	
row_117	XCR1	15512	-0.8393219709396362	0.030709526	No	
row_118	CXCR1	15625	-0.871035635471344	0.030149529	No	
row_119	SPINT3	15782	-0.9133517146110535	0.027573835	No	
row_120	CNTFR	15916	-0.9502521753311157	0.026405223	No	
row_121	CER1	16144	-1.0212994813919067	0.020814441	No	
row_122	IL22RA1	16150	-1.0220279693603516	0.026676632	No	
row_123	CCR3	17602	-1.6056530475616455	-0.03853703	No	
