NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOPORS	4952	0.927151620388031	-0.21247044	No	
row_1	DYNC1I1	6935	0.5594995021820068	-0.28909156	No	
row_2	DCTN4	8982	0.2523602545261383	-0.38271737	No	
row_3	TCTEX1D2	9570	0.16521672904491425	-0.4054317	No	
row_4	DYNC2H1	10215	0.07349881529808044	-0.43516654	No	
row_5	DYNLL1	10876	-0.018060995265841484	-0.46819878	No	
row_6	DYNC2LI1	11180	-0.06019630283117294	-0.4810444	No	
row_7	TPR	11326	-0.08107312768697739	-0.48485634	No	
row_8	DYNLT1	11822	-0.15375833213329315	-0.50336564	No	
row_9	DYNC1LI1	12197	-0.2116975635290146	-0.5130823	No	
row_10	DYNLRB1	13035	-0.35089126229286194	-0.54031837	No	
row_11	DYNC1I2	13358	-0.40239807963371277	-0.5388482	No	
row_12	DYNLRB2	14388	-0.5863230228424072	-0.565409	No	
row_13	DYNLL2	14629	-0.6368359923362732	-0.54925966	No	
row_14	SNX4	16155	-1.0248719453811646	-0.5816563	Yes	
row_15	DYNC1H1	16247	-1.0512391328811646	-0.5393514	Yes	
row_16	DYNC1LI2	17975	-1.8384623527526855	-0.54575276	Yes	
row_17	DYNLT3	18665	-2.476372241973877	-0.47043172	Yes	
row_18	WDR60	18833	-2.6710848808288574	-0.35964695	Yes	
row_19	NUDCD3	18872	-2.7146236896514893	-0.2403028	Yes	
row_20	WDR34	19484	-6.125195026397705	0.002050985	Yes	
