NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PICK1	2282	1.7324540615081787	-0.05003299	No	
row_1	DNMT3L	4077	1.1276113986968994	-0.098425075	No	
row_2	MOV10L1	7100	0.5326699614524841	-0.232771	No	
row_3	TDRD9	9968	0.10796462744474411	-0.3755859	No	
row_4	PLD6	12815	-0.3125121593475342	-0.509418	No	
row_5	PRMT7	13829	-0.48560333251953125	-0.54258394	No	
row_6	TDRD5	15019	-0.7201659679412842	-0.57570684	Yes	
row_7	DNMT3A	15507	-0.8381739854812622	-0.5682778	Yes	
row_8	PIWIL4	15560	-0.8501767516136169	-0.53808284	Yes	
row_9	FKBP6	15812	-0.9211738705635071	-0.51534617	Yes	
row_10	TDRKH	16489	-1.1326954364776611	-0.50622314	Yes	
row_11	CTCFL	16679	-1.2061240673065186	-0.46929398	Yes	
row_12	MORC1	16869	-1.2721827030181885	-0.4298115	Yes	
row_13	KDM1B	17386	-1.4953278303146362	-0.398469	Yes	
row_14	ASZ1	17444	-1.5211143493652344	-0.34259737	Yes	
row_15	PIWIL2	17941	-1.8153095245361328	-0.29786155	Yes	
row_16	TDRD1	18011	-1.863210678100586	-0.22938247	Yes	
row_17	MAEL	18233	-2.0303425788879395	-0.16223629	Yes	
row_18	TDRD12	18734	-2.550795078277588	-0.089277655	Yes	
row_19	DDX4	19184	-3.3563404083251953	0.017431548	Yes	
