NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WDR63	85	5.256991386413574	0.068552285	No	
row_1	CCDC114	129	4.790137767791748	0.13278599	No	
row_2	DNAI2	1143	2.4283690452575684	0.114445455	No	
row_3	DNAI1	1309	2.2792766094207764	0.13758664	No	
row_4	DNAH2	2774	1.5280739068984985	0.083597034	No	
row_5	DNAH10	3383	1.3274776935577393	0.0707856	No	
row_6	CFAP70	3815	1.200149416923523	0.06529802	No	
row_7	DNAH17	4360	1.0598716735839844	0.05206151	No	
row_8	TOPORS	4952	0.927151620388031	0.034570366	No	
row_9	DYNC1I1	6935	0.5594995021820068	-0.059456233	No	
row_10	DNAL4	7624	0.44749900698661804	-0.08858195	No	
row_11	DNHD1	7790	0.4211135506629944	-0.09121456	No	
row_12	CCDC65	8065	0.38218119740486145	-0.09998497	No	
row_13	DRC1	8482	0.32458508014678955	-0.1168468	No	
row_14	DNAH7	8608	0.30823349952697754	-0.1189909	No	
row_15	DNAH8	8613	0.307659775018692	-0.1149289	No	
row_16	DCTN4	8982	0.2523602545261383	-0.13032745	No	
row_17	TCTEX1D2	9570	0.16521672904491425	-0.15818165	No	
row_18	DNAH5	9910	0.11489558964967728	-0.1739976	No	
row_19	DYNC2H1	10215	0.07349881529808044	-0.18859029	No	
row_20	DYNLL1	10876	-0.018060995265841484	-0.22223459	No	
row_21	DYNC2LI1	11180	-0.06019630283117294	-0.23696044	No	
row_22	DNALI1	11210	-0.06385599821805954	-0.23756404	No	
row_23	TPR	11326	-0.08107312768697739	-0.24234542	No	
row_24	DISC1	11632	-0.1264675259590149	-0.25625476	No	
row_25	DYNLT1	11822	-0.15375833213329315	-0.26382828	No	
row_26	CCDC103	11863	-0.15918989479541779	-0.26367447	No	
row_27	DYNC1LI1	12197	-0.2116975635290146	-0.27783957	No	
row_28	DNAH1	12477	-0.2568497359752655	-0.28860518	No	
row_29	DYNLRB1	13035	-0.35089126229286194	-0.3123433	No	
row_30	DYNC1I2	13358	-0.40239807963371277	-0.32329836	No	
row_31	DNAH14	13586	-0.44035202264785767	-0.32884818	No	
row_32	DCTN2	14019	-0.5201221704483032	-0.3438195	No	
row_33	DYNLRB2	14388	-0.5863230228424072	-0.3545858	No	
row_34	DYNLL2	14629	-0.6368359923362732	-0.35807788	No	
row_35	SNX4	16155	-1.0248719453811646	-0.4221799	No	
row_36	DYNC1H1	16247	-1.0512391328811646	-0.41227198	No	
row_37	HDAC6	16313	-1.071245551109314	-0.40075132	No	
row_38	DYNC1LI2	17975	-1.8384623527526855	-0.46055275	Yes	
row_39	TCTE3	18419	-2.2086827754974365	-0.45266765	Yes	
row_40	DCTN1	18433	-2.224677801132202	-0.4224777	Yes	
row_41	WDR78	18561	-2.3532371520996094	-0.39635912	Yes	
row_42	NME8	18601	-2.4037528038024902	-0.36502054	Yes	
row_43	DNAH6	18602	-2.4046993255615234	-0.33166596	Yes	
row_44	DYNLT3	18665	-2.476372241973877	-0.30050132	Yes	
row_45	DNAH3	18690	-2.5074853897094727	-0.26695356	Yes	
row_46	DNAH11	18695	-2.5123302936553955	-0.2323115	Yes	
row_47	DNAH12	18780	-2.6028544902801514	-0.20052229	Yes	
row_48	WDR60	18833	-2.6710848808288574	-0.1661433	Yes	
row_49	NUDCD3	18872	-2.7146236896514893	-0.13044141	Yes	
row_50	DNAL1	18918	-2.7856366634368896	-0.09411402	Yes	
row_51	DNAH9	18967	-2.896259307861328	-0.056406297	Yes	
row_52	WDR34	19484	-6.125195026397705	0.0020541279	Yes	
