NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CARD8	566	3.172075033187866	0.10985498	Yes	
row_1	NLRP6	641	3.0382561683654785	0.23907076	Yes	
row_2	DDX3X	1053	2.519040822982788	0.32828224	Yes	
row_3	NLRP9	1258	2.320949077606201	0.4194321	Yes	
row_4	NLRC4	1364	2.2382912635803223	0.512038	Yes	
row_5	CASP5	2278	1.7349821329116821	0.5411932	Yes	
row_6	AIM2	2606	1.5936089754104614	0.5941968	Yes	
row_7	NLRP1	2628	1.5862799882888794	0.6625646	Yes	
row_8	NLRP3	4396	1.0512558221817017	0.6180129	No	
row_9	CASP1	6557	0.6238296031951904	0.53460485	No	
row_10	CASP4	10183	0.07936495542526245	0.3522676	No	
row_11	CASP12	12108	-0.19945771992206573	0.2623783	No	
row_12	PYCARD	12315	-0.22995762526988983	0.26188618	No	
row_13	NAIP	13677	-0.45533815026283264	0.2120573	No	
row_14	DHX33	15990	-0.9710778594017029	0.13605979	No	
row_15	GSDMD	16169	-1.0287383794784546	0.17197195	No	
