NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDN1	335	3.7938320636749268	0.16496933	Yes	
row_1	INSIG2	1346	2.250891923904419	0.22125667	Yes	
row_2	SIX2	1531	2.1275713443756104	0.3139693	Yes	
row_3	TSHZ1	2375	1.6955218315124512	0.35215458	Yes	
row_4	NAGLU	2637	1.5820109844207764	0.41472712	Yes	
row_5	HOXA2	2672	1.5706113576889038	0.4883898	Yes	
row_6	NOG	2870	1.4903048276901245	0.5498405	Yes	
row_7	MSX1	2931	1.4707163572311401	0.6173743	Yes	
row_8	PRRX1	4075	1.1276459693908691	0.6129157	No	
row_9	FGFR1	6269	0.6742404699325562	0.5328593	No	
row_10	INSIG1	6432	0.6425957679748535	0.5554055	No	
row_11	OSR2	6580	0.6204425692558289	0.57765704	No	
row_12	SIX1	7870	0.41001302003860474	0.5312597	No	
row_13	EYA1	9808	0.1292559951543808	0.4381626	No	
row_14	GSC	9879	0.11913970857858658	0.4402939	No	
row_15	TBX1	10766	-0.004254668485373259	0.39507625	No	
row_16	RPL38	12840	-0.3161472678184509	0.30397964	No	
row_17	PRKRA	13108	-0.36350107192993164	0.30774337	No	
row_18	OSR1	13583	-0.44011029601097107	0.30457303	No	
