NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX3X	1053	2.519040822982788	0.045257315	No	
row_1	DHX36	4894	0.9381008148193359	-0.11471102	No	
row_2	LARP6	8880	0.266441285610199	-0.30858165	No	
row_3	RPL5	9438	0.186908558011055	-0.32978228	No	
row_4	RPS3A	10107	0.08945362269878387	-0.36051562	No	
row_5	CCT5	10241	0.0699046403169632	-0.36458197	No	
row_6	GNL3	10938	-0.027355270460247993	-0.3991982	No	
row_7	RPS14	10970	-0.032418910413980484	-0.3995106	No	
row_8	RPS7	11039	-0.04166790097951889	-0.40135607	No	
row_9	RPS13	11463	-0.10021773725748062	-0.41910052	No	
row_10	NCL	11558	-0.11470791697502136	-0.41940135	No	
row_11	SHMT2	11925	-0.17030668258666992	-0.4314608	No	
row_12	RPL41	11995	-0.1839384138584137	-0.42775154	No	
row_13	MYH10	12000	-0.1845686137676239	-0.42068395	No	
row_14	RPL26	12892	-0.3259110450744629	-0.45353642	No	
row_15	FMR1	13485	-0.42368051409721375	-0.46720228	No	
row_16	SYNCRIP	14033	-0.5224989056587219	-0.4746665	No	
row_17	IGF2BP2	14061	-0.5294994115829468	-0.45518684	No	
row_18	UTP23	14902	-0.6975688934326172	-0.470779	No	
row_19	LARP1	15803	-0.9183799624443054	-0.48074746	No	
row_20	RARA	17428	-1.5140260457992554	-0.5043752	Yes	
row_21	RSL1D1	17923	-1.8066790103912354	-0.4585196	Yes	
row_22	IGF2BP3	18367	-2.1564698219299316	-0.39626536	Yes	
row_23	IGF2BP1	19265	-3.663132667541504	-0.29792595	Yes	
row_24	MRPS11	19311	-3.896564483642578	-0.14669384	Yes	
row_25	SHMT1	19326	-3.9987432956695557	0.010154336	Yes	
