NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD300A	472	3.39290452003479	0.06835688	Yes	
row_1	IRAK1	1013	2.5684022903442383	0.11072801	Yes	
row_2	TLR4	1058	2.5162312984466553	0.1771259	Yes	
row_3	TLR7	1290	2.294081449508667	0.22786726	Yes	
row_4	IRF7	1410	2.1955056190490723	0.2816658	Yes	
row_5	CD36	1672	2.0397210121154785	0.32392758	Yes	
row_6	TLR8	1795	1.9766716957092285	0.37160128	Yes	
row_7	TLR1	2202	1.7653636932373047	0.3989371	Yes	
row_8	IRAK2	2560	1.6137691736221313	0.4246509	Yes	
row_9	TIRAP	2599	1.5964438915252686	0.4662602	Yes	
row_10	BTK	3340	1.3379738330841064	0.46479678	Yes	
row_11	REG3G	3424	1.314535140991211	0.49640515	Yes	
row_12	IRAK4	3606	1.2587841749191284	0.5214639	Yes	
row_13	IRAK3	3668	1.2400017976760864	0.5521675	Yes	
row_14	LY96	5799	0.761182963848114	0.463644	No	
row_15	MYD88	6067	0.7098458409309387	0.46931216	No	
row_16	TLR10	7828	0.41562962532043457	0.39034528	No	
row_17	MAP3K7	7932	0.4016050100326538	0.3960181	No	
row_18	TLR9	8418	0.33220934867858887	0.3801966	No	
row_19	TAB2	8487	0.32406798005104065	0.38554966	No	
row_20	TLR5	8775	0.2827896475791931	0.37853935	No	
row_21	HSPD1	8991	0.25183185935020447	0.37437874	No	
row_22	MAP3K1	9215	0.21878036856651306	0.36890584	No	
row_23	TLR6	10094	0.09046277403831482	0.32632306	No	
row_24	UBB	10560	0.0252543855458498	0.30315253	No	
row_25	UBC	10724	0.0017886216519400477	0.29483762	No	
row_26	RPS27A	10887	-0.021028202027082443	0.287099	No	
row_27	CD14	11078	-0.04689094424247742	0.27862933	No	
row_28	TAB3	13354	-0.4014500379562378	0.17285043	No	
row_29	IRF1	13392	-0.40772852301597595	0.18207683	No	
row_30	CD300LF	13906	-0.49924948811531067	0.16937634	No	
row_31	UBA52	13980	-0.5121949315071106	0.17960592	No	
row_32	TRAF6	14004	-0.5173385143280029	0.19254139	No	
row_33	TNIP1	14609	-0.6314857602119446	0.17877969	No	
row_34	TLR2	15858	-0.9350191354751587	0.14025564	No	
row_35	TAB1	17827	-1.7518415451049805	0.087074734	No	
