NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNAI1	7500	0.46812865138053894	-0.36536857	No	
row_1	IKZF1	7540	0.460961252450943	-0.34853232	No	
row_2	LRWD1	10134	0.08609022945165634	-0.47794798	No	
row_3	BAZ1B	11683	-0.13289684057235718	-0.5518778	No	
row_4	CENPA	11809	-0.15158945322036743	-0.5520919	No	
row_5	ATRX	11826	-0.1544254571199417	-0.5466021	No	
row_6	CENPC	11944	-0.17419567704200745	-0.5454823	No	
row_7	INCENP	12409	-0.2465338557958603	-0.55919605	No	
row_8	CBX3	12550	-0.2715524435043335	-0.5552772	No	
row_9	CBX5	14044	-0.5255952477455139	-0.61034113	No	
row_10	KDM4D	14103	-0.5347957611083984	-0.5914619	No	
row_11	NCAPD3	15731	-0.9013751745223999	-0.6380405	No	
row_12	KMT5C	17224	-1.4194120168685913	-0.6565302	Yes	
row_13	KDM4C	17734	-1.695993185043335	-0.6133236	Yes	
row_14	ESCO2	18397	-2.189362049102783	-0.55780095	Yes	
row_15	CENPB	18824	-2.663304328918457	-0.47081333	Yes	
row_16	CBX1	19008	-2.96593976020813	-0.35900185	Yes	
row_17	HELLS	19376	-4.402890682220459	-0.19790715	Yes	
row_18	DNMT1	19436	-5.02777624130249	0.0045114313	Yes	
