NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GDPD5	805	2.8079917430877686	0.11439634	Yes	
row_1	DGAT2	1190	2.3796393871307373	0.2266317	Yes	
row_2	CYBB	1640	2.0611400604248047	0.317877	Yes	
row_3	CYBA	1668	2.0453298091888428	0.42988348	Yes	
row_4	CAPN2	2275	1.7361490726470947	0.49506155	Yes	
row_5	FYN	3294	1.3531728982925415	0.5178829	Yes	
row_6	CLU	3420	1.31492280960083	0.58437157	Yes	
row_7	PIK3R1	6233	0.6784107685089111	0.47779897	No	
row_8	TRIM13	6635	0.6120084524154663	0.4911671	No	
row_9	NOX4	7382	0.48732009530067444	0.47993308	No	
row_10	OSBP	7797	0.41972729563713074	0.4819748	No	
row_11	ADAM10	8405	0.33407706022262573	0.46937227	No	
row_12	BCAP31	9375	0.19719062745571136	0.43061963	No	
row_13	OSBPL6	9824	0.12720181047916412	0.41470075	No	
row_14	SYT6	9958	0.1095762625336647	0.41395608	No	
row_15	MOGAT3	10375	0.04993988946080208	0.39539462	No	
row_16	OSBP2	10668	0.0098969591781497	0.38097125	No	
row_17	CREB3L2	10978	-0.03342655301094055	0.36698067	No	
row_18	OSBPL7	11404	-0.09287630766630173	0.3503381	No	
row_19	CISD2	12163	-0.20730751752853394	0.3229652	No	
row_20	OSBPL3	12591	-0.2795363664627075	0.31656832	No	
row_21	MOGAT2	14922	-0.7010269165039062	0.23596369	No	
